# _root_ La manca de personal , segons Lozano , no permet " de_moment " mantenir oberta la Biblioteca durant tot el dia .
#goldHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
#predictedHeads=2,10,2,3,6,10,6,6,10,0,12,10,12,10,14,17,14,14,20,21,18,10,
(0,2),-7.5113 # DEPENDENCYPART_ARC
(0,6),-6.41032 # DEPENDENCYPART_ARC
(0,10),-3.22635 # DEPENDENCYPART_ARC
(0,14),-3.90246 # DEPENDENCYPART_ARC
(1,2),1.55546 # DEPENDENCYPART_ARC
(1,3),0.919745 # DEPENDENCYPART_ARC
(2,1),3.53887 # DEPENDENCYPART_ARC
(2,3),3.58802 # DEPENDENCYPART_ARC
(2,4),1.01636 # DEPENDENCYPART_ARC
(2,5),0.579653 # DEPENDENCYPART_ARC
(2,6),-0.0208873 # DEPENDENCYPART_ARC
(2,7),0.229453 # DEPENDENCYPART_ARC
(2,8),0.118632 # DEPENDENCYPART_ARC
(2,10),1.44417 # DEPENDENCYPART_ARC
(2,11),-0.7627 # DEPENDENCYPART_ARC
(2,12),-0.811217 # DEPENDENCYPART_ARC
(2,13),-0.652699 # DEPENDENCYPART_ARC
(2,14),-1.51007 # DEPENDENCYPART_ARC
(2,15),-0.111578 # DEPENDENCYPART_ARC
(2,17),-1.15527 # DEPENDENCYPART_ARC
(2,18),-1.44848 # DEPENDENCYPART_ARC
(2,21),-2.83744 # DEPENDENCYPART_ARC
(2,22),0.140411 # DEPENDENCYPART_ARC
(3,1),-0.236048 # DEPENDENCYPART_ARC
(3,4),3.74439 # DEPENDENCYPART_ARC
(3,5),0.518435 # DEPENDENCYPART_ARC
(3,6),-0.139804 # DEPENDENCYPART_ARC
(3,7),-0.0073868 # DEPENDENCYPART_ARC
(3,8),-0.557568 # DEPENDENCYPART_ARC
(3,10),-1.5631 # DEPENDENCYPART_ARC
(3,11),-2.29581 # DEPENDENCYPART_ARC
(3,14),-1.77906 # DEPENDENCYPART_ARC
(4,1),1.08831 # DEPENDENCYPART_ARC
(4,3),1.72714 # DEPENDENCYPART_ARC
(4,5),-0.358187 # DEPENDENCYPART_ARC
(4,6),-0.571715 # DEPENDENCYPART_ARC
(4,7),0.359059 # DEPENDENCYPART_ARC
(4,8),-0.951154 # DEPENDENCYPART_ARC
(4,10),0.271177 # DEPENDENCYPART_ARC
(4,11),-1.97291 # DEPENDENCYPART_ARC
(4,12),-1.90582 # DEPENDENCYPART_ARC
(4,13),-2.4278 # DEPENDENCYPART_ARC
(4,14),-2.49048 # DEPENDENCYPART_ARC
(4,17),-2.14352 # DEPENDENCYPART_ARC
(4,22),-1.78561 # DEPENDENCYPART_ARC
(6,1),-1.49132 # DEPENDENCYPART_ARC
(6,3),-0.17821 # DEPENDENCYPART_ARC
(6,5),3.08734 # DEPENDENCYPART_ARC
(6,7),3.02095 # DEPENDENCYPART_ARC
(6,8),2.24746 # DEPENDENCYPART_ARC
(6,9),-1.27893 # DEPENDENCYPART_ARC
(6,10),-1.33301 # DEPENDENCYPART_ARC
(6,11),-0.499178 # DEPENDENCYPART_ARC
(6,12),-1.40384 # DEPENDENCYPART_ARC
(6,13),-0.87843 # DEPENDENCYPART_ARC
(6,14),-1.788 # DEPENDENCYPART_ARC
(7,2),-2.63103 # DEPENDENCYPART_ARC
(7,5),-0.684194 # DEPENDENCYPART_ARC
(7,6),0.561352 # DEPENDENCYPART_ARC
(7,8),-0.376752 # DEPENDENCYPART_ARC
(7,10),0.323361 # DEPENDENCYPART_ARC
(7,11),-1.39581 # DEPENDENCYPART_ARC
(7,12),-1.57057 # DEPENDENCYPART_ARC
(7,13),-1.69907 # DEPENDENCYPART_ARC
(7,14),-2.3107 # DEPENDENCYPART_ARC
(7,15),-2.09827 # DEPENDENCYPART_ARC
(7,17),-2.03884 # DEPENDENCYPART_ARC
(7,22),-0.880649 # DEPENDENCYPART_ARC
(8,5),-0.546037 # DEPENDENCYPART_ARC
(9,8),-0.334481 # DEPENDENCYPART_ARC
(10,1),-1.09962 # DEPENDENCYPART_ARC
(10,2),1.67876 # DEPENDENCYPART_ARC
(10,3),-1.04749 # DEPENDENCYPART_ARC
(10,4),0.453229 # DEPENDENCYPART_ARC
(10,5),0.54046 # DEPENDENCYPART_ARC
(10,6),2.27008 # DEPENDENCYPART_ARC
(10,7),0.870927 # DEPENDENCYPART_ARC
(10,8),1.2455 # DEPENDENCYPART_ARC
(10,9),4.58409 # DEPENDENCYPART_ARC
(10,11),2.26584 # DEPENDENCYPART_ARC
(10,12),2.54486 # DEPENDENCYPART_ARC
(10,13),1.53158 # DEPENDENCYPART_ARC
