# _root_ El PSC vol , a_més_a_més , que es demani l' adhesió de la Unesco .
#goldHeads=2,3,0,5,3,5,9,9,3,11,9,11,14,12,3,
#predictedHeads=2,3,0,5,3,5,9,9,3,11,9,11,14,12,3,
(0,3),-1.80458 # DEPENDENCYPART_ARC
(0,9),-6.24599 # DEPENDENCYPART_ARC
(1,2),-0.167265 # DEPENDENCYPART_ARC
(2,1),2.63672 # DEPENDENCYPART_ARC
(2,3),-0.16471 # DEPENDENCYPART_ARC
(2,4),-1.32669 # DEPENDENCYPART_ARC
(2,5),-1.22462 # DEPENDENCYPART_ARC
(2,6),-0.93744 # DEPENDENCYPART_ARC
(2,9),-2.14416 # DEPENDENCYPART_ARC
(3,1),0.168346 # DEPENDENCYPART_ARC
(3,2),2.97655 # DEPENDENCYPART_ARC
(3,4),1.1902 # DEPENDENCYPART_ARC
(3,5),1.86032 # DEPENDENCYPART_ARC
(3,6),1.59367 # DEPENDENCYPART_ARC
(3,7),0.401674 # DEPENDENCYPART_ARC
(3,9),1.85819 # DEPENDENCYPART_ARC
(3,11),-0.592908 # DEPENDENCYPART_ARC
(3,12),-0.729219 # DEPENDENCYPART_ARC
(3,14),-1.02828 # DEPENDENCYPART_ARC
(3,15),5.27958 # DEPENDENCYPART_ARC
(5,4),3.1082 # DEPENDENCYPART_ARC
(5,6),3.54991 # DEPENDENCYPART_ARC
(5,7),0.19777 # DEPENDENCYPART_ARC
(5,9),0.308149 # DEPENDENCYPART_ARC
(5,12),-1.53917 # DEPENDENCYPART_ARC
(5,15),0.817085 # DEPENDENCYPART_ARC
(6,4),-0.240219 # DEPENDENCYPART_ARC
(7,6),-0.416992 # DEPENDENCYPART_ARC
(9,2),-1.16607 # DEPENDENCYPART_ARC
(9,3),-0.789377 # DEPENDENCYPART_ARC
(9,4),-0.381295 # DEPENDENCYPART_ARC
(9,5),0.215053 # DEPENDENCYPART_ARC
(9,6),1.68715 # DEPENDENCYPART_ARC
(9,7),3.62133 # DEPENDENCYPART_ARC
(9,8),4.37517 # DEPENDENCYPART_ARC
(9,11),2.99427 # DEPENDENCYPART_ARC
(9,12),0.527705 # DEPENDENCYPART_ARC
(9,14),0.637599 # DEPENDENCYPART_ARC
(9,15),2.21598 # DEPENDENCYPART_ARC
(10,12),-0.408196 # DEPENDENCYPART_ARC
(10,13),-0.798603 # DEPENDENCYPART_ARC
(11,3),-2.43524 # DEPENDENCYPART_ARC
(11,4),-0.26219 # DEPENDENCYPART_ARC
(11,5),-0.916273 # DEPENDENCYPART_ARC
(11,6),-1.28267 # DEPENDENCYPART_ARC
(11,7),0.0200883 # DEPENDENCYPART_ARC
(11,9),-0.511369 # DEPENDENCYPART_ARC
(11,10),2.93045 # DEPENDENCYPART_ARC
(11,12),2.9396 # DEPENDENCYPART_ARC
(11,14),1.06982 # DEPENDENCYPART_ARC
(11,15),0.948604 # DEPENDENCYPART_ARC
(12,10),-1.05245 # DEPENDENCYPART_ARC
(12,14),3.90809 # DEPENDENCYPART_ARC
(14,10),-0.596329 # DEPENDENCYPART_ARC
(14,13),3.32502 # DEPENDENCYPART_ARC
(14,15),-0.113385 # DEPENDENCYPART_ARC
