# _root_ Mentrestant , a l' interior del que ha de ser el pou d' extracció més modern amb què compta Iberpotash , tot està a punt per a rebre la maquinària de tecnologia alemanya .
#goldHeads=23,3,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,3,23,0,23,24,23,26,27,30,28,30,31,32,23,
#predictedHeads=10,1,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,23,23,0,23,24,23,26,27,30,28,30,31,32,19,
(0,1),-6.35764 # DEPENDENCYPART_ARC
(0,3),-6.19665 # DEPENDENCYPART_ARC
(0,5),-6.90185 # DEPENDENCYPART_ARC
(0,6),-7.70339 # DEPENDENCYPART_ARC
(0,8),-3.56668 # DEPENDENCYPART_ARC
(0,9),-7.2426 # DEPENDENCYPART_ARC
(0,10),-4.74735 # DEPENDENCYPART_ARC
(0,12),-7.04367 # DEPENDENCYPART_ARC
(0,19),-3.52993 # DEPENDENCYPART_ARC
(0,23),-3.80208 # DEPENDENCYPART_ARC
(0,28),-4.65062 # DEPENDENCYPART_ARC
(1,2),3.08362 # DEPENDENCYPART_ARC
(1,3),-0.437603 # DEPENDENCYPART_ARC
(1,5),-1.30877 # DEPENDENCYPART_ARC
(1,6),-0.256632 # DEPENDENCYPART_ARC
(1,21),-0.558134 # DEPENDENCYPART_ARC
(3,1),0.156387 # DEPENDENCYPART_ARC
(3,2),1.41305 # DEPENDENCYPART_ARC
(3,4),-0.065709 # DEPENDENCYPART_ARC
(3,5),3.81157 # DEPENDENCYPART_ARC
(3,6),-0.320752 # DEPENDENCYPART_ARC
(3,8),0.220272 # DEPENDENCYPART_ARC
(3,10),-0.223166 # DEPENDENCYPART_ARC
(3,21),-0.547142 # DEPENDENCYPART_ARC
(3,27),0.758573 # DEPENDENCYPART_ARC
(3,34),0.114227 # DEPENDENCYPART_ARC
(4,1),-1.11751 # DEPENDENCYPART_ARC
(4,3),-0.268036 # DEPENDENCYPART_ARC
(4,5),1.49378 # DEPENDENCYPART_ARC
(4,6),-1.66455 # DEPENDENCYPART_ARC
(5,1),-1.23112 # DEPENDENCYPART_ARC
(5,2),-0.182217 # DEPENDENCYPART_ARC
(5,3),0.673944 # DEPENDENCYPART_ARC
(5,4),3.09872 # DEPENDENCYPART_ARC
(5,6),1.53086 # DEPENDENCYPART_ARC
(5,8),1.13436 # DEPENDENCYPART_ARC
(5,9),-0.27947 # DEPENDENCYPART_ARC
(5,10),0.0993331 # DEPENDENCYPART_ARC
(5,12),-1.37826 # DEPENDENCYPART_ARC
(5,13),-0.360862 # DEPENDENCYPART_ARC
(5,16),-0.84549 # DEPENDENCYPART_ARC
(5,19),-0.506577 # DEPENDENCYPART_ARC
(5,22),-2.3816 # DEPENDENCYPART_ARC
(5,34),1.01977 # DEPENDENCYPART_ARC
(6,2),-0.781417 # DEPENDENCYPART_ARC
(6,4),-0.965156 # DEPENDENCYPART_ARC
(6,7),1.0431 # DEPENDENCYPART_ARC
(6,8),3.28086 # DEPENDENCYPART_ARC
(6,9),-0.0291202 # DEPENDENCYPART_ARC
(6,10),3.0389 # DEPENDENCYPART_ARC
(6,12),-0.626285 # DEPENDENCYPART_ARC
(6,16),-2.21428 # DEPENDENCYPART_ARC
(6,34),1.75508 # DEPENDENCYPART_ARC
(7,6),-0.865941 # DEPENDENCYPART_ARC
(8,1),-0.740565 # DEPENDENCYPART_ARC
(8,2),-1.30018 # DEPENDENCYPART_ARC
(8,3),-0.712216 # DEPENDENCYPART_ARC
(8,5),-1.40184 # DEPENDENCYPART_ARC
(8,6),-0.997403 # DEPENDENCYPART_ARC
(8,7),1.13971 # DEPENDENCYPART_ARC
(8,9),0.775735 # DEPENDENCYPART_ARC
(8,10),-1.19817 # DEPENDENCYPART_ARC
(8,12),0.0544782 # DEPENDENCYPART_ARC
(8,34),1.07136 # DEPENDENCYPART_ARC
(9,7),-1.87536 # DEPENDENCYPART_ARC
(9,10),2.48869 # DEPENDENCYPART_ARC
(9,12),0.0910233 # DEPENDENCYPART_ARC
(9,13),-0.510931 # DEPENDENCYPART_ARC
(10,1),1.0322 # DEPENDENCYPART_ARC
(10,2),0.897807 # DEPENDENCYPART_ARC
(10,3),1.82365 # DEPENDENCYPART_ARC
(10,4),-1.14715 # DEPENDENCYPART_ARC
(10,5),0.788768 # DEPENDENCYPART_ARC
(10,6),0.305693 # DEPENDENCYPART_ARC
(10,7),3.4149 # DEPENDENCYPART_ARC
(10,8),4.39169 # DEPENDENCYPART_ARC
(10,9),3.84693 # DEPENDENCYPART_ARC
(10,12),3.16748 # DEPENDENCYPART_ARC
(10,13),0.848287 # DEPENDENCYPART_ARC
(10,14),0.996409 # DEPENDENCYPART_ARC
(10,15),-0.277156 # DEPENDENCYPART_ARC
(10,16),-0.166849 # DEPENDENCYPART_ARC
(10,17),0.424862 # DEPENDENCYPART_ARC
(10,18),-0.676196 # DEPENDENCYPART_ARC
