# _root_ El conductor del turisme , Antonio_R._S de 51 anys i veí de L'_Escala , ha resultat mort .
#goldHeads=2,16,2,3,6,2,11,9,7,11,6,11,12,6,16,0,16,16,
#predictedHeads=2,16,2,3,6,4,6,9,7,4,4,11,12,2,16,0,16,16,
(0,2),-7.58203 # DEPENDENCYPART_ARC
(0,15),-2.83251 # DEPENDENCYPART_ARC
(0,16),-3.85128 # DEPENDENCYPART_ARC
(1,2),0.796548 # DEPENDENCYPART_ARC
(1,3),-0.0658578 # DEPENDENCYPART_ARC
(2,1),3.04345 # DEPENDENCYPART_ARC
(2,3),3.6188 # DEPENDENCYPART_ARC
(2,4),1.26167 # DEPENDENCYPART_ARC
(2,5),1.18234 # DEPENDENCYPART_ARC
(2,6),1.39614 # DEPENDENCYPART_ARC
(2,7),2.1822 # DEPENDENCYPART_ARC
(2,8),-0.414634 # DEPENDENCYPART_ARC
(2,9),1.0245 # DEPENDENCYPART_ARC
(2,10),1.93179 # DEPENDENCYPART_ARC
(2,11),1.60418 # DEPENDENCYPART_ARC
(2,12),1.58548 # DEPENDENCYPART_ARC
(2,13),0.958205 # DEPENDENCYPART_ARC
(2,14),1.613 # DEPENDENCYPART_ARC
(2,16),-0.854848 # DEPENDENCYPART_ARC
(2,17),-0.55973 # DEPENDENCYPART_ARC
(2,18),1.15794 # DEPENDENCYPART_ARC
(3,1),-0.697701 # DEPENDENCYPART_ARC
(3,4),4.31301 # DEPENDENCYPART_ARC
(3,5),0.362125 # DEPENDENCYPART_ARC
(3,6),-0.36818 # DEPENDENCYPART_ARC
(3,7),-0.589799 # DEPENDENCYPART_ARC
(3,8),-1.72561 # DEPENDENCYPART_ARC
(3,10),0.381741 # DEPENDENCYPART_ARC
(3,12),-0.172584 # DEPENDENCYPART_ARC
(3,18),-0.0830218 # DEPENDENCYPART_ARC
(4,1),-0.884683 # DEPENDENCYPART_ARC
(4,5),1.83249 # DEPENDENCYPART_ARC
(4,6),1.63892 # DEPENDENCYPART_ARC
(4,7),1.61419 # DEPENDENCYPART_ARC
(4,8),-0.632451 # DEPENDENCYPART_ARC
(4,9),0.437725 # DEPENDENCYPART_ARC
(4,10),2.86174 # DEPENDENCYPART_ARC
(4,11),2.02352 # DEPENDENCYPART_ARC
(4,12),1.00335 # DEPENDENCYPART_ARC
(4,13),0.817962 # DEPENDENCYPART_ARC
(4,14),-0.445946 # DEPENDENCYPART_ARC
(4,17),-0.316921 # DEPENDENCYPART_ARC
