# _root_ L' any_1998 , Manzanares va concedir més de 1.600 permisos , 600 dels quals van ser en el darrer trimestre .
#goldHeads=2,6,2,6,6,0,8,10,8,6,16,16,12,13,16,10,16,20,20,17,6,
#predictedHeads=2,6,2,6,6,0,8,10,8,6,6,16,12,13,16,6,16,20,20,17,6,
(0,2),-6.83946 # DEPENDENCYPART_ARC
(0,5),-2.39805 # DEPENDENCYPART_ARC
(0,6),-2.69864 # DEPENDENCYPART_ARC
(0,12),-7.73432 # DEPENDENCYPART_ARC
(0,15),-2.69972 # DEPENDENCYPART_ARC
(0,16),-3.01082 # DEPENDENCYPART_ARC
(1,2),0.618829 # DEPENDENCYPART_ARC
(2,1),3.26843 # DEPENDENCYPART_ARC
(2,3),1.68343 # DEPENDENCYPART_ARC
(2,4),0.687754 # DEPENDENCYPART_ARC
(2,5),0.533321 # DEPENDENCYPART_ARC
(2,6),-0.233738 # DEPENDENCYPART_ARC
(2,8),-0.776594 # DEPENDENCYPART_ARC
(2,10),-0.781112 # DEPENDENCYPART_ARC
(2,11),-0.164356 # DEPENDENCYPART_ARC
(2,16),-1.00626 # DEPENDENCYPART_ARC
(4,1),-0.293096 # DEPENDENCYPART_ARC
(4,2),-0.830277 # DEPENDENCYPART_ARC
(4,3),0.319116 # DEPENDENCYPART_ARC
(4,5),-0.306385 # DEPENDENCYPART_ARC
(4,7),-0.467475 # DEPENDENCYPART_ARC
(4,12),-1.51189 # DEPENDENCYPART_ARC
(4,21),-0.224352 # DEPENDENCYPART_ARC
(5,2),-1.73751 # DEPENDENCYPART_ARC
(5,3),-1.70327 # DEPENDENCYPART_ARC
(5,4),-0.362999 # DEPENDENCYPART_ARC
(5,6),-0.126887 # DEPENDENCYPART_ARC
(5,7),-1.53699 # DEPENDENCYPART_ARC
(5,8),-1.71585 # DEPENDENCYPART_ARC
(5,10),-0.997751 # DEPENDENCYPART_ARC
(5,11),-0.523448 # DEPENDENCYPART_ARC
(5,12),-2.46352 # DEPENDENCYPART_ARC
(5,17),-0.968439 # DEPENDENCYPART_ARC
(5,21),1.72045 # DEPENDENCYPART_ARC
(6,1),-0.311276 # DEPENDENCYPART_ARC
(6,2),0.979847 # DEPENDENCYPART_ARC
(6,3),0.242144 # DEPENDENCYPART_ARC
(6,4),2.00931 # DEPENDENCYPART_ARC
(6,5),5.12217 # DEPENDENCYPART_ARC
(6,7),1.83775 # DEPENDENCYPART_ARC
(6,8),0.885176 # DEPENDENCYPART_ARC
(6,9),0.631362 # DEPENDENCYPART_ARC
(6,10),2.79353 # DEPENDENCYPART_ARC
(6,11),1.2083 # DEPENDENCYPART_ARC
(6,12),0.519794 # DEPENDENCYPART_ARC
(6,13),-0.299531 # DEPENDENCYPART_ARC
(6,15),1.22515 # DEPENDENCYPART_ARC
(6,16),0.968513 # DEPENDENCYPART_ARC
(6,17),1.789 # DEPENDENCYPART_ARC
(6,19),-0.838385 # DEPENDENCYPART_ARC
(6,20),0.80091 # DEPENDENCYPART_ARC
(6,21),4.37396 # DEPENDENCYPART_ARC
(7,3),-1.5876 # DEPENDENCYPART_ARC
(7,6),-0.99189 # DEPENDENCYPART_ARC
(7,8),0.510794 # DEPENDENCYPART_ARC
(7,9),0.487008 # DEPENDENCYPART_ARC
(7,10),-0.214412 # DEPENDENCYPART_ARC
(7,11),-0.452275 # DEPENDENCYPART_ARC
(7,12),-0.63827 # DEPENDENCYPART_ARC
(7,13),-1.17723 # DEPENDENCYPART_ARC
(7,16),-2.29655 # DEPENDENCYPART_ARC
(8,1),-1.85697 # DEPENDENCYPART_ARC
(8,2),-1.02776 # DEPENDENCYPART_ARC
(8,6),0.771431 # DEPENDENCYPART_ARC
(8,7),2.31776 # DEPENDENCYPART_ARC
(8,9),3.20606 # DEPENDENCYPART_ARC
(8,10),2.12773 # DEPENDENCYPART_ARC
(8,11),0.745306 # DEPENDENCYPART_ARC
(8,12),-0.518394 # DEPENDENCYPART_ARC
(8,13),-0.454824 # DEPENDENCYPART_ARC
(8,16),-0.534802 # DEPENDENCYPART_ARC
(9,7),1.81112 # DEPENDENCYPART_ARC
(9,8),1.79945 # DEPENDENCYPART_ARC
(9,10),0.259364 # DEPENDENCYPART_ARC
(9,11),-1.35188 # DEPENDENCYPART_ARC
(9,12),-0.948138 # DEPENDENCYPART_ARC
(9,13),-0.975953 # DEPENDENCYPART_ARC
(10,3),-0.719536 # DEPENDENCYPART_ARC
(10,6),-2.15508 # DEPENDENCYPART_ARC
(10,7),0.581913 # DEPENDENCYPART_ARC
(10,8),1.66186 # DEPENDENCYPART_ARC
