# _root_ En l' obra s' hi pot veure un cert paral·lelisme amb la vida de l' autor , s' hi veu reflectida la_seva sensibilitat , les_seves inquietuds i els_seus dubtes .
#goldHeads=7,3,1,7,7,7,0,10,8,7,10,13,11,13,16,14,7,20,20,7,20,23,20,23,26,23,23,29,23,7,
#predictedHeads=7,3,1,7,7,7,0,10,8,7,7,13,11,13,16,14,20,20,20,16,20,23,20,23,26,23,23,29,26,7,
(0,1),-7.70752 # DEPENDENCYPART_ARC
(0,6),-4.67065 # DEPENDENCYPART_ARC
(0,7),-3.89781 # DEPENDENCYPART_ARC
(0,20),-4.4837 # DEPENDENCYPART_ARC
(1,2),-0.0478246 # DEPENDENCYPART_ARC
(1,3),4.71633 # DEPENDENCYPART_ARC
(1,6),0.407624 # DEPENDENCYPART_ARC
(1,7),-0.617956 # DEPENDENCYPART_ARC
(1,17),0.437209 # DEPENDENCYPART_ARC
(1,24),-0.400402 # DEPENDENCYPART_ARC
(3,1),-0.338135 # DEPENDENCYPART_ARC
(3,2),2.82897 # DEPENDENCYPART_ARC
(3,5),-4.59985 # DEPENDENCYPART_ARC
(3,6),0.420709 # DEPENDENCYPART_ARC
(3,7),0.191902 # DEPENDENCYPART_ARC
(3,8),-4.32782 # DEPENDENCYPART_ARC
(3,10),-3.29719 # DEPENDENCYPART_ARC
(3,11),-2.48307 # DEPENDENCYPART_ARC
(3,20),0.464916 # DEPENDENCYPART_ARC
(3,26),-3.61138 # DEPENDENCYPART_ARC
(3,29),-3.25999 # DEPENDENCYPART_ARC
(3,30),0.0363789 # DEPENDENCYPART_ARC
(5,6),-0.809859 # DEPENDENCYPART_ARC
(5,10),-2.83125 # DEPENDENCYPART_ARC
(5,11),-2.61294 # DEPENDENCYPART_ARC
(6,1),0.597251 # DEPENDENCYPART_ARC
(6,2),-2.65793 # DEPENDENCYPART_ARC
(6,3),-0.596162 # DEPENDENCYPART_ARC
(6,4),1.18277 # DEPENDENCYPART_ARC
(6,5),1.6992 # DEPENDENCYPART_ARC
(6,7),1.61973 # DEPENDENCYPART_ARC
(6,10),-0.779303 # DEPENDENCYPART_ARC
(6,11),-0.535609 # DEPENDENCYPART_ARC
(6,13),-1.33666 # DEPENDENCYPART_ARC
(6,14),-2.47511 # DEPENDENCYPART_ARC
(6,16),-1.69752 # DEPENDENCYPART_ARC
(6,17),-0.804366 # DEPENDENCYPART_ARC
(6,20),-1.59015 # DEPENDENCYPART_ARC
(6,21),-1.53582 # DEPENDENCYPART_ARC
(6,23),-2.23395 # DEPENDENCYPART_ARC
(6,26),-2.63597 # DEPENDENCYPART_ARC
(6,27),-1.07832 # DEPENDENCYPART_ARC
(6,29),-3.24929 # DEPENDENCYPART_ARC
(6,30),2.9278 # DEPENDENCYPART_ARC
(7,1),3.16224 # DEPENDENCYPART_ARC
(7,2),-1.30956 # DEPENDENCYPART_ARC
(7,3),0.859793 # DEPENDENCYPART_ARC
(7,4),2.88903 # DEPENDENCYPART_ARC
(7,5),3.51043 # DEPENDENCYPART_ARC
(7,6),4.78274 # DEPENDENCYPART_ARC
(7,10),1.82483 # DEPENDENCYPART_ARC
(7,11),2.14491 # DEPENDENCYPART_ARC
(7,13),1.03292 # DEPENDENCYPART_ARC
(7,14),0.375534 # DEPENDENCYPART_ARC
(7,16),0.400213 # DEPENDENCYPART_ARC
(7,17),0.532716 # DEPENDENCYPART_ARC
(7,20),0.912254 # DEPENDENCYPART_ARC
(7,21),0.58077 # DEPENDENCYPART_ARC
(7,23),-0.56756 # DEPENDENCYPART_ARC
(7,24),0.0347826 # DEPENDENCYPART_ARC
(7,26),-0.740064 # DEPENDENCYPART_ARC
(7,27),-0.276581 # DEPENDENCYPART_ARC
(7,29),-1.43593 # DEPENDENCYPART_ARC
(7,30),6.41922 # DEPENDENCYPART_ARC
(8,9),5.29991 # DEPENDENCYPART_ARC
(8,10),1.81081 # DEPENDENCYPART_ARC
(8,11),0.51958 # DEPENDENCYPART_ARC
(9,10),1.41029 # DEPENDENCYPART_ARC
(9,11),0.0178806 # DEPENDENCYPART_ARC
(9,14),-0.527084 # DEPENDENCYPART_ARC
(10,1),-0.417797 # DEPENDENCYPART_ARC
(10,5),-0.265357 # DEPENDENCYPART_ARC
(10,7),-0.810146 # DEPENDENCYPART_ARC
(10,8),2.56059 # DEPENDENCYPART_ARC
(10,9),2.56582 # DEPENDENCYPART_ARC
(10,11),1.63361 # DEPENDENCYPART_ARC
(10,13),0.53345 # DEPENDENCYPART_ARC
(10,14),1.25779 # DEPENDENCYPART_ARC
(10,16),-0.0918459 # DEPENDENCYPART_ARC
(10,17),-0.437512 # DEPENDENCYPART_ARC
(10,20),2.36401 # DEPENDENCYPART_ARC
(10,21),-2.57378 # DEPENDENCYPART_ARC
(10,23),-1.24831 # DEPENDENCYPART_ARC
(10,24),-0.454468 # DEPENDENCYPART_ARC
(10,26),-1.1543 # DEPENDENCYPART_ARC
(10,27),0.987062 # DEPENDENCYPART_ARC
(10,29),-0.696005 # DEPENDENCYPART_ARC
(10,30),1.08283 # DEPENDENCYPART_ARC
(11,8),-1.73309 # DEPENDENCYPART_ARC
(11,9),-0.933378 # DEPENDENCYPART_ARC
(11,10),-0.601946 # DEPENDENCYPART_ARC
(11,12),-1.53362 # DEPENDENCYPART_ARC
(11,13),4.46856 # DEPENDENCYPART_ARC
(11,14),-0.36303 # DEPENDENCYPART_ARC
(11,16),1.10751 # DEPENDENCYPART_ARC
(11,17),-0.401875 # DEPENDENCYPART_ARC
(11,20),-0.316099 # DEPENDENCYPART_ARC
(12,10),-1.79794 # DEPENDENCYPART_ARC
(12,13),2.96555 # DEPENDENCYPART_ARC
(12,14),0.370967 # DEPENDENCYPART_ARC
(12,15),0.6849 # DEPENDENCYPART_ARC
(13,1),-2.04951 # DEPENDENCYPART_ARC
(13,8),-0.796126 # DEPENDENCYPART_ARC
(13,9),-1.48333 # DEPENDENCYPART_ARC
(13,10),-1.71163 # DEPENDENCYPART_ARC
(13,11),-0.238784 # DEPENDENCYPART_ARC
(13,12),3.33008 # DEPENDENCYPART_ARC
(13,14),2.34486 # DEPENDENCYPART_ARC
(13,16),0.344764 # DEPENDENCYPART_ARC
(13,17),-0.315666 # DEPENDENCYPART_ARC
(13,19),-3.34673 # DEPENDENCYPART_ARC
(13,20),2.27628 # DEPENDENCYPART_ARC
(13,21),-0.304745 # DEPENDENCYPART_ARC
(13,23),-0.712352 # DEPENDENCYPART_ARC
(13,24),-0.171287 # DEPENDENCYPART_ARC
(13,26),-0.539393 # DEPENDENCYPART_ARC
(13,27),1.59195 # DEPENDENCYPART_ARC
(13,29),-0.217603 # DEPENDENCYPART_ARC
(13,30),1.23211 # DEPENDENCYPART_ARC
(14,12),-0.48488 # DEPENDENCYPART_ARC
(14,16),4.10487 # DEPENDENCYPART_ARC
(14,17),-0.35812 # DEPENDENCYPART_ARC
(14,20),0.0651535 # DEPENDENCYPART_ARC
(15,14),-0.0223926 # DEPENDENCYPART_ARC
(16,1),-1.46763 # DEPENDENCYPART_ARC
(16,11),-0.801313 # DEPENDENCYPART_ARC
(16,12),0.713194 # DEPENDENCYPART_ARC
(16,15),3.58359 # DEPENDENCYPART_ARC
(16,17),0.0228512 # DEPENDENCYPART_ARC
(16,19),-2.19482 # DEPENDENCYPART_ARC
(16,20),2.76899 # DEPENDENCYPART_ARC
(16,21),-1.27252 # DEPENDENCYPART_ARC
(16,23),-0.100891 # DEPENDENCYPART_ARC
(16,24),0.633203 # DEPENDENCYPART_ARC
(16,26),-0.100132 # DEPENDENCYPART_ARC
(16,27),1.6842 # DEPENDENCYPART_ARC
(16,29),0.204226 # DEPENDENCYPART_ARC
(16,30),1.8995 # DEPENDENCYPART_ARC
(19,17),-0.648593 # DEPENDENCYPART_ARC
(19,21),-0.669274 # DEPENDENCYPART_ARC
(19,23),-1.76002 # DEPENDENCYPART_ARC
(20,1),1.12206 # DEPENDENCYPART_ARC
(20,3),-0.661312 # DEPENDENCYPART_ARC
(20,5),-1.19119 # DEPENDENCYPART_ARC
(20,6),0.468116 # DEPENDENCYPART_ARC
(20,7),-1.24663 # DEPENDENCYPART_ARC
(20,10),0.0191427 # DEPENDENCYPART_ARC
(20,11),0.468057 # DEPENDENCYPART_ARC
(20,12),-1.47392 # DEPENDENCYPART_ARC
(20,13),0.320837 # DEPENDENCYPART_ARC
(20,14),-0.321296 # DEPENDENCYPART_ARC
(20,15),-0.955826 # DEPENDENCYPART_ARC
(20,16),0.250103 # DEPENDENCYPART_ARC
(20,17),2.62179 # DEPENDENCYPART_ARC
(20,18),3.24104 # DEPENDENCYPART_ARC
(20,19),4.03309 # DEPENDENCYPART_ARC
(20,21),4.08283 # DEPENDENCYPART_ARC
(20,23),2.07682 # DEPENDENCYPART_ARC
(20,24),0.75315 # DEPENDENCYPART_ARC
(20,26),0.886336 # DEPENDENCYPART_ARC
(20,27),0.720348 # DEPENDENCYPART_ARC
(20,29),0.054431 # DEPENDENCYPART_ARC
(20,30),3.92229 # DEPENDENCYPART_ARC
(21,19),-0.457968 # DEPENDENCYPART_ARC
(21,23),0.306734 # DEPENDENCYPART_ARC
(21,24),0.278976 # DEPENDENCYPART_ARC
(21,26),-0.634566 # DEPENDENCYPART_ARC
(21,27),0.528417 # DEPENDENCYPART_ARC
(21,29),-0.724632 # DEPENDENCYPART_ARC
(23,1),-2.42694 # DEPENDENCYPART_ARC
(23,14),-0.991063 # DEPENDENCYPART_ARC
(23,19),0.28385 # DEPENDENCYPART_ARC
(23,20),-1.73278 # DEPENDENCYPART_ARC
(23,21),0.100778 # DEPENDENCYPART_ARC
(23,22),2.44544 # DEPENDENCYPART_ARC
(23,24),1.07453 # DEPENDENCYPART_ARC
(23,25),0.623721 # DEPENDENCYPART_ARC
(23,26),1.78558 # DEPENDENCYPART_ARC
(23,27),2.48778 # DEPENDENCYPART_ARC
(23,29),1.55939 # DEPENDENCYPART_ARC
(23,30),1.84975 # DEPENDENCYPART_ARC
(24,23),-1.82292 # DEPENDENCYPART_ARC
(26,21),-2.66866 # DEPENDENCYPART_ARC
(26,22),-0.457378 # DEPENDENCYPART_ARC
(26,23),-1.50308 # DEPENDENCYPART_ARC
(26,24),0.0318286 # DEPENDENCYPART_ARC
(26,25),3.56223 # DEPENDENCYPART_ARC
(26,27),2.40887 # DEPENDENCYPART_ARC
(26,28),0.969783 # DEPENDENCYPART_ARC
(26,29),2.37334 # DEPENDENCYPART_ARC
(26,30),1.08946 # DEPENDENCYPART_ARC
(29,24),-0.372295 # DEPENDENCYPART_ARC
(29,25),0.229302 # DEPENDENCYPART_ARC
(29,26),-1.45213 # DEPENDENCYPART_ARC
(29,27),0.271926 # DEPENDENCYPART_ARC
(29,28),2.97957 # DEPENDENCYPART_ARC
