# _root_ Manolo_Quijano , líder del grup Café_Quijano , ressalta que " la gent té pànic al desconegut " .
#goldHeads=8,3,1,3,4,5,3,0,13,13,12,13,8,13,14,15,13,8,
#predictedHeads=8,3,1,3,4,5,3,0,13,13,12,13,8,13,13,15,13,8,
(0,1),-6.62938 # DEPENDENCYPART_ARC
(0,8),-1.54944 # DEPENDENCYPART_ARC
(0,13),-2.31117 # DEPENDENCYPART_ARC
(1,2),1.80068 # DEPENDENCYPART_ARC
(1,3),2.40627 # DEPENDENCYPART_ARC
(1,4),2.12102 # DEPENDENCYPART_ARC
(1,5),1.32277 # DEPENDENCYPART_ARC
(1,6),1.42686 # DEPENDENCYPART_ARC
(1,7),0.890948 # DEPENDENCYPART_ARC
(1,8),1.1098 # DEPENDENCYPART_ARC
(1,9),-1.23812 # DEPENDENCYPART_ARC
(1,10),-0.0678187 # DEPENDENCYPART_ARC
(1,12),-0.928514 # DEPENDENCYPART_ARC
(1,13),-1.292 # DEPENDENCYPART_ARC
(1,14),-0.762299 # DEPENDENCYPART_ARC
(1,15),-2.11664 # DEPENDENCYPART_ARC
(1,16),-1.11304 # DEPENDENCYPART_ARC
(1,17),-0.390308 # DEPENDENCYPART_ARC
(1,18),1.47908 # DEPENDENCYPART_ARC
(3,2),2.82474 # DEPENDENCYPART_ARC
(3,4),4.02462 # DEPENDENCYPART_ARC
(3,5),0.547152 # DEPENDENCYPART_ARC
(3,6),1.36046 # DEPENDENCYPART_ARC
(3,7),1.97534 # DEPENDENCYPART_ARC
(3,8),0.109999 # DEPENDENCYPART_ARC
(3,9),-1.54348 # DEPENDENCYPART_ARC
(3,10),-0.463365 # DEPENDENCYPART_ARC
(3,12),-1.91116 # DEPENDENCYPART_ARC
(3,13),-2.27364 # DEPENDENCYPART_ARC
(3,15),-1.62462 # DEPENDENCYPART_ARC
(3,16),-1.65498 # DEPENDENCYPART_ARC
(3,17),-0.00130524 # DEPENDENCYPART_ARC
(3,18),-0.704136 # DEPENDENCYPART_ARC
(4,2),-0.170356 # DEPENDENCYPART_ARC
(4,3),-0.76586 # DEPENDENCYPART_ARC
(4,5),3.90769 # DEPENDENCYPART_ARC
(4,6),0.52438 # DEPENDENCYPART_ARC
(4,7),-0.722661 # DEPENDENCYPART_ARC
(4,8),-1.50919 # DEPENDENCYPART_ARC
(4,10),-2.6504 # DEPENDENCYPART_ARC
(4,13),-3.78767 # DEPENDENCYPART_ARC
(5,2),-0.124572 # DEPENDENCYPART_ARC
(5,3),-0.493743 # DEPENDENCYPART_ARC
(5,4),1.49855 # DEPENDENCYPART_ARC
(5,6),2.79733 # DEPENDENCYPART_ARC
(5,7),-0.110981 # DEPENDENCYPART_ARC
(5,8),0.658473 # DEPENDENCYPART_ARC
(5,9),-2.37505 # DEPENDENCYPART_ARC
(5,10),-0.537418 # DEPENDENCYPART_ARC
(5,12),-2.13119 # DEPENDENCYPART_ARC
(5,13),-1.79148 # DEPENDENCYPART_ARC
(5,15),-2.6116 # DEPENDENCYPART_ARC
(5,16),-1.20785 # DEPENDENCYPART_ARC
(5,17),-1.13991 # DEPENDENCYPART_ARC
(5,18),-0.481412 # DEPENDENCYPART_ARC
(6,2),0.123055 # DEPENDENCYPART_ARC
(6,3),-0.570012 # DEPENDENCYPART_ARC
(6,4),0.808655 # DEPENDENCYPART_ARC
(6,5),1.66011 # DEPENDENCYPART_ARC
(6,7),-0.0342592 # DEPENDENCYPART_ARC
(6,8),-0.415729 # DEPENDENCYPART_ARC
(6,9),-2.1533 # DEPENDENCYPART_ARC
(6,10),-1.26454 # DEPENDENCYPART_ARC
(6,12),-2.5971 # DEPENDENCYPART_ARC
(6,13),-2.83335 # DEPENDENCYPART_ARC
(6,16),-2.75123 # DEPENDENCYPART_ARC
(6,17),-1.55138 # DEPENDENCYPART_ARC
(6,18),-0.732415 # DEPENDENCYPART_ARC
(8,1),0.921419 # DEPENDENCYPART_ARC
(8,2),-1.13135 # DEPENDENCYPART_ARC
(8,3),0.442787 # DEPENDENCYPART_ARC
(8,4),-0.976192 # DEPENDENCYPART_ARC
(8,5),0.891045 # DEPENDENCYPART_ARC
(8,6),0.691166 # DEPENDENCYPART_ARC
(8,7),0.842127 # DEPENDENCYPART_ARC
(8,9),0.0387328 # DEPENDENCYPART_ARC
(8,10),0.241176 # DEPENDENCYPART_ARC
(8,12),-1.05397 # DEPENDENCYPART_ARC
(8,13),2.87127 # DEPENDENCYPART_ARC
(8,14),-1.32271 # DEPENDENCYPART_ARC
(8,15),-0.0519915 # DEPENDENCYPART_ARC
(8,16),-1.10668 # DEPENDENCYPART_ARC
(8,17),1.26918 # DEPENDENCYPART_ARC
(8,18),4.33427 # DEPENDENCYPART_ARC
(9,12),-1.64866 # DEPENDENCYPART_ARC
(9,15),-1.20783 # DEPENDENCYPART_ARC
(11,10),0.444685 # DEPENDENCYPART_ARC
(11,12),0.567647 # DEPENDENCYPART_ARC
(12,7),-0.852889 # DEPENDENCYPART_ARC
(12,8),-1.10052 # DEPENDENCYPART_ARC
(12,9),0.424814 # DEPENDENCYPART_ARC
(12,10),1.55591 # DEPENDENCYPART_ARC
(12,11),3.91317 # DEPENDENCYPART_ARC
(12,13),0.625162 # DEPENDENCYPART_ARC
(12,14),-1.03628 # DEPENDENCYPART_ARC
(12,15),-1.30145 # DEPENDENCYPART_ARC
(12,16),-2.32286 # DEPENDENCYPART_ARC
(12,17),-0.52896 # DEPENDENCYPART_ARC
(12,18),-1.15358 # DEPENDENCYPART_ARC
(13,1),-1.19011 # DEPENDENCYPART_ARC
(13,2),-2.45819 # DEPENDENCYPART_ARC
