# _root_ Dins l' àmbit del Barri_Antic , el consistori també ha anunciat l' inici de la renovació del paviment del carrer Sobrerroca , que començarà el dia_10_de_juny .
#goldHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,16,26,24,11,
#predictedHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,20,26,24,11,
(0,1),-7.63039 # DEPENDENCYPART_ARC
(0,10),-3.59751 # DEPENDENCYPART_ARC
(0,11),-2.53928 # DEPENDENCYPART_ARC
(0,24),-4.20954 # DEPENDENCYPART_ARC
(1,2),0.0159056 # DEPENDENCYPART_ARC
(1,3),3.6745 # DEPENDENCYPART_ARC
(1,4),0.0618924 # DEPENDENCYPART_ARC
(1,5),0.97375 # DEPENDENCYPART_ARC
(1,6),2.42161 # DEPENDENCYPART_ARC
(1,8),-1.83933 # DEPENDENCYPART_ARC
(1,9),-0.32315 # DEPENDENCYPART_ARC
(1,22),-0.190756 # DEPENDENCYPART_ARC
(1,27),-0.248675 # DEPENDENCYPART_ARC
(2,1),-0.818792 # DEPENDENCYPART_ARC
(2,3),2.42401 # DEPENDENCYPART_ARC
(2,4),-0.258668 # DEPENDENCYPART_ARC
(3,1),0.275608 # DEPENDENCYPART_ARC
(3,2),3.08167 # DEPENDENCYPART_ARC
(3,4),2.67789 # DEPENDENCYPART_ARC
(3,5),0.0702695 # DEPENDENCYPART_ARC
(3,6),0.231582 # DEPENDENCYPART_ARC
(3,8),-0.523496 # DEPENDENCYPART_ARC
(3,9),-1.28951 # DEPENDENCYPART_ARC
(3,10),-0.82394 # DEPENDENCYPART_ARC
(3,11),-0.405254 # DEPENDENCYPART_ARC
(3,13),-1.31426 # DEPENDENCYPART_ARC
(3,14),-1.47345 # DEPENDENCYPART_ARC
(3,17),-1.88821 # DEPENDENCYPART_ARC
(3,19),-2.17869 # DEPENDENCYPART_ARC
(3,21),-1.16838 # DEPENDENCYPART_ARC
(3,27),-0.383654 # DEPENDENCYPART_ARC
(4,2),-0.768201 # DEPENDENCYPART_ARC
(4,5),3.29779 # DEPENDENCYPART_ARC
(4,6),-0.50667 # DEPENDENCYPART_ARC
(4,8),-1.47893 # DEPENDENCYPART_ARC
(5,2),0.0270903 # DEPENDENCYPART_ARC
(5,6),0.415711 # DEPENDENCYPART_ARC
(5,8),0.041502 # DEPENDENCYPART_ARC
(5,9),-1.05251 # DEPENDENCYPART_ARC
(5,10),-0.42511 # DEPENDENCYPART_ARC
(5,11),-0.405469 # DEPENDENCYPART_ARC
(5,13),-1.17437 # DEPENDENCYPART_ARC
(5,14),-1.36049 # DEPENDENCYPART_ARC
(5,21),-0.677824 # DEPENDENCYPART_ARC
(5,27),-0.113647 # DEPENDENCYPART_ARC
(7,4),-1.22782 # DEPENDENCYPART_ARC
