# _root_ Dues dones s' abracen a Miami , ahir , després de conèixer la decisió del tribunal d' Atlanta .
#goldHeads=2,4,4,0,4,5,8,4,10,4,10,11,14,12,14,15,16,17,4,
#predictedHeads=2,4,4,0,4,5,8,4,10,4,10,11,14,12,14,15,16,17,4,
(0,2),-6.42093 # DEPENDENCYPART_ARC
(0,3),-6.77159 # DEPENDENCYPART_ARC
(0,4),-3.35327 # DEPENDENCYPART_ARC
(0,8),-7.97635 # DEPENDENCYPART_ARC
(0,10),-8.20386 # DEPENDENCYPART_ARC
(0,12),-4.84881 # DEPENDENCYPART_ARC
(2,1),3.16014 # DEPENDENCYPART_ARC
(2,3),-2.02908 # DEPENDENCYPART_ARC
(2,4),1.56841 # DEPENDENCYPART_ARC
(2,5),-1.8289 # DEPENDENCYPART_ARC
(2,7),-1.93852 # DEPENDENCYPART_ARC
(2,8),-2.0691 # DEPENDENCYPART_ARC
(2,9),-1.61983 # DEPENDENCYPART_ARC
(2,10),-2.50487 # DEPENDENCYPART_ARC
(2,11),-3.30799 # DEPENDENCYPART_ARC
(2,12),-1.88067 # DEPENDENCYPART_ARC
(2,19),-0.661986 # DEPENDENCYPART_ARC
(3,4),0.81698 # DEPENDENCYPART_ARC
(3,5),-1.16983 # DEPENDENCYPART_ARC
(3,7),-0.867309 # DEPENDENCYPART_ARC
(3,9),-0.943658 # DEPENDENCYPART_ARC
(4,2),2.76751 # DEPENDENCYPART_ARC
(4,3),3.14957 # DEPENDENCYPART_ARC
(4,5),4.19994 # DEPENDENCYPART_ARC
(4,6),2.22843 # DEPENDENCYPART_ARC
(4,7),1.26815 # DEPENDENCYPART_ARC
(4,8),1.4418 # DEPENDENCYPART_ARC
(4,9),0.75933 # DEPENDENCYPART_ARC
(4,10),0.788204 # DEPENDENCYPART_ARC
(4,11),-0.660205 # DEPENDENCYPART_ARC
(4,12),-0.0945825 # DEPENDENCYPART_ARC
(4,14),0.316696 # DEPENDENCYPART_ARC
(4,15),-1.49586 # DEPENDENCYPART_ARC
(4,17),-0.985391 # DEPENDENCYPART_ARC
(4,19),2.50281 # DEPENDENCYPART_ARC
(5,6),4.58338 # DEPENDENCYPART_ARC
(5,7),0.244665 # DEPENDENCYPART_ARC
(5,8),-0.278187 # DEPENDENCYPART_ARC
(5,9),-0.157461 # DEPENDENCYPART_ARC
(5,10),-1.02002 # DEPENDENCYPART_ARC
(5,11),-1.08529 # DEPENDENCYPART_ARC
(5,12),-1.12341 # DEPENDENCYPART_ARC
(6,2),-2.33472 # DEPENDENCYPART_ARC
(6,7),-0.280944 # DEPENDENCYPART_ARC
(6,8),-0.441468 # DEPENDENCYPART_ARC
(6,9),-0.444949 # DEPENDENCYPART_ARC
(6,10),-0.895268 # DEPENDENCYPART_ARC
(6,11),-1.7081 # DEPENDENCYPART_ARC
(6,12),-0.293905 # DEPENDENCYPART_ARC
(6,19),-0.684554 # DEPENDENCYPART_ARC
(8,5),-0.926229 # DEPENDENCYPART_ARC
(8,7),1.96648 # DEPENDENCYPART_ARC
(8,9),2.35474 # DEPENDENCYPART_ARC
(8,10),-0.418647 # DEPENDENCYPART_ARC
(8,11),-0.669378 # DEPENDENCYPART_ARC
(8,12),-0.849397 # DEPENDENCYPART_ARC
(8,15),-1.86218 # DEPENDENCYPART_ARC
(8,17),-2.64147 # DEPENDENCYPART_ARC
(8,19),-0.969358 # DEPENDENCYPART_ARC
(9,7),-0.991424 # DEPENDENCYPART_ARC
(10,5),-0.414892 # DEPENDENCYPART_ARC
(10,7),0.709574 # DEPENDENCYPART_ARC
(10,8),-0.12601 # DEPENDENCYPART_ARC
(10,9),2.48345 # DEPENDENCYPART_ARC
(10,11),3.58662 # DEPENDENCYPART_ARC
(10,12),1.41441 # DEPENDENCYPART_ARC
(10,14),-0.294266 # DEPENDENCYPART_ARC
(10,15),0.197491 # DEPENDENCYPART_ARC
(10,17),-0.587661 # DEPENDENCYPART_ARC
(10,19),0.00300664 # DEPENDENCYPART_ARC
(11,7),-0.28636 # DEPENDENCYPART_ARC
(11,8),-0.783109 # DEPENDENCYPART_ARC
(11,9),0.360449 # DEPENDENCYPART_ARC
(11,10),0.50591 # DEPENDENCYPART_ARC
(11,12),4.14681 # DEPENDENCYPART_ARC
(11,14),0.548813 # DEPENDENCYPART_ARC
(11,15),0.15442 # DEPENDENCYPART_ARC
(11,17),0.112986 # DEPENDENCYPART_ARC
(11,19),0.742105 # DEPENDENCYPART_ARC
(12,2),-0.446679 # DEPENDENCYPART_ARC
(12,3),0.512277 # DEPENDENCYPART_ARC
(12,4),0.984158 # DEPENDENCYPART_ARC
(12,5),-0.0477077 # DEPENDENCYPART_ARC
(12,7),-0.272833 # DEPENDENCYPART_ARC
(12,8),0.582653 # DEPENDENCYPART_ARC
(12,9),0.0922711 # DEPENDENCYPART_ARC
(12,10),1.17801 # DEPENDENCYPART_ARC
(12,11),1.59704 # DEPENDENCYPART_ARC
(12,14),3.33913 # DEPENDENCYPART_ARC
(12,15),0.221613 # DEPENDENCYPART_ARC
(12,16),1.0307 # DEPENDENCYPART_ARC
(12,17),0.139182 # DEPENDENCYPART_ARC
(12,18),-0.0135147 # DEPENDENCYPART_ARC
(12,19),1.30045 # DEPENDENCYPART_ARC
(13,10),-2.0347 # DEPENDENCYPART_ARC
(13,15),0.232965 # DEPENDENCYPART_ARC
(14,8),-1.007 # DEPENDENCYPART_ARC
(14,9),-0.63125 # DEPENDENCYPART_ARC
(14,10),-0.414469 # DEPENDENCYPART_ARC
(14,11),-0.871874 # DEPENDENCYPART_ARC
(14,12),0.246206 # DEPENDENCYPART_ARC
(14,13),3.3699 # DEPENDENCYPART_ARC
(14,15),2.97183 # DEPENDENCYPART_ARC
(14,16),0.114624 # DEPENDENCYPART_ARC
(14,17),1.87344 # DEPENDENCYPART_ARC
(14,18),-0.188683 # DEPENDENCYPART_ARC
(14,19),0.402857 # DEPENDENCYPART_ARC
(15,13),-0.367998 # DEPENDENCYPART_ARC
(15,16),3.64571 # DEPENDENCYPART_ARC
(15,17),-0.151758 # DEPENDENCYPART_ARC
(15,18),0.24591 # DEPENDENCYPART_ARC
(16,8),-1.61998 # DEPENDENCYPART_ARC
(16,13),0.883005 # DEPENDENCYPART_ARC
(16,17),3.02571 # DEPENDENCYPART_ARC
(16,18),0.754263 # DEPENDENCYPART_ARC
(16,19),-0.00080293 # DEPENDENCYPART_ARC
(17,15),-0.0596548 # DEPENDENCYPART_ARC
(17,18),3.60775 # DEPENDENCYPART_ARC
(17,19),-0.51216 # DEPENDENCYPART_ARC
(18,15),-0.170741 # DEPENDENCYPART_ARC
(18,17),1.59561 # DEPENDENCYPART_ARC
