# _root_ ' La política ha de ser un projecte ètic i moral , un conjunt de principis i de normes presidida pel sentit comú ' , ha dit .
#goldHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,14,20,21,22,6,6,27,0,27,
#predictedHeads=6,3,6,6,6,27,8,6,8,9,9,14,14,8,14,15,15,15,18,19,20,21,22,14,6,27,0,27,
(0,4),-2.98566 # DEPENDENCYPART_ARC
(0,6),-3.78227 # DEPENDENCYPART_ARC
(0,26),-2.47069 # DEPENDENCYPART_ARC
(0,27),-0.0733975 # DEPENDENCYPART_ARC
(2,3),0.552611 # DEPENDENCYPART_ARC
(3,1),0.829907 # DEPENDENCYPART_ARC
(3,2),3.81977 # DEPENDENCYPART_ARC
(3,4),-0.796021 # DEPENDENCYPART_ARC
(3,5),-1.39842 # DEPENDENCYPART_ARC
(3,10),-2.22203 # DEPENDENCYPART_ARC
(3,11),-2.22065 # DEPENDENCYPART_ARC
(3,14),-2.6619 # DEPENDENCYPART_ARC
(3,28),-1.27125 # DEPENDENCYPART_ARC
(4,1),1.27735 # DEPENDENCYPART_ARC
(4,2),-1.86679 # DEPENDENCYPART_ARC
(4,3),0.609058 # DEPENDENCYPART_ARC
(4,5),0.37243 # DEPENDENCYPART_ARC
(4,6),-0.949465 # DEPENDENCYPART_ARC
(4,8),0.541831 # DEPENDENCYPART_ARC
(4,10),-0.54146 # DEPENDENCYPART_ARC
(4,12),-0.790161 # DEPENDENCYPART_ARC
(4,14),-1.36863 # DEPENDENCYPART_ARC
(4,24),-0.376153 # DEPENDENCYPART_ARC
(4,25),-0.387861 # DEPENDENCYPART_ARC
(4,27),-1.45675 # DEPENDENCYPART_ARC
(4,28),2.10568 # DEPENDENCYPART_ARC
(5,1),-2.45195 # DEPENDENCYPART_ARC
(5,2),-2.18778 # DEPENDENCYPART_ARC
(5,3),-2.02603 # DEPENDENCYPART_ARC
(5,6),2.41241 # DEPENDENCYPART_ARC
(5,8),0.0503195 # DEPENDENCYPART_ARC
(5,10),-0.590348 # DEPENDENCYPART_ARC
(5,11),-1.41082 # DEPENDENCYPART_ARC
(5,12),-0.56377 # DEPENDENCYPART_ARC
(5,15),-0.952618 # DEPENDENCYPART_ARC
(5,17),0.1041 # DEPENDENCYPART_ARC
(5,18),-0.549959 # DEPENDENCYPART_ARC
(5,28),0.362738 # DEPENDENCYPART_ARC
(6,1),2.35345 # DEPENDENCYPART_ARC
(6,2),0.195755 # DEPENDENCYPART_ARC
(6,3),2.2662 # DEPENDENCYPART_ARC
(6,4),4.90704 # DEPENDENCYPART_ARC
(6,5),3.8917 # DEPENDENCYPART_ARC
(6,8),3.47064 # DEPENDENCYPART_ARC
(6,9),0.322144 # DEPENDENCYPART_ARC
(6,10),0.762639 # DEPENDENCYPART_ARC
(6,11),0.219 # DEPENDENCYPART_ARC
(6,12),0.694969 # DEPENDENCYPART_ARC
(6,14),-0.148267 # DEPENDENCYPART_ARC
(6,15),-0.62289 # DEPENDENCYPART_ARC
(6,16),-0.329508 # DEPENDENCYPART_ARC
(6,17),0.386225 # DEPENDENCYPART_ARC
(6,20),0.183856 # DEPENDENCYPART_ARC
(6,21),-0.0210681 # DEPENDENCYPART_ARC
(6,24),0.897501 # DEPENDENCYPART_ARC
(6,25),0.329517 # DEPENDENCYPART_ARC
(6,26),-0.174217 # DEPENDENCYPART_ARC
(6,27),-0.209008 # DEPENDENCYPART_ARC
(6,28),3.1988 # DEPENDENCYPART_ARC
(7,8),0.859054 # DEPENDENCYPART_ARC
(8,2),-1.79659 # DEPENDENCYPART_ARC
(8,3),-2.351 # DEPENDENCYPART_ARC
(8,4),-1.98492 # DEPENDENCYPART_ARC
(8,5),-0.00901967 # DEPENDENCYPART_ARC
(8,6),-0.167144 # DEPENDENCYPART_ARC
(8,7),3.46537 # DEPENDENCYPART_ARC
(8,9),3.69433 # DEPENDENCYPART_ARC
(8,10),1.17568 # DEPENDENCYPART_ARC
(8,11),1.04593 # DEPENDENCYPART_ARC
(8,12),0.516057 # DEPENDENCYPART_ARC
(8,13),-0.359739 # DEPENDENCYPART_ARC
(8,14),1.07456 # DEPENDENCYPART_ARC
(8,15),1.52545 # DEPENDENCYPART_ARC
(8,16),0.684546 # DEPENDENCYPART_ARC
(8,17),-0.211298 # DEPENDENCYPART_ARC
(8,18),-1.58717 # DEPENDENCYPART_ARC
(8,19),-0.242119 # DEPENDENCYPART_ARC
(8,20),0.124307 # DEPENDENCYPART_ARC
(8,21),-0.0685143 # DEPENDENCYPART_ARC
(8,22),-0.083406 # DEPENDENCYPART_ARC
(8,23),0.905068 # DEPENDENCYPART_ARC
(8,24),0.538679 # DEPENDENCYPART_ARC
(8,25),-0.967933 # DEPENDENCYPART_ARC
(8,27),-1.65076 # DEPENDENCYPART_ARC
(8,28),-0.0152999 # DEPENDENCYPART_ARC
(9,7),-0.359535 # DEPENDENCYPART_ARC
(9,10),3.25536 # DEPENDENCYPART_ARC
(9,11),3.35147 # DEPENDENCYPART_ARC
(9,12),0.250536 # DEPENDENCYPART_ARC
(9,14),-1.04232 # DEPENDENCYPART_ARC
(9,15),-1.11352 # DEPENDENCYPART_ARC
(9,17),0.310237 # DEPENDENCYPART_ARC
(9,18),-1.18425 # DEPENDENCYPART_ARC
(9,20),-0.642614 # DEPENDENCYPART_ARC
(9,21),-0.602454 # DEPENDENCYPART_ARC
(9,23),-0.0270459 # DEPENDENCYPART_ARC
(10,12),-0.938862 # DEPENDENCYPART_ARC
(11,5),0.765675 # DEPENDENCYPART_ARC
(11,6),-1.19741 # DEPENDENCYPART_ARC
(11,9),1.46996 # DEPENDENCYPART_ARC
(11,10),1.62217 # DEPENDENCYPART_ARC
(11,12),-0.0933452 # DEPENDENCYPART_ARC
(11,14),-1.36408 # DEPENDENCYPART_ARC
(11,15),-1.74746 # DEPENDENCYPART_ARC
(11,17),-0.137582 # DEPENDENCYPART_ARC
(11,20),-1.39796 # DEPENDENCYPART_ARC
(11,23),-1.11436 # DEPENDENCYPART_ARC
(12,11),-0.548 # DEPENDENCYPART_ARC
(13,14),1.54139 # DEPENDENCYPART_ARC
(13,15),1.37812 # DEPENDENCYPART_ARC
(13,18),-0.0489464 # DEPENDENCYPART_ARC
(14,5),-0.54884 # DEPENDENCYPART_ARC
(14,6),-0.377352 # DEPENDENCYPART_ARC
(14,7),0.172661 # DEPENDENCYPART_ARC
