# _root_ El president , que ha fet el_seu discurs en castellà i català , ha recordat un discurs que va fer a Cadaqués l' any_1980 i on exaltava la figura de Salvador_Dalí .
#goldHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,20,27,20,29,27,29,30,15,
#predictedHeads=2,15,6,6,6,2,8,6,6,9,10,10,6,15,0,17,15,20,20,17,20,21,24,20,15,27,20,29,27,29,30,15,
(0,2),-6.93707 # DEPENDENCYPART_ARC
(0,5),-3.65667 # DEPENDENCYPART_ARC
(0,6),-3.76246 # DEPENDENCYPART_ARC
(0,14),-2.63015 # DEPENDENCYPART_ARC
(0,15),-2.96096 # DEPENDENCYPART_ARC
(0,20),-5.12596 # DEPENDENCYPART_ARC
(2,1),3.44472 # DEPENDENCYPART_ARC
(2,3),0.614761 # DEPENDENCYPART_ARC
(2,5),2.18586 # DEPENDENCYPART_ARC
(2,6),1.77221 # DEPENDENCYPART_ARC
(2,8),0.526398 # DEPENDENCYPART_ARC
(2,9),0.424023 # DEPENDENCYPART_ARC
(2,10),0.4307 # DEPENDENCYPART_ARC
(2,11),1.70373 # DEPENDENCYPART_ARC
(2,12),0.948211 # DEPENDENCYPART_ARC
(2,13),-0.216962 # DEPENDENCYPART_ARC
(2,15),-1.27798 # DEPENDENCYPART_ARC
(2,17),-0.45286 # DEPENDENCYPART_ARC
(2,20),-2.41043 # DEPENDENCYPART_ARC
(2,29),-2.44838 # DEPENDENCYPART_ARC
(2,32),1.57079 # DEPENDENCYPART_ARC
(3,2),-1.55402 # DEPENDENCYPART_ARC
(4,8),-3.29258 # DEPENDENCYPART_ARC
(5,2),-2.12551 # DEPENDENCYPART_ARC
(5,3),-0.808592 # DEPENDENCYPART_ARC
(5,4),0.767061 # DEPENDENCYPART_ARC
(5,6),0.634064 # DEPENDENCYPART_ARC
(5,8),-0.293903 # DEPENDENCYPART_ARC
(5,9),-0.0550848 # DEPENDENCYPART_ARC
(5,11),-0.690345 # DEPENDENCYPART_ARC
(5,13),-0.179569 # DEPENDENCYPART_ARC
(5,15),-1.59103 # DEPENDENCYPART_ARC
(5,25),-0.0309712 # DEPENDENCYPART_ARC
(5,32),3.17779 # DEPENDENCYPART_ARC
(6,1),-0.927843 # DEPENDENCYPART_ARC
(6,2),0.386427 # DEPENDENCYPART_ARC
(6,3),1.69033 # DEPENDENCYPART_ARC
(6,4),4.20451 # DEPENDENCYPART_ARC
(6,5),6.13373 # DEPENDENCYPART_ARC
(6,8),2.50345 # DEPENDENCYPART_ARC
(6,9),1.90757 # DEPENDENCYPART_ARC
(6,10),0.165202 # DEPENDENCYPART_ARC
(6,11),0.351182 # DEPENDENCYPART_ARC
(6,12),-0.948026 # DEPENDENCYPART_ARC
(6,13),1.27137 # DEPENDENCYPART_ARC
(6,14),0.775244 # DEPENDENCYPART_ARC
(6,15),0.649125 # DEPENDENCYPART_ARC
(6,17),-0.493265 # DEPENDENCYPART_ARC
(6,19),-1.36445 # DEPENDENCYPART_ARC
(6,20),-0.534084 # DEPENDENCYPART_ARC
(6,21),-1.64131 # DEPENDENCYPART_ARC
(6,24),-0.614834 # DEPENDENCYPART_ARC
(6,25),1.03359 # DEPENDENCYPART_ARC
(6,27),-0.541714 # DEPENDENCYPART_ARC
(6,29),-2.59744 # DEPENDENCYPART_ARC
(6,32),6.11009 # DEPENDENCYPART_ARC
(8,2),-2.19319 # DEPENDENCYPART_ARC
(8,3),-1.09033 # DEPENDENCYPART_ARC
(8,6),-1.57892 # DEPENDENCYPART_ARC
(8,7),3.18388 # DEPENDENCYPART_ARC
(8,9),1.82771 # DEPENDENCYPART_ARC
(8,10),0.385068 # DEPENDENCYPART_ARC
(8,11),1.27793 # DEPENDENCYPART_ARC
(8,12),0.583062 # DEPENDENCYPART_ARC
(8,13),-0.659086 # DEPENDENCYPART_ARC
(8,15),-1.01693 # DEPENDENCYPART_ARC
(8,17),-0.913643 # DEPENDENCYPART_ARC
(8,20),-2.86688 # DEPENDENCYPART_ARC
(8,24),-1.52044 # DEPENDENCYPART_ARC
(8,29),-2.39521 # DEPENDENCYPART_ARC
(9,8),-0.374015 # DEPENDENCYPART_ARC
(9,10),4.06123 # DEPENDENCYPART_ARC
(9,11),0.943026 # DEPENDENCYPART_ARC
(9,12),-0.495618 # DEPENDENCYPART_ARC
(9,13),0.0529659 # DEPENDENCYPART_ARC
(10,7),-0.947643 # DEPENDENCYPART_ARC
(10,8),-2.40495 # DEPENDENCYPART_ARC
(10,11),3.20691 # DEPENDENCYPART_ARC
(10,12),2.85678 # DEPENDENCYPART_ARC
(10,13),-0.498591 # DEPENDENCYPART_ARC
(10,14),-0.797578 # DEPENDENCYPART_ARC
(10,15),-0.786036 # DEPENDENCYPART_ARC
(10,17),-0.807331 # DEPENDENCYPART_ARC
(10,20),-2.51673 # DEPENDENCYPART_ARC
(10,24),-1.92265 # DEPENDENCYPART_ARC
(12,9),0.43021 # DEPENDENCYPART_ARC
(12,11),1.0707 # DEPENDENCYPART_ARC
(12,13),-0.616798 # DEPENDENCYPART_ARC
(12,15),-1.60618 # DEPENDENCYPART_ARC
(12,17),-2.19418 # DEPENDENCYPART_ARC
(13,12),-1.98548 # DEPENDENCYPART_ARC
(14,2),-2.55809 # DEPENDENCYPART_ARC
(14,6),-3.23282 # DEPENDENCYPART_ARC
(14,8),-2.02099 # DEPENDENCYPART_ARC
(14,9),-1.74831 # DEPENDENCYPART_ARC
(14,11),-2.14553 # DEPENDENCYPART_ARC
