# _root_ Empúries ha editat en català els tres números anteriors , que portaven per títol ' Harry_Potter_i_la_pedra_filosofal ' , ' Harry_Potter_i_la_cambra_secreta ' i ' Harry_Potter_i_el_presoner_d'_Azkaban ' .
#goldHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,12,16,16,20,16,20,16,24,16,24,3,
#predictedHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,14,16,12,20,14,20,16,24,14,24,3,
(0,1),-6.62852 # DEPENDENCYPART_ARC
(0,2),-2.79399 # DEPENDENCYPART_ARC
(0,3),-3.38311 # DEPENDENCYPART_ARC
(0,12),-3.95687 # DEPENDENCYPART_ARC
(1,2),-0.158646 # DEPENDENCYPART_ARC
(1,3),-1.06548 # DEPENDENCYPART_ARC
(1,8),-1.38296 # DEPENDENCYPART_ARC
(1,10),-1.37836 # DEPENDENCYPART_ARC
(1,12),-2.24947 # DEPENDENCYPART_ARC
(1,16),-1.75141 # DEPENDENCYPART_ARC
(1,18),-1.77457 # DEPENDENCYPART_ARC
(1,20),-1.81109 # DEPENDENCYPART_ARC
(1,24),-1.59139 # DEPENDENCYPART_ARC
(1,26),-0.874011 # DEPENDENCYPART_ARC
(2,1),-0.462208 # DEPENDENCYPART_ARC
(2,3),-0.337231 # DEPENDENCYPART_ARC
(2,4),-0.139907 # DEPENDENCYPART_ARC
(2,8),-1.70855 # DEPENDENCYPART_ARC
(2,10),-1.38403 # DEPENDENCYPART_ARC
(2,12),-2.57878 # DEPENDENCYPART_ARC
(2,15),-1.49622 # DEPENDENCYPART_ARC
(2,17),-1.50884 # DEPENDENCYPART_ARC
(2,18),-0.602188 # DEPENDENCYPART_ARC
(2,22),-1.12362 # DEPENDENCYPART_ARC
(2,26),1.64298 # DEPENDENCYPART_ARC
(3,1),2.12516 # DEPENDENCYPART_ARC
(3,2),5.65977 # DEPENDENCYPART_ARC
(3,4),3.62012 # DEPENDENCYPART_ARC
(3,5),1.9387 # DEPENDENCYPART_ARC
(3,8),1.80547 # DEPENDENCYPART_ARC
(3,9),0.34587 # DEPENDENCYPART_ARC
(3,10),0.459196 # DEPENDENCYPART_ARC
(3,12),1.12131 # DEPENDENCYPART_ARC
(3,13),0.308504 # DEPENDENCYPART_ARC
(3,15),0.179943 # DEPENDENCYPART_ARC
(3,16),-1.32951 # DEPENDENCYPART_ARC
(3,17),0.275631 # DEPENDENCYPART_ARC
(3,18),0.665517 # DEPENDENCYPART_ARC
(3,19),-1.40299 # DEPENDENCYPART_ARC
(3,20),-2.38416 # DEPENDENCYPART_ARC
(3,21),-1.73264 # DEPENDENCYPART_ARC
(3,22),0.370216 # DEPENDENCYPART_ARC
(3,24),-3.46079 # DEPENDENCYPART_ARC
(3,25),-3.1342 # DEPENDENCYPART_ARC
(3,26),3.63035 # DEPENDENCYPART_ARC
(4,3),-1.70475 # DEPENDENCYPART_ARC
(4,5),5.07767 # DEPENDENCYPART_ARC
(4,8),-1.27898 # DEPENDENCYPART_ARC
(4,10),-0.93747 # DEPENDENCYPART_ARC
(4,12),-1.53397 # DEPENDENCYPART_ARC
(5,8),-0.955256 # DEPENDENCYPART_ARC
(5,9),-1.34352 # DEPENDENCYPART_ARC
(5,10),-1.20079 # DEPENDENCYPART_ARC
(5,12),-0.294199 # DEPENDENCYPART_ARC
(5,15),-0.426469 # DEPENDENCYPART_ARC
(5,16),-1.67894 # DEPENDENCYPART_ARC
(5,17),-2.01607 # DEPENDENCYPART_ARC
(5,18),-2.00571 # DEPENDENCYPART_ARC
(5,19),-1.84977 # DEPENDENCYPART_ARC
(5,20),-1.70762 # DEPENDENCYPART_ARC
(5,22),-0.665857 # DEPENDENCYPART_ARC
(5,24),-1.3537 # DEPENDENCYPART_ARC
(5,26),-2.17583 # DEPENDENCYPART_ARC
(6,4),-1.3355 # DEPENDENCYPART_ARC
(6,7),5.73768 # DEPENDENCYPART_ARC
(7,4),0.483278 # DEPENDENCYPART_ARC
(7,8),-0.573604 # DEPENDENCYPART_ARC
(8,3),-2.15338 # DEPENDENCYPART_ARC
(8,4),0.373553 # DEPENDENCYPART_ARC
(8,6),3.11922 # DEPENDENCYPART_ARC
(8,7),2.32005 # DEPENDENCYPART_ARC
(8,9),4.08329 # DEPENDENCYPART_ARC
(8,10),0.605201 # DEPENDENCYPART_ARC
(8,12),2.85664 # DEPENDENCYPART_ARC
(8,13),-0.425196 # DEPENDENCYPART_ARC
(8,15),0.588829 # DEPENDENCYPART_ARC
(8,16),0.124342 # DEPENDENCYPART_ARC
(8,17),-0.0463937 # DEPENDENCYPART_ARC
(8,18),-0.0943965 # DEPENDENCYPART_ARC
(8,19),-0.756062 # DEPENDENCYPART_ARC
(8,20),0.0675388 # DEPENDENCYPART_ARC
(8,21),-0.77035 # DEPENDENCYPART_ARC
(8,22),0.835975 # DEPENDENCYPART_ARC
(8,23),-1.53727 # DEPENDENCYPART_ARC
(8,24),0.46534 # DEPENDENCYPART_ARC
(8,26),0.395355 # DEPENDENCYPART_ARC
(9,4),0.385166 # DEPENDENCYPART_ARC
