# _root_ La construcció d' un edifici de Presidència a les cases Moxó i Morell , de les quals només es conservaran les façanes , haurà de respectar in_situ les restes .
#goldHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,22,17,15,20,20,10,22,20,20,26,26,0,26,29,26,26,
#predictedHeads=2,26,2,5,3,5,6,2,10,8,10,11,11,20,5,17,15,20,20,26,22,20,20,26,26,0,26,29,26,26,
(0,2),-7.53884 # DEPENDENCYPART_ARC
(0,3),-7.79096 # DEPENDENCYPART_ARC
(0,20),-5.13253 # DEPENDENCYPART_ARC
(0,24),-6.06258 # DEPENDENCYPART_ARC
(0,26),-6.0253 # DEPENDENCYPART_ARC
(1,2),1.68699 # DEPENDENCYPART_ARC
(1,3),0.0815173 # DEPENDENCYPART_ARC
(1,4),-0.746324 # DEPENDENCYPART_ARC
(2,1),3.91893 # DEPENDENCYPART_ARC
(2,3),3.05328 # DEPENDENCYPART_ARC
(2,4),-0.851478 # DEPENDENCYPART_ARC
(2,5),1.16181 # DEPENDENCYPART_ARC
(2,6),2.2709 # DEPENDENCYPART_ARC
(2,7),0.408163 # DEPENDENCYPART_ARC
(2,8),2.07119 # DEPENDENCYPART_ARC
(2,10),1.24572 # DEPENDENCYPART_ARC
(2,11),1.76107 # DEPENDENCYPART_ARC
(2,12),2.295 # DEPENDENCYPART_ARC
(2,13),1.54003 # DEPENDENCYPART_ARC
(2,14),1.11178 # DEPENDENCYPART_ARC
(2,15),-0.0416023 # DEPENDENCYPART_ARC
(2,18),-1.05122 # DEPENDENCYPART_ARC
(2,20),1.51311 # DEPENDENCYPART_ARC
(2,22),0.848655 # DEPENDENCYPART_ARC
(2,23),0.824128 # DEPENDENCYPART_ARC
(2,24),-2.08174 # DEPENDENCYPART_ARC
(2,26),-2.07294 # DEPENDENCYPART_ARC
(2,29),0.47916 # DEPENDENCYPART_ARC
(2,30),0.622866 # DEPENDENCYPART_ARC
(3,1),-0.33176 # DEPENDENCYPART_ARC
(3,2),-0.377101 # DEPENDENCYPART_ARC
(3,4),-0.976784 # DEPENDENCYPART_ARC
(3,5),3.99906 # DEPENDENCYPART_ARC
(3,6),-0.218064 # DEPENDENCYPART_ARC
(3,7),0.96913 # DEPENDENCYPART_ARC
(3,8),-0.938063 # DEPENDENCYPART_ARC
(3,12),-0.109899 # DEPENDENCYPART_ARC
(3,14),-0.169717 # DEPENDENCYPART_ARC
(3,15),0.143012 # DEPENDENCYPART_ARC
(3,25),-2.59025 # DEPENDENCYPART_ARC
(4,3),1.06334 # DEPENDENCYPART_ARC
(4,5),3.04352 # DEPENDENCYPART_ARC
(4,6),1.33847 # DEPENDENCYPART_ARC
(4,8),-1.48199 # DEPENDENCYPART_ARC
(5,1),0.204276 # DEPENDENCYPART_ARC
(5,2),-1.53338 # DEPENDENCYPART_ARC
(5,3),0.737956 # DEPENDENCYPART_ARC
