# _root_ ' La societat la formem tots ' , ha insistit , i cal la responsabilitat de tots .
#goldHeads=5,3,5,5,10,5,5,5,10,0,10,10,10,15,13,15,16,10,
#predictedHeads=5,3,5,5,10,5,5,5,10,0,10,5,5,15,13,15,16,10,
(0,3),-5.92967 # DEPENDENCYPART_ARC
(0,5),-3.52127 # DEPENDENCYPART_ARC
(0,9),-1.22349 # DEPENDENCYPART_ARC
(0,10),-1.67832 # DEPENDENCYPART_ARC
(0,13),-4.04042 # DEPENDENCYPART_ARC
(2,3),-0.0533568 # DEPENDENCYPART_ARC
(3,1),0.795621 # DEPENDENCYPART_ARC
(3,2),3.56981 # DEPENDENCYPART_ARC
(3,4),-1.37769 # DEPENDENCYPART_ARC
(3,5),1.14124 # DEPENDENCYPART_ARC
(3,6),-2.55208 # DEPENDENCYPART_ARC
(3,7),-0.992157 # DEPENDENCYPART_ARC
(3,8),-1.68992 # DEPENDENCYPART_ARC
(3,9),-0.600949 # DEPENDENCYPART_ARC
(3,10),-0.679035 # DEPENDENCYPART_ARC
(3,11),-1.55123 # DEPENDENCYPART_ARC
(3,12),-2.30793 # DEPENDENCYPART_ARC
(3,13),-3.27405 # DEPENDENCYPART_ARC
(3,15),-2.26792 # DEPENDENCYPART_ARC
(3,17),-4.02213 # DEPENDENCYPART_ARC
(3,18),0.335857 # DEPENDENCYPART_ARC
(4,5),-2.03465 # DEPENDENCYPART_ARC
(4,6),-1.59074 # DEPENDENCYPART_ARC
(4,8),-1.29827 # DEPENDENCYPART_ARC
(4,10),-3.33468 # DEPENDENCYPART_ARC
(4,11),-2.17174 # DEPENDENCYPART_ARC
(4,13),-4.57541 # DEPENDENCYPART_ARC
(5,1),3.27643 # DEPENDENCYPART_ARC
(5,2),0.28382 # DEPENDENCYPART_ARC
(5,3),1.6152 # DEPENDENCYPART_ARC
(5,4),3.41805 # DEPENDENCYPART_ARC
(5,6),3.34317 # DEPENDENCYPART_ARC
(5,7),2.3919 # DEPENDENCYPART_ARC
(5,8),2.43299 # DEPENDENCYPART_ARC
(5,9),1.56363 # DEPENDENCYPART_ARC
(5,10),0.561213 # DEPENDENCYPART_ARC
(5,11),1.19376 # DEPENDENCYPART_ARC
(5,12),2.73169 # DEPENDENCYPART_ARC
(5,13),2.49419 # DEPENDENCYPART_ARC
(5,15),-1.02849 # DEPENDENCYPART_ARC
(5,16),-1.34779 # DEPENDENCYPART_ARC
(5,17),0.155612 # DEPENDENCYPART_ARC
(5,18),3.61004 # DEPENDENCYPART_ARC
(6,5),0.171039 # DEPENDENCYPART_ARC
(6,7),0.655582 # DEPENDENCYPART_ARC
(6,8),0.150768 # DEPENDENCYPART_ARC
(6,9),0.690003 # DEPENDENCYPART_ARC
(6,10),0.1297 # DEPENDENCYPART_ARC
(6,11),-0.729963 # DEPENDENCYPART_ARC
(6,12),-0.229365 # DEPENDENCYPART_ARC
(6,13),-1.38035 # DEPENDENCYPART_ARC
(6,15),-1.67013 # DEPENDENCYPART_ARC
(6,16),-1.61251 # DEPENDENCYPART_ARC
(6,17),-0.113209 # DEPENDENCYPART_ARC
(6,18),1.15579 # DEPENDENCYPART_ARC
(9,1),-1.26939 # DEPENDENCYPART_ARC
(9,3),-2.12766 # DEPENDENCYPART_ARC
(9,5),-1.09747 # DEPENDENCYPART_ARC
(9,7),-0.919632 # DEPENDENCYPART_ARC
(9,8),-1.87951 # DEPENDENCYPART_ARC
(9,10),0.469599 # DEPENDENCYPART_ARC
(9,11),-0.0151852 # DEPENDENCYPART_ARC
(9,12),1.20519 # DEPENDENCYPART_ARC
(9,13),-0.0501966 # DEPENDENCYPART_ARC
(9,15),-1.56217 # DEPENDENCYPART_ARC
(9,18),2.6969 # DEPENDENCYPART_ARC
(10,1),-0.0671666 # DEPENDENCYPART_ARC
(10,2),-1.81527 # DEPENDENCYPART_ARC
(10,3),0.378893 # DEPENDENCYPART_ARC
(10,4),0.382833 # DEPENDENCYPART_ARC
(10,5),2.54166 # DEPENDENCYPART_ARC
(10,6),1.053 # DEPENDENCYPART_ARC
(10,7),0.784319 # DEPENDENCYPART_ARC
(10,8),0.0651036 # DEPENDENCYPART_ARC
(10,9),6.43844 # DEPENDENCYPART_ARC
(10,11),1.3455 # DEPENDENCYPART_ARC
(10,12),2.708 # DEPENDENCYPART_ARC
(10,13),2.42738 # DEPENDENCYPART_ARC
(10,15),0.710378 # DEPENDENCYPART_ARC
(10,16),-0.937926 # DEPENDENCYPART_ARC
(10,17),-0.759205 # DEPENDENCYPART_ARC
(10,18),4.01321 # DEPENDENCYPART_ARC
(11,8),-1.5248 # DEPENDENCYPART_ARC
(12,11),-1.85981 # DEPENDENCYPART_ARC
(13,1),-2.648 # DEPENDENCYPART_ARC
(13,3),-1.4516 # DEPENDENCYPART_ARC
(13,5),-1.56402 # DEPENDENCYPART_ARC
(13,6),-2.26897 # DEPENDENCYPART_ARC
(13,7),-2.56446 # DEPENDENCYPART_ARC
(13,8),-3.23429 # DEPENDENCYPART_ARC
(13,9),1.36104 # DEPENDENCYPART_ARC
(13,10),-1.8207 # DEPENDENCYPART_ARC
(13,11),0.042895 # DEPENDENCYPART_ARC
(13,12),1.09826 # DEPENDENCYPART_ARC
(13,15),2.68737 # DEPENDENCYPART_ARC
(13,16),-0.00597744 # DEPENDENCYPART_ARC
(13,17),-0.272839 # DEPENDENCYPART_ARC
(13,18),2.39176 # DEPENDENCYPART_ARC
(14,16),0.242387 # DEPENDENCYPART_ARC
(15,5),-3.31953 # DEPENDENCYPART_ARC
(15,8),-0.965607 # DEPENDENCYPART_ARC
(15,10),-2.08619 # DEPENDENCYPART_ARC
(15,11),-1.04644 # DEPENDENCYPART_ARC
(15,12),-0.336792 # DEPENDENCYPART_ARC
(15,13),-0.157091 # DEPENDENCYPART_ARC
(15,14),3.45056 # DEPENDENCYPART_ARC
(15,16),2.3708 # DEPENDENCYPART_ARC
(15,17),0.403102 # DEPENDENCYPART_ARC
(15,18),1.51195 # DEPENDENCYPART_ARC
(16,5),-2.04634 # DEPENDENCYPART_ARC
(16,7),-1.79019 # DEPENDENCYPART_ARC
(16,14),-0.314079 # DEPENDENCYPART_ARC
(16,17),2.92857 # DEPENDENCYPART_ARC
(16,18),-0.442395 # DEPENDENCYPART_ARC
(17,11),0.0273234 # DEPENDENCYPART_ARC
(17,12),-0.400325 # DEPENDENCYPART_ARC
(17,16),1.30567 # DEPENDENCYPART_ARC
(17,18),-0.084025 # DEPENDENCYPART_ARC
