# _root_ Fidel a la_seva filosofia , no utilitza frac ni esmòquing , l' uniforme oficial d' un director .
#goldHeads=7,1,4,2,1,7,0,7,8,8,13,13,8,13,13,17,15,7,
#predictedHeads=7,1,4,2,1,7,0,7,8,8,1,13,8,13,13,17,15,7,
(0,1),-7.30276 # DEPENDENCYPART_ARC
(0,2),-7.18473 # DEPENDENCYPART_ARC
(0,7),-2.75682 # DEPENDENCYPART_ARC
(1,2),2.44848 # DEPENDENCYPART_ARC
(1,4),0.52937 # DEPENDENCYPART_ARC
(1,5),1.87806 # DEPENDENCYPART_ARC
(1,7),-0.00578513 # DEPENDENCYPART_ARC
(1,8),-0.727838 # DEPENDENCYPART_ARC
(1,9),0.367868 # DEPENDENCYPART_ARC
(1,10),-0.74611 # DEPENDENCYPART_ARC
(1,11),1.28764 # DEPENDENCYPART_ARC
(1,13),-1.11837 # DEPENDENCYPART_ARC
(1,14),-0.204179 # DEPENDENCYPART_ARC
(1,15),-2.71526 # DEPENDENCYPART_ARC
(1,18),0.800806 # DEPENDENCYPART_ARC
(2,1),-0.0434324 # DEPENDENCYPART_ARC
(2,4),4.63708 # DEPENDENCYPART_ARC
(2,5),0.108758 # DEPENDENCYPART_ARC
(2,6),-0.954606 # DEPENDENCYPART_ARC
(2,7),-0.618653 # DEPENDENCYPART_ARC
(2,9),-0.703815 # DEPENDENCYPART_ARC
(2,11),-1.40704 # DEPENDENCYPART_ARC
(2,15),-3.11701 # DEPENDENCYPART_ARC
(4,1),-0.528334 # DEPENDENCYPART_ARC
(4,2),0.11474 # DEPENDENCYPART_ARC
(4,3),3.66772 # DEPENDENCYPART_ARC
(4,5),0.279413 # DEPENDENCYPART_ARC
(4,6),-0.726615 # DEPENDENCYPART_ARC
(4,7),1.03603 # DEPENDENCYPART_ARC
(4,8),-0.635827 # DEPENDENCYPART_ARC
(4,9),0.258399 # DEPENDENCYPART_ARC
(4,10),-0.0711026 # DEPENDENCYPART_ARC
(4,11),0.168378 # DEPENDENCYPART_ARC
(4,13),-0.495627 # DEPENDENCYPART_ARC
(4,14),-0.0477568 # DEPENDENCYPART_ARC
(4,15),-1.37262 # DEPENDENCYPART_ARC
(4,17),-0.218575 # DEPENDENCYPART_ARC
(4,18),0.710024 # DEPENDENCYPART_ARC
(6,5),-0.285006 # DEPENDENCYPART_ARC
(7,1),0.285769 # DEPENDENCYPART_ARC
(7,2),0.737779 # DEPENDENCYPART_ARC
(7,4),1.60667 # DEPENDENCYPART_ARC
(7,5),1.40583 # DEPENDENCYPART_ARC
(7,6),4.16615 # DEPENDENCYPART_ARC
(7,8),3.76485 # DEPENDENCYPART_ARC
(7,9),1.33875 # DEPENDENCYPART_ARC
(7,10),0.59156 # DEPENDENCYPART_ARC
(7,11),0.933038 # DEPENDENCYPART_ARC
(7,13),-0.142843 # DEPENDENCYPART_ARC
(7,14),0.00321558 # DEPENDENCYPART_ARC
(7,15),-0.11446 # DEPENDENCYPART_ARC
(7,17),-0.729273 # DEPENDENCYPART_ARC
(7,18),3.85721 # DEPENDENCYPART_ARC
(8,1),-1.60909 # DEPENDENCYPART_ARC
(8,2),-0.716965 # DEPENDENCYPART_ARC
(8,5),-0.90034 # DEPENDENCYPART_ARC
(8,6),0.709845 # DEPENDENCYPART_ARC
(8,7),0.274136 # DEPENDENCYPART_ARC
(8,9),2.81708 # DEPENDENCYPART_ARC
(8,10),2.30117 # DEPENDENCYPART_ARC
(8,11),0.27089 # DEPENDENCYPART_ARC
(8,13),0.866045 # DEPENDENCYPART_ARC
(8,14),1.40715 # DEPENDENCYPART_ARC
(8,15),0.57629 # DEPENDENCYPART_ARC
(8,17),0.84513 # DEPENDENCYPART_ARC
(8,18),0.424259 # DEPENDENCYPART_ARC
(10,1),-1.56556 # DEPENDENCYPART_ARC
(10,2),-1.39974 # DEPENDENCYPART_ARC
(10,5),-0.929415 # DEPENDENCYPART_ARC
(10,6),-0.376746 # DEPENDENCYPART_ARC
(10,7),-0.783356 # DEPENDENCYPART_ARC
(10,9),0.957167 # DEPENDENCYPART_ARC
(10,11),-0.0990723 # DEPENDENCYPART_ARC
(10,13),0.376768 # DEPENDENCYPART_ARC
(10,14),0.722942 # DEPENDENCYPART_ARC
(10,15),0.192943 # DEPENDENCYPART_ARC
(10,17),0.395059 # DEPENDENCYPART_ARC
(10,18),0.381206 # DEPENDENCYPART_ARC
(11,10),-1.73651 # DEPENDENCYPART_ARC
(12,10),-1.63782 # DEPENDENCYPART_ARC
(12,13),-0.987961 # DEPENDENCYPART_ARC
(12,16),-1.81902 # DEPENDENCYPART_ARC
(13,1),-1.47899 # DEPENDENCYPART_ARC
(13,2),-1.05383 # DEPENDENCYPART_ARC
(13,5),-0.60636 # DEPENDENCYPART_ARC
(13,7),-0.713705 # DEPENDENCYPART_ARC
(13,9),0.331208 # DEPENDENCYPART_ARC
(13,10),-1.04927 # DEPENDENCYPART_ARC
(13,11),1.1398 # DEPENDENCYPART_ARC
(13,12),3.72035 # DEPENDENCYPART_ARC
(13,14),3.58274 # DEPENDENCYPART_ARC
(13,15),2.33101 # DEPENDENCYPART_ARC
(13,16),-0.568279 # DEPENDENCYPART_ARC
(13,17),1.51157 # DEPENDENCYPART_ARC
(13,18),0.886045 # DEPENDENCYPART_ARC
(14,5),-1.6828 # DEPENDENCYPART_ARC
(14,9),-0.831415 # DEPENDENCYPART_ARC
(14,10),-1.98712 # DEPENDENCYPART_ARC
(14,11),0.293438 # DEPENDENCYPART_ARC
(14,12),0.13578 # DEPENDENCYPART_ARC
(14,13),-0.0999028 # DEPENDENCYPART_ARC
(14,15),0.603616 # DEPENDENCYPART_ARC
(14,17),-0.608804 # DEPENDENCYPART_ARC
(14,18),-0.566371 # DEPENDENCYPART_ARC
(15,9),-0.629862 # DEPENDENCYPART_ARC
(15,11),-0.720367 # DEPENDENCYPART_ARC
(15,13),-1.09843 # DEPENDENCYPART_ARC
(15,14),-0.145274 # DEPENDENCYPART_ARC
(15,17),4.34124 # DEPENDENCYPART_ARC
(15,18),-0.334824 # DEPENDENCYPART_ARC
(16,15),0.628608 # DEPENDENCYPART_ARC
(17,1),-1.59512 # DEPENDENCYPART_ARC
(17,2),-1.07392 # DEPENDENCYPART_ARC
(17,5),-0.194341 # DEPENDENCYPART_ARC
(17,7),-0.497609 # DEPENDENCYPART_ARC
(17,9),0.231584 # DEPENDENCYPART_ARC
(17,10),-1.38367 # DEPENDENCYPART_ARC
(17,11),0.603458 # DEPENDENCYPART_ARC
(17,12),0.390494 # DEPENDENCYPART_ARC
(17,13),-1.39441 # DEPENDENCYPART_ARC
(17,14),-0.268455 # DEPENDENCYPART_ARC
(17,15),1.32248 # DEPENDENCYPART_ARC
(17,16),4.36283 # DEPENDENCYPART_ARC
(17,18),0.700898 # DEPENDENCYPART_ARC
