# _root_ A_partir_de dilluns_,_dia_5 , també es podrà adquirir a les llibreries de la Generalitat a un preu de 2.500 pessetes .
#goldHeads=7,1,1,7,7,7,0,7,10,8,10,13,11,7,16,14,16,19,17,7,
#predictedHeads=7,1,1,7,7,7,0,7,10,8,10,13,11,7,16,14,16,19,17,7,
(0,1),-7.09128 # DEPENDENCYPART_ARC
(0,2),-6.75121 # DEPENDENCYPART_ARC
(0,6),-3.43374 # DEPENDENCYPART_ARC
(0,7),-3.95474 # DEPENDENCYPART_ARC
(1,2),3.27639 # DEPENDENCYPART_ARC
(1,3),2.06855 # DEPENDENCYPART_ARC
(1,4),-0.0948107 # DEPENDENCYPART_ARC
(1,6),-0.765268 # DEPENDENCYPART_ARC
(1,7),-0.709016 # DEPENDENCYPART_ARC
(1,8),-1.23055 # DEPENDENCYPART_ARC
(1,20),-0.40154 # DEPENDENCYPART_ARC
(2,1),0.350692 # DEPENDENCYPART_ARC
(2,3),0.334388 # DEPENDENCYPART_ARC
(2,6),0.484983 # DEPENDENCYPART_ARC
(2,7),-0.485554 # DEPENDENCYPART_ARC
(2,8),-1.19367 # DEPENDENCYPART_ARC
(2,11),-1.39404 # DEPENDENCYPART_ARC
(2,14),-1.80765 # DEPENDENCYPART_ARC
(4,1),-1.54034 # DEPENDENCYPART_ARC
(4,3),-0.260822 # DEPENDENCYPART_ARC
(4,6),-1.99775 # DEPENDENCYPART_ARC
(6,1),-0.774827 # DEPENDENCYPART_ARC
(6,2),-2.26598 # DEPENDENCYPART_ARC
(6,3),-1.46685 # DEPENDENCYPART_ARC
(6,4),0.504841 # DEPENDENCYPART_ARC
(6,5),1.25237 # DEPENDENCYPART_ARC
(6,7),1.33264 # DEPENDENCYPART_ARC
(6,8),0.00276351 # DEPENDENCYPART_ARC
(6,10),-1.01669 # DEPENDENCYPART_ARC
(6,11),-2.20025 # DEPENDENCYPART_ARC
(6,13),-2.25605 # DEPENDENCYPART_ARC
(6,14),-1.263 # DEPENDENCYPART_ARC
(6,16),-2.29527 # DEPENDENCYPART_ARC
(6,18),-2.73216 # DEPENDENCYPART_ARC
(6,19),-2.70392 # DEPENDENCYPART_ARC
(6,20),1.0145 # DEPENDENCYPART_ARC
(7,1),1.45216 # DEPENDENCYPART_ARC
(7,2),-0.444038 # DEPENDENCYPART_ARC
(7,3),0.0356067 # DEPENDENCYPART_ARC
(7,4),2.45693 # DEPENDENCYPART_ARC
(7,5),3.20935 # DEPENDENCYPART_ARC
(7,6),4.55809 # DEPENDENCYPART_ARC
(7,8),3.9613 # DEPENDENCYPART_ARC
(7,10),2.7617 # DEPENDENCYPART_ARC
