# _root_ On hi ha varietat de flora , però , el Seneci_del_Cap és rebutjat tant pels animals de pastura com per les abelles .
#goldHeads=3,3,13,3,4,5,8,13,8,11,13,13,0,15,13,15,16,17,15,15,22,20,13,
#predictedHeads=3,3,13,3,4,5,8,13,8,11,13,0,12,13,13,15,16,17,15,15,22,20,13,
(0,3),-2.0347 # DEPENDENCYPART_ARC
(0,4),-6.49689 # DEPENDENCYPART_ARC
(0,12),-0.821785 # DEPENDENCYPART_ARC
(0,13),-2.84104 # DEPENDENCYPART_ARC
(1,4),-1.15251 # DEPENDENCYPART_ARC
(1,5),-1.34269 # DEPENDENCYPART_ARC
(2,4),-2.06125 # DEPENDENCYPART_ARC
(2,5),-2.26191 # DEPENDENCYPART_ARC
(2,9),-2.15602 # DEPENDENCYPART_ARC
(3,1),2.95675 # DEPENDENCYPART_ARC
(3,2),3.06257 # DEPENDENCYPART_ARC
(3,4),3.34726 # DEPENDENCYPART_ARC
(3,5),0.117253 # DEPENDENCYPART_ARC
(3,6),0.101256 # DEPENDENCYPART_ARC
(3,7),0.418635 # DEPENDENCYPART_ARC
(3,8),0.291776 # DEPENDENCYPART_ARC
(3,9),-0.247528 # DEPENDENCYPART_ARC
(3,12),-0.0552606 # DEPENDENCYPART_ARC
(3,13),-1.61489 # DEPENDENCYPART_ARC
(3,15),-1.41899 # DEPENDENCYPART_ARC
(3,20),-3.52639 # DEPENDENCYPART_ARC
(3,23),2.11066 # DEPENDENCYPART_ARC
(4,1),-1.16787 # DEPENDENCYPART_ARC
(4,2),0.657665 # DEPENDENCYPART_ARC
(4,3),-0.454794 # DEPENDENCYPART_ARC
(4,5),3.42473 # DEPENDENCYPART_ARC
(4,6),1.00185 # DEPENDENCYPART_ARC
(4,7),0.180108 # DEPENDENCYPART_ARC
(4,8),-0.0511504 # DEPENDENCYPART_ARC
(4,9),0.335294 # DEPENDENCYPART_ARC
(4,11),0.027731 # DEPENDENCYPART_ARC
(4,12),0.693955 # DEPENDENCYPART_ARC
(4,13),-0.365295 # DEPENDENCYPART_ARC
(4,14),-1.08194 # DEPENDENCYPART_ARC
(4,15),-1.38746 # DEPENDENCYPART_ARC
(4,17),-1.67053 # DEPENDENCYPART_ARC
(4,20),-2.26263 # DEPENDENCYPART_ARC
(4,23),0.3956 # DEPENDENCYPART_ARC
(5,6),4.09609 # DEPENDENCYPART_ARC
(5,7),0.0243176 # DEPENDENCYPART_ARC
(5,8),-0.657099 # DEPENDENCYPART_ARC
(5,9),-0.476632 # DEPENDENCYPART_ARC
(5,11),-1.66091 # DEPENDENCYPART_ARC
(5,12),-2.86734 # DEPENDENCYPART_ARC
(5,13),-1.92741 # DEPENDENCYPART_ARC
(5,15),-1.31899 # DEPENDENCYPART_ARC
(5,19),-0.203101 # DEPENDENCYPART_ARC
(6,2),0.621582 # DEPENDENCYPART_ARC
(6,3),-1.70746 # DEPENDENCYPART_ARC
(6,5),1.24302 # DEPENDENCYPART_ARC
(6,7),-0.239393 # DEPENDENCYPART_ARC
(6,8),-0.620758 # DEPENDENCYPART_ARC
(6,9),0.237141 # DEPENDENCYPART_ARC
(6,11),-0.444335 # DEPENDENCYPART_ARC
(6,12),0.223015 # DEPENDENCYPART_ARC
(6,13),-1.25299 # DEPENDENCYPART_ARC
(8,5),-0.814633 # DEPENDENCYPART_ARC
(8,6),-1.31174 # DEPENDENCYPART_ARC
(8,7),2.68225 # DEPENDENCYPART_ARC
(8,9),2.86756 # DEPENDENCYPART_ARC
(8,11),-1.17329 # DEPENDENCYPART_ARC
(8,12),-0.70868 # DEPENDENCYPART_ARC
(8,13),-1.34607 # DEPENDENCYPART_ARC
(8,14),-1.62088 # DEPENDENCYPART_ARC
(8,15),-2.26842 # DEPENDENCYPART_ARC
(8,23),0.654797 # DEPENDENCYPART_ARC
(9,7),-0.219788 # DEPENDENCYPART_ARC
(10,8),-1.54563 # DEPENDENCYPART_ARC
(10,11),-0.707911 # DEPENDENCYPART_ARC
(11,4),-1.43895 # DEPENDENCYPART_ARC
(11,5),-1.3319 # DEPENDENCYPART_ARC
(11,7),-0.501727 # DEPENDENCYPART_ARC
(11,8),-0.491618 # DEPENDENCYPART_ARC
(11,9),0.116714 # DEPENDENCYPART_ARC
(11,10),2.8063 # DEPENDENCYPART_ARC
(11,12),-0.431002 # DEPENDENCYPART_ARC
(11,13),-1.31344 # DEPENDENCYPART_ARC
(11,14),-1.62212 # DEPENDENCYPART_ARC
(11,15),-2.56099 # DEPENDENCYPART_ARC
(12,1),0.82783 # DEPENDENCYPART_ARC
(12,2),-1.13773 # DEPENDENCYPART_ARC
(12,3),-0.725058 # DEPENDENCYPART_ARC
(12,4),-0.329913 # DEPENDENCYPART_ARC
(12,7),-1.20779 # DEPENDENCYPART_ARC
(12,8),0.438102 # DEPENDENCYPART_ARC
(12,9),-0.732927 # DEPENDENCYPART_ARC
(12,10),-1.27004 # DEPENDENCYPART_ARC
(12,11),1.09821 # DEPENDENCYPART_ARC
(12,13),1.60452 # DEPENDENCYPART_ARC
(12,14),-0.236139 # DEPENDENCYPART_ARC
(12,15),0.163255 # DEPENDENCYPART_ARC
(12,16),-0.83857 # DEPENDENCYPART_ARC
(12,17),-0.647543 # DEPENDENCYPART_ARC
(12,19),-0.782363 # DEPENDENCYPART_ARC
(12,20),-1.56479 # DEPENDENCYPART_ARC
(12,23),4.63906 # DEPENDENCYPART_ARC
(13,1),1.07521 # DEPENDENCYPART_ARC
(13,2),-0.0718674 # DEPENDENCYPART_ARC
(13,3),0.186437 # DEPENDENCYPART_ARC
(13,4),-0.389058 # DEPENDENCYPART_ARC
(13,5),-2.13074 # DEPENDENCYPART_ARC
(13,6),-0.954332 # DEPENDENCYPART_ARC
(13,7),-0.969395 # DEPENDENCYPART_ARC
(13,8),0.489513 # DEPENDENCYPART_ARC
(13,9),-0.278703 # DEPENDENCYPART_ARC
(13,10),-0.926917 # DEPENDENCYPART_ARC
(13,11),1.73902 # DEPENDENCYPART_ARC
(13,12),3.31615 # DEPENDENCYPART_ARC
(13,14),1.97426 # DEPENDENCYPART_ARC
(13,15),2.32283 # DEPENDENCYPART_ARC
(13,16),1.26183 # DEPENDENCYPART_ARC
(13,17),0.528893 # DEPENDENCYPART_ARC
(13,18),1.31806 # DEPENDENCYPART_ARC
(13,19),0.402984 # DEPENDENCYPART_ARC
(13,20),-0.258901 # DEPENDENCYPART_ARC
(13,22),0.236232 # DEPENDENCYPART_ARC
(13,23),5.05622 # DEPENDENCYPART_ARC
(14,7),-2.18607 # DEPENDENCYPART_ARC
(14,8),-2.60459 # DEPENDENCYPART_ARC
(14,9),-2.00126 # DEPENDENCYPART_ARC
(14,13),-1.05454 # DEPENDENCYPART_ARC
(14,15),-0.441478 # DEPENDENCYPART_ARC
(14,16),-0.792721 # DEPENDENCYPART_ARC
(14,17),-1.56681 # DEPENDENCYPART_ARC
(14,19),-0.80687 # DEPENDENCYPART_ARC
(14,20),-1.87937 # DEPENDENCYPART_ARC
(15,10),-0.500896 # DEPENDENCYPART_ARC
(15,12),-0.0933717 # DEPENDENCYPART_ARC
(15,13),-0.806662 # DEPENDENCYPART_ARC
(15,14),1.61618 # DEPENDENCYPART_ARC
(15,16),4.72537 # DEPENDENCYPART_ARC
(15,17),1.59544 # DEPENDENCYPART_ARC
(15,18),0.96922 # DEPENDENCYPART_ARC
(15,19),2.37908 # DEPENDENCYPART_ARC
(15,20),2.1256 # DEPENDENCYPART_ARC
(15,23),1.80536 # DEPENDENCYPART_ARC
(16,14),-0.173665 # DEPENDENCYPART_ARC
(16,15),-0.183663 # DEPENDENCYPART_ARC
(16,17),3.46063 # DEPENDENCYPART_ARC
(16,18),0.902401 # DEPENDENCYPART_ARC
(16,19),0.0147686 # DEPENDENCYPART_ARC
(16,20),-0.916459 # DEPENDENCYPART_ARC
(16,22),0.000442213 # DEPENDENCYPART_ARC
(16,23),0.762888 # DEPENDENCYPART_ARC
(17,14),0.077162 # DEPENDENCYPART_ARC
(17,18),3.84913 # DEPENDENCYPART_ARC
(17,19),1.03376 # DEPENDENCYPART_ARC
(17,20),-0.50302 # DEPENDENCYPART_ARC
(18,8),-1.69239 # DEPENDENCYPART_ARC
(18,14),0.137516 # DEPENDENCYPART_ARC
(18,17),1.65995 # DEPENDENCYPART_ARC
(18,19),-0.775219 # DEPENDENCYPART_ARC
(18,20),-1.74043 # DEPENDENCYPART_ARC
(19,20),0.259182 # DEPENDENCYPART_ARC
(19,22),1.19128 # DEPENDENCYPART_ARC
(19,23),0.564859 # DEPENDENCYPART_ARC
(20,17),0.495095 # DEPENDENCYPART_ARC
(20,19),1.18776 # DEPENDENCYPART_ARC
(20,21),-0.405131 # DEPENDENCYPART_ARC
(20,22),5.07199 # DEPENDENCYPART_ARC
(20,23),1.28672 # DEPENDENCYPART_ARC
(22,2),-1.74988 # DEPENDENCYPART_ARC
(22,14),-1.36087 # DEPENDENCYPART_ARC
(22,15),-1.98069 # DEPENDENCYPART_ARC
(22,17),-1.58713 # DEPENDENCYPART_ARC
(22,19),-0.72345 # DEPENDENCYPART_ARC
(22,21),4.08864 # DEPENDENCYPART_ARC
(22,23),0.0443386 # DEPENDENCYPART_ARC
