# _root_ Tot_i_que ahir hi va haver una reunió de darrera hora , no es va aconseguir acostar posicions , de_manera_que els treballadors han decidit anar a la vaga .
#goldHeads=5,5,5,5,15,7,5,7,10,8,5,15,15,15,0,15,16,23,23,21,23,23,15,23,24,27,25,15,
#predictedHeads=5,5,5,5,0,7,5,7,10,8,4,15,15,15,7,15,16,23,23,21,23,23,16,23,24,27,25,16,
(0,4),-5.59351 # DEPENDENCYPART_ARC
(0,5),-5.52123 # DEPENDENCYPART_ARC
(0,14),-5.39314 # DEPENDENCYPART_ARC
(0,15),-5.34829 # DEPENDENCYPART_ARC
(0,16),-5.71542 # DEPENDENCYPART_ARC
(0,22),-6.05692 # DEPENDENCYPART_ARC
(0,23),-5.27682 # DEPENDENCYPART_ARC
(0,24),-6.15284 # DEPENDENCYPART_ARC
(1,2),-0.448736 # DEPENDENCYPART_ARC
(1,4),-0.124478 # DEPENDENCYPART_ARC
(1,8),-1.70923 # DEPENDENCYPART_ARC
(1,11),-0.288036 # DEPENDENCYPART_ARC
(1,19),-0.598191 # DEPENDENCYPART_ARC
(2,1),-0.203732 # DEPENDENCYPART_ARC
(2,3),-0.571788 # DEPENDENCYPART_ARC
(2,4),-0.573223 # DEPENDENCYPART_ARC
(2,5),-1.67805 # DEPENDENCYPART_ARC
(2,7),-2.49606 # DEPENDENCYPART_ARC
(3,1),-0.945233 # DEPENDENCYPART_ARC
(3,2),-0.480144 # DEPENDENCYPART_ARC
(3,7),-1.53913 # DEPENDENCYPART_ARC
(3,8),-1.8719 # DEPENDENCYPART_ARC
(4,1),1.59493 # DEPENDENCYPART_ARC
(4,2),1.14028 # DEPENDENCYPART_ARC
(4,3),1.0579 # DEPENDENCYPART_ARC
(4,5),1.40319 # DEPENDENCYPART_ARC
(4,7),0.41283 # DEPENDENCYPART_ARC
(4,8),-0.193513 # DEPENDENCYPART_ARC
(4,11),0.362407 # DEPENDENCYPART_ARC
(4,28),0.201131 # DEPENDENCYPART_ARC
(5,1),2.28747 # DEPENDENCYPART_ARC
(5,2),2.41579 # DEPENDENCYPART_ARC
(5,3),2.86129 # DEPENDENCYPART_ARC
(5,4),4.19973 # DEPENDENCYPART_ARC
(5,6),0.311627 # DEPENDENCYPART_ARC
(5,7),2.95184 # DEPENDENCYPART_ARC
(5,8),0.133047 # DEPENDENCYPART_ARC
(5,10),1.21711 # DEPENDENCYPART_ARC
(5,11),0.113937 # DEPENDENCYPART_ARC
(5,14),-0.935513 # DEPENDENCYPART_ARC
(5,15),-0.256408 # DEPENDENCYPART_ARC
(5,16),-0.373581 # DEPENDENCYPART_ARC
(5,18),0.650302 # DEPENDENCYPART_ARC
(5,19),-1.14933 # DEPENDENCYPART_ARC
(5,22),-1.2798 # DEPENDENCYPART_ARC
(5,23),-1.16557 # DEPENDENCYPART_ARC
(5,24),-1.12119 # DEPENDENCYPART_ARC
(5,25),-1.01498 # DEPENDENCYPART_ARC
(5,28),3.02918 # DEPENDENCYPART_ARC
(6,7),2.85891 # DEPENDENCYPART_ARC
(6,8),0.930172 # DEPENDENCYPART_ARC
(7,1),-0.631047 # DEPENDENCYPART_ARC
(7,2),-0.537563 # DEPENDENCYPART_ARC
(7,3),0.47112 # DEPENDENCYPART_ARC
(7,4),-1.36805 # DEPENDENCYPART_ARC
(7,5),0.0998815 # DEPENDENCYPART_ARC
(7,6),3.86348 # DEPENDENCYPART_ARC
(7,8),3.60492 # DEPENDENCYPART_ARC
(7,9),1.79142 # DEPENDENCYPART_ARC
(7,10),1.1616 # DEPENDENCYPART_ARC
(7,11),0.170095 # DEPENDENCYPART_ARC
(7,14),1.11145 # DEPENDENCYPART_ARC
(7,15),0.782062 # DEPENDENCYPART_ARC
(7,16),0.0492919 # DEPENDENCYPART_ARC
(7,17),-0.806393 # DEPENDENCYPART_ARC
(7,18),-0.0216615 # DEPENDENCYPART_ARC
(7,19),-0.249559 # DEPENDENCYPART_ARC
(7,21),-2.08727 # DEPENDENCYPART_ARC
(7,23),-2.25013 # DEPENDENCYPART_ARC
(7,24),-3.35048 # DEPENDENCYPART_ARC
(7,28),0.667286 # DEPENDENCYPART_ARC
(8,6),-0.326365 # DEPENDENCYPART_ARC
(8,9),1.92306 # DEPENDENCYPART_ARC
(8,10),4.12658 # DEPENDENCYPART_ARC
(8,11),0.117042 # DEPENDENCYPART_ARC
(8,12),-1.59909 # DEPENDENCYPART_ARC
(8,14),-0.693416 # DEPENDENCYPART_ARC
(8,15),-0.489061 # DEPENDENCYPART_ARC
(8,16),-2.05902 # DEPENDENCYPART_ARC
(10,1),-0.679041 # DEPENDENCYPART_ARC
(10,2),-0.845747 # DEPENDENCYPART_ARC
(10,3),0.422529 # DEPENDENCYPART_ARC
(10,4),-1.98606 # DEPENDENCYPART_ARC
(10,5),-1.05079 # DEPENDENCYPART_ARC
(10,6),1.98068 # DEPENDENCYPART_ARC
(10,8),1.11088 # DEPENDENCYPART_ARC
(10,9),5.02353 # DEPENDENCYPART_ARC
(10,11),0.0235769 # DEPENDENCYPART_ARC
(10,12),-0.445597 # DEPENDENCYPART_ARC
(10,14),0.595675 # DEPENDENCYPART_ARC
(10,15),0.0627008 # DEPENDENCYPART_ARC
(10,16),-0.873724 # DEPENDENCYPART_ARC
(10,17),-1.14576 # DEPENDENCYPART_ARC
(10,21),-2.8448 # DEPENDENCYPART_ARC
(10,28),0.1931 # DEPENDENCYPART_ARC
(12,11),-0.224756 # DEPENDENCYPART_ARC
(14,7),-1.29037 # DEPENDENCYPART_ARC
(14,11),-0.98369 # DEPENDENCYPART_ARC
(14,12),0.772959 # DEPENDENCYPART_ARC
(14,13),0.94724 # DEPENDENCYPART_ARC
(14,15),-0.501953 # DEPENDENCYPART_ARC
(14,17),-0.630834 # DEPENDENCYPART_ARC
(14,18),-0.333046 # DEPENDENCYPART_ARC
(14,24),-2.8666 # DEPENDENCYPART_ARC
(14,28),-0.245487 # DEPENDENCYPART_ARC
(15,1),0.27195 # DEPENDENCYPART_ARC
(15,2),0.540654 # DEPENDENCYPART_ARC
(15,3),-0.790585 # DEPENDENCYPART_ARC
(15,4),0.644767 # DEPENDENCYPART_ARC
(15,5),-0.458628 # DEPENDENCYPART_ARC
(15,7),0.224834 # DEPENDENCYPART_ARC
(15,8),-1.38322 # DEPENDENCYPART_ARC
(15,9),-0.843844 # DEPENDENCYPART_ARC
(15,10),-0.777673 # DEPENDENCYPART_ARC
(15,11),0.00849131 # DEPENDENCYPART_ARC
(15,12),2.59839 # DEPENDENCYPART_ARC
(15,13),2.57803 # DEPENDENCYPART_ARC
(15,14),4.46683 # DEPENDENCYPART_ARC
(15,16),2.74154 # DEPENDENCYPART_ARC
(15,17),2.83123 # DEPENDENCYPART_ARC
(15,18),1.04881 # DEPENDENCYPART_ARC
(15,19),0.209329 # DEPENDENCYPART_ARC
(15,21),-1.27754 # DEPENDENCYPART_ARC
(15,22),-0.199176 # DEPENDENCYPART_ARC
(15,23),-0.565206 # DEPENDENCYPART_ARC
(15,24),-0.462546 # DEPENDENCYPART_ARC
(15,25),-1.56449 # DEPENDENCYPART_ARC
(15,28),2.83512 # DEPENDENCYPART_ARC
(16,1),-0.434353 # DEPENDENCYPART_ARC
(16,2),-0.684695 # DEPENDENCYPART_ARC
(16,3),-1.68498 # DEPENDENCYPART_ARC
(16,4),-0.571393 # DEPENDENCYPART_ARC
(16,5),-2.04507 # DEPENDENCYPART_ARC
(16,7),-1.63049 # DEPENDENCYPART_ARC
(16,8),-2.77284 # DEPENDENCYPART_ARC
(16,9),-2.45751 # DEPENDENCYPART_ARC
(16,10),-2.51152 # DEPENDENCYPART_ARC
(16,11),-1.90589 # DEPENDENCYPART_ARC
(16,12),0.968869 # DEPENDENCYPART_ARC
(16,13),0.799509 # DEPENDENCYPART_ARC
(16,14),2.14651 # DEPENDENCYPART_ARC
(16,15),1.4178 # DEPENDENCYPART_ARC
(16,17),3.94658 # DEPENDENCYPART_ARC
(16,18),0.877812 # DEPENDENCYPART_ARC
(16,19),0.300682 # DEPENDENCYPART_ARC
(16,21),-1.07309 # DEPENDENCYPART_ARC
(16,22),0.415454 # DEPENDENCYPART_ARC
(16,23),-0.421969 # DEPENDENCYPART_ARC
(16,24),-0.275283 # DEPENDENCYPART_ARC
(16,25),-0.427955 # DEPENDENCYPART_ARC
(16,28),3.53486 # DEPENDENCYPART_ARC
(17,3),-1.76344 # DEPENDENCYPART_ARC
(17,14),-1.62985 # DEPENDENCYPART_ARC
(17,15),-1.50703 # DEPENDENCYPART_ARC
(17,16),-0.384445 # DEPENDENCYPART_ARC
(17,18),0.337417 # DEPENDENCYPART_ARC
(17,19),0.216739 # DEPENDENCYPART_ARC
(17,21),-0.781836 # DEPENDENCYPART_ARC
(17,22),-0.447645 # DEPENDENCYPART_ARC
(17,23),-1.36702 # DEPENDENCYPART_ARC
(17,24),-2.62349 # DEPENDENCYPART_ARC
(18,17),-1.6865 # DEPENDENCYPART_ARC
(19,18),0.724146 # DEPENDENCYPART_ARC
(19,21),-0.368604 # DEPENDENCYPART_ARC
(19,22),-0.283421 # DEPENDENCYPART_ARC
(19,23),-1.26294 # DEPENDENCYPART_ARC
(19,24),-1.58244 # DEPENDENCYPART_ARC
(19,25),-1.27938 # DEPENDENCYPART_ARC
(20,21),0.198862 # DEPENDENCYPART_ARC
(21,3),-2.10754 # DEPENDENCYPART_ARC
(21,16),-1.8971 # DEPENDENCYPART_ARC
(21,17),-1.62187 # DEPENDENCYPART_ARC
(21,19),0.28562 # DEPENDENCYPART_ARC
(21,20),4.05661 # DEPENDENCYPART_ARC
(21,22),0.379327 # DEPENDENCYPART_ARC
(21,23),-0.779476 # DEPENDENCYPART_ARC
(22,17),-3.03711 # DEPENDENCYPART_ARC
(22,18),-1.22668 # DEPENDENCYPART_ARC
(22,19),-0.701073 # DEPENDENCYPART_ARC
(22,20),-2.60449 # DEPENDENCYPART_ARC
(22,21),-0.522811 # DEPENDENCYPART_ARC
(22,23),-1.12356 # DEPENDENCYPART_ARC
(22,24),-1.51466 # DEPENDENCYPART_ARC
(22,25),-1.34837 # DEPENDENCYPART_ARC
(22,28),0.208183 # DEPENDENCYPART_ARC
(23,1),-0.308331 # DEPENDENCYPART_ARC
(23,2),0.345125 # DEPENDENCYPART_ARC
(23,4),-0.818634 # DEPENDENCYPART_ARC
(23,5),-1.54777 # DEPENDENCYPART_ARC
(23,7),-0.736234 # DEPENDENCYPART_ARC
(23,14),0.164057 # DEPENDENCYPART_ARC
(23,15),-1.23431 # DEPENDENCYPART_ARC
(23,16),-1.49257 # DEPENDENCYPART_ARC
(23,17),-0.605015 # DEPENDENCYPART_ARC
(23,18),1.59109 # DEPENDENCYPART_ARC
(23,19),2.00322 # DEPENDENCYPART_ARC
(23,20),-0.540532 # DEPENDENCYPART_ARC
(23,21),1.59919 # DEPENDENCYPART_ARC
(23,22),4.16769 # DEPENDENCYPART_ARC
(23,24),2.28358 # DEPENDENCYPART_ARC
(23,25),1.6369 # DEPENDENCYPART_ARC
(23,27),0.735216 # DEPENDENCYPART_ARC
(23,28),3.09424 # DEPENDENCYPART_ARC
(24,1),-2.64636 # DEPENDENCYPART_ARC
(24,2),-1.81082 # DEPENDENCYPART_ARC
(24,4),-2.63902 # DEPENDENCYPART_ARC
(24,5),-3.69053 # DEPENDENCYPART_ARC
(24,7),-2.12681 # DEPENDENCYPART_ARC
(24,14),-1.41509 # DEPENDENCYPART_ARC
(24,15),-2.92708 # DEPENDENCYPART_ARC
(24,16),-3.80716 # DEPENDENCYPART_ARC
(24,17),-2.1479 # DEPENDENCYPART_ARC
(24,18),-0.740587 # DEPENDENCYPART_ARC
(24,19),-0.110054 # DEPENDENCYPART_ARC
(24,20),-2.63178 # DEPENDENCYPART_ARC
(24,21),0.327729 # DEPENDENCYPART_ARC
(24,22),2.52874 # DEPENDENCYPART_ARC
(24,23),0.957939 # DEPENDENCYPART_ARC
(24,25),3.65222 # DEPENDENCYPART_ARC
(24,27),1.6969 # DEPENDENCYPART_ARC
(24,28),2.44052 # DEPENDENCYPART_ARC
(25,27),4.70963 # DEPENDENCYPART_ARC
(27,3),-1.17017 # DEPENDENCYPART_ARC
(27,22),-2.80961 # DEPENDENCYPART_ARC
(27,25),0.2147 # DEPENDENCYPART_ARC
(27,26),3.96479 # DEPENDENCYPART_ARC
