# _root_ Com_a factor normalitzador hi ha el fet que el gruix d' atestats penals , que fan els Mossos_d'_Esquadra , entra als jutjats en llengua catalana .
#goldHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,10,18,16,16,7,20,21,20,23,24,5,
#predictedHeads=5,1,2,5,0,7,5,20,10,20,10,11,12,16,16,7,18,16,16,16,20,21,20,23,24,5,
(0,1),-7.28133 # DEPENDENCYPART_ARC
(0,5),-3.17662 # DEPENDENCYPART_ARC
(0,7),-7.51367 # DEPENDENCYPART_ARC
(0,16),-3.71858 # DEPENDENCYPART_ARC
(0,20),-3.00888 # DEPENDENCYPART_ARC
(1,2),4.26976 # DEPENDENCYPART_ARC
(1,3),0.185255 # DEPENDENCYPART_ARC
(1,5),-0.697162 # DEPENDENCYPART_ARC
(1,8),-1.9424 # DEPENDENCYPART_ARC
(1,14),-0.289272 # DEPENDENCYPART_ARC
(1,19),-1.20468 # DEPENDENCYPART_ARC
(1,26),-0.116427 # DEPENDENCYPART_ARC
(2,1),-0.215602 # DEPENDENCYPART_ARC
(2,3),3.68909 # DEPENDENCYPART_ARC
(2,4),-1.64516 # DEPENDENCYPART_ARC
(2,5),1.38547 # DEPENDENCYPART_ARC
(2,7),-0.519559 # DEPENDENCYPART_ARC
(2,8),-1.23168 # DEPENDENCYPART_ARC
(2,10),-1.88583 # DEPENDENCYPART_ARC
(2,11),-0.280358 # DEPENDENCYPART_ARC
(2,13),-1.81712 # DEPENDENCYPART_ARC
(2,14),-0.950794 # DEPENDENCYPART_ARC
(2,16),-0.371023 # DEPENDENCYPART_ARC
(2,18),-1.6082 # DEPENDENCYPART_ARC
(2,19),-1.04698 # DEPENDENCYPART_ARC
(2,20),-1.85298 # DEPENDENCYPART_ARC
(2,26),0.176178 # DEPENDENCYPART_ARC
(3,4),-2.19096 # DEPENDENCYPART_ARC
(3,5),-1.68282 # DEPENDENCYPART_ARC
(3,7),-2.79698 # DEPENDENCYPART_ARC
(3,8),-2.97146 # DEPENDENCYPART_ARC
(4,7),-2.91501 # DEPENDENCYPART_ARC
(4,10),-3.51642 # DEPENDENCYPART_ARC
(5,1),1.67756 # DEPENDENCYPART_ARC
(5,2),-0.216206 # DEPENDENCYPART_ARC
(5,3),-0.272075 # DEPENDENCYPART_ARC
(5,4),3.08194 # DEPENDENCYPART_ARC
(5,7),2.99589 # DEPENDENCYPART_ARC
(5,8),-0.788205 # DEPENDENCYPART_ARC
(5,10),-0.567715 # DEPENDENCYPART_ARC
(5,11),-0.949892 # DEPENDENCYPART_ARC
(5,14),0.901392 # DEPENDENCYPART_ARC
(5,16),0.779409 # DEPENDENCYPART_ARC
(5,19),1.24417 # DEPENDENCYPART_ARC
(5,20),-0.24542 # DEPENDENCYPART_ARC
(5,21),-1.74141 # DEPENDENCYPART_ARC
(5,23),-0.721896 # DEPENDENCYPART_ARC
(5,26),3.39782 # DEPENDENCYPART_ARC
(6,7),-0.420993 # DEPENDENCYPART_ARC
(6,9),-1.8072 # DEPENDENCYPART_ARC
(7,1),-0.582475 # DEPENDENCYPART_ARC
(7,3),-1.17991 # DEPENDENCYPART_ARC
(7,4),0.116627 # DEPENDENCYPART_ARC
(7,5),-0.0680033 # DEPENDENCYPART_ARC
(7,6),2.9736 # DEPENDENCYPART_ARC
(7,8),0.805206 # DEPENDENCYPART_ARC
(7,10),0.349344 # DEPENDENCYPART_ARC
(7,11),1.96713 # DEPENDENCYPART_ARC
(7,12),-0.380029 # DEPENDENCYPART_ARC
(7,13),0.27493 # DEPENDENCYPART_ARC
(7,14),0.319296 # DEPENDENCYPART_ARC
(7,16),2.7108 # DEPENDENCYPART_ARC
(7,18),-0.931037 # DEPENDENCYPART_ARC
(7,19),-0.682373 # DEPENDENCYPART_ARC
(7,20),1.04659 # DEPENDENCYPART_ARC
(7,21),-1.84013 # DEPENDENCYPART_ARC
(7,23),-0.225979 # DEPENDENCYPART_ARC
(7,25),-1.23475 # DEPENDENCYPART_ARC
(7,26),1.23076 # DEPENDENCYPART_ARC
(8,10),-0.887541 # DEPENDENCYPART_ARC
(8,11),-0.874276 # DEPENDENCYPART_ARC
(8,13),-1.38281 # DEPENDENCYPART_ARC
(9,7),-1.26297 # DEPENDENCYPART_ARC
(9,10),0.651547 # DEPENDENCYPART_ARC
(9,11),0.442209 # DEPENDENCYPART_ARC
(10,1),-1.52084 # DEPENDENCYPART_ARC
(10,4),-1.03124 # DEPENDENCYPART_ARC
(10,5),-1.63338 # DEPENDENCYPART_ARC
(10,6),-0.308385 # DEPENDENCYPART_ARC
(10,7),-1.56023 # DEPENDENCYPART_ARC
(10,8),1.15025 # DEPENDENCYPART_ARC
(10,9),3.03178 # DEPENDENCYPART_ARC
(10,11),3.00164 # DEPENDENCYPART_ARC
(10,12),0.48551 # DEPENDENCYPART_ARC
(10,13),-0.009785 # DEPENDENCYPART_ARC
(10,14),-0.0255108 # DEPENDENCYPART_ARC
(10,16),1.70301 # DEPENDENCYPART_ARC
(10,18),-0.825076 # DEPENDENCYPART_ARC
(10,19),-0.329188 # DEPENDENCYPART_ARC
(10,20),-0.590851 # DEPENDENCYPART_ARC
(10,21),-1.55234 # DEPENDENCYPART_ARC
(10,23),-1.10074 # DEPENDENCYPART_ARC
(10,25),-2.45948 # DEPENDENCYPART_ARC
(10,26),0.233774 # DEPENDENCYPART_ARC
(11,1),-2.59382 # DEPENDENCYPART_ARC
(11,8),-0.081727 # DEPENDENCYPART_ARC
(11,9),-0.582189 # DEPENDENCYPART_ARC
(11,10),0.122536 # DEPENDENCYPART_ARC
(11,12),4.07668 # DEPENDENCYPART_ARC
(11,13),0.34276 # DEPENDENCYPART_ARC
(11,14),-0.0344973 # DEPENDENCYPART_ARC
(11,16),-0.65308 # DEPENDENCYPART_ARC
(12,1),-1.52045 # DEPENDENCYPART_ARC
(12,5),-0.991859 # DEPENDENCYPART_ARC
(12,6),-1.21984 # DEPENDENCYPART_ARC
(12,8),0.0215527 # DEPENDENCYPART_ARC
(12,9),0.778255 # DEPENDENCYPART_ARC
(12,10),-1.02514 # DEPENDENCYPART_ARC
(12,13),3.50022 # DEPENDENCYPART_ARC
(12,14),-0.523716 # DEPENDENCYPART_ARC
(12,16),1.99382 # DEPENDENCYPART_ARC
(12,18),-1.10561 # DEPENDENCYPART_ARC
(12,19),-1.07704 # DEPENDENCYPART_ARC
(12,20),-1.45602 # DEPENDENCYPART_ARC
(12,25),-3.75938 # DEPENDENCYPART_ARC
(12,26),-0.853392 # DEPENDENCYPART_ARC
(13,9),-0.719535 # DEPENDENCYPART_ARC
(13,11),0.511946 # DEPENDENCYPART_ARC
(13,14),-0.280715 # DEPENDENCYPART_ARC
(13,16),-0.49803 # DEPENDENCYPART_ARC
(13,18),-1.27725 # DEPENDENCYPART_ARC
(13,20),-2.73119 # DEPENDENCYPART_ARC
(13,23),-2.14722 # DEPENDENCYPART_ARC
(14,13),-0.0187166 # DEPENDENCYPART_ARC
(16,1),-1.61933 # DEPENDENCYPART_ARC
(16,4),-2.32277 # DEPENDENCYPART_ARC
(16,5),-2.21495 # DEPENDENCYPART_ARC
(16,7),-1.6637 # DEPENDENCYPART_ARC
(16,8),1.26157 # DEPENDENCYPART_ARC
(16,9),-3.34327 # DEPENDENCYPART_ARC
(16,10),-0.798697 # DEPENDENCYPART_ARC
(16,11),-1.28285 # DEPENDENCYPART_ARC
(16,12),-0.271005 # DEPENDENCYPART_ARC
(16,13),-0.668183 # DEPENDENCYPART_ARC
(16,14),1.19377 # DEPENDENCYPART_ARC
(16,15),4.14066 # DEPENDENCYPART_ARC
(16,18),3.41093 # DEPENDENCYPART_ARC
(16,19),1.81495 # DEPENDENCYPART_ARC
(16,20),1.08472 # DEPENDENCYPART_ARC
(16,21),1.24381 # DEPENDENCYPART_ARC
(16,23),1.17955 # DEPENDENCYPART_ARC
(16,25),-1.49396 # DEPENDENCYPART_ARC
(16,26),2.30338 # DEPENDENCYPART_ARC
(17,18),-0.0461762 # DEPENDENCYPART_ARC
(18,13),-2.23106 # DEPENDENCYPART_ARC
(18,16),-0.0373929 # DEPENDENCYPART_ARC
(18,17),3.17985 # DEPENDENCYPART_ARC
(18,19),0.118356 # DEPENDENCYPART_ARC
(18,20),0.125947 # DEPENDENCYPART_ARC
(18,21),-2.02986 # DEPENDENCYPART_ARC
(18,23),-1.58553 # DEPENDENCYPART_ARC
(18,25),-0.98385 # DEPENDENCYPART_ARC
(20,1),-0.982236 # DEPENDENCYPART_ARC
(20,2),-2.0762 # DEPENDENCYPART_ARC
(20,3),-1.82126 # DEPENDENCYPART_ARC
(20,4),-2.12648 # DEPENDENCYPART_ARC
(20,5),-1.74843 # DEPENDENCYPART_ARC
(20,7),-0.103318 # DEPENDENCYPART_ARC
(20,8),2.32834 # DEPENDENCYPART_ARC
(20,9),-3.37719 # DEPENDENCYPART_ARC
(20,10),0.691159 # DEPENDENCYPART_ARC
(20,11),-1.84371 # DEPENDENCYPART_ARC
(20,12),-0.990207 # DEPENDENCYPART_ARC
(20,13),-1.05426 # DEPENDENCYPART_ARC
(20,14),-0.336037 # DEPENDENCYPART_ARC
(20,15),2.21824 # DEPENDENCYPART_ARC
(20,16),1.04749 # DEPENDENCYPART_ARC
(20,17),-0.95852 # DEPENDENCYPART_ARC
(20,18),1.28537 # DEPENDENCYPART_ARC
(20,19),0.364996 # DEPENDENCYPART_ARC
(20,21),3.3775 # DEPENDENCYPART_ARC
(20,22),1.88249 # DEPENDENCYPART_ARC
(20,23),1.95758 # DEPENDENCYPART_ARC
(20,24),0.478538 # DEPENDENCYPART_ARC
(20,25),-0.602303 # DEPENDENCYPART_ARC
(20,26),3.09972 # DEPENDENCYPART_ARC
(21,19),-1.10904 # DEPENDENCYPART_ARC
(21,20),-0.371215 # DEPENDENCYPART_ARC
(21,22),4.97063 # DEPENDENCYPART_ARC
(21,23),0.0515176 # DEPENDENCYPART_ARC
(21,24),0.394154 # DEPENDENCYPART_ARC
(21,25),-3.44044 # DEPENDENCYPART_ARC
(22,1),-3.60091 # DEPENDENCYPART_ARC
(22,17),-1.88287 # DEPENDENCYPART_ARC
(22,21),-0.633981 # DEPENDENCYPART_ARC
