# _root_ En_funció_d' aquesta Diagnosi s' elaborarà el Pla_d'_Acció_Local_per_a_la_Sostenibilitat , configurat per un conjunt d' accions a emprendre , consensuades amb la ciutadania i els agents socials i econòmics locals .
#goldHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,18,15,18,14,18,21,19,21,24,21,24,25,25,24,5,
#predictedHeads=5,3,1,5,0,7,5,9,7,9,12,10,12,13,9,15,18,16,18,21,19,21,24,21,24,25,25,24,5,
(0,1),-7.72041 # DEPENDENCYPART_ARC
(0,5),-3.53498 # DEPENDENCYPART_ARC
(0,16),-5.89576 # DEPENDENCYPART_ARC
(1,3),3.61766 # DEPENDENCYPART_ARC
(1,5),-0.289601 # DEPENDENCYPART_ARC
(1,7),-2.5201 # DEPENDENCYPART_ARC
(1,8),0.56431 # DEPENDENCYPART_ARC
(1,9),-1.76827 # DEPENDENCYPART_ARC
(1,10),-1.89313 # DEPENDENCYPART_ARC
(1,17),-0.360975 # DEPENDENCYPART_ARC
(1,29),1.32128 # DEPENDENCYPART_ARC
(3,1),-0.160178 # DEPENDENCYPART_ARC
(3,2),2.31601 # DEPENDENCYPART_ARC
(3,5),-0.31425 # DEPENDENCYPART_ARC
(3,9),-2.72391 # DEPENDENCYPART_ARC
(3,16),-2.62629 # DEPENDENCYPART_ARC
(5,1),2.3493 # DEPENDENCYPART_ARC
(5,2),-1.0521 # DEPENDENCYPART_ARC
(5,3),1.15394 # DEPENDENCYPART_ARC
(5,4),4.34004 # DEPENDENCYPART_ARC
(5,7),3.11574 # DEPENDENCYPART_ARC
(5,8),0.591182 # DEPENDENCYPART_ARC
(5,9),0.714315 # DEPENDENCYPART_ARC
(5,10),1.28921 # DEPENDENCYPART_ARC
(5,12),0.405138 # DEPENDENCYPART_ARC
(5,13),-0.413625 # DEPENDENCYPART_ARC
(5,14),-0.128405 # DEPENDENCYPART_ARC
(5,15),1.17936 # DEPENDENCYPART_ARC
(5,16),0.182982 # DEPENDENCYPART_ARC
(5,17),-0.481497 # DEPENDENCYPART_ARC
(5,18),-1.09163 # DEPENDENCYPART_ARC
(5,19),0.215102 # DEPENDENCYPART_ARC
(5,21),-0.74538 # DEPENDENCYPART_ARC
(5,22),0.0659808 # DEPENDENCYPART_ARC
