# _root_ Una persona va morir a Barcelona i una altra a Tarragona , sense que hagi transcendit en quin hospital , perquè encara no s' ha formalitzat la denúncia .
#goldHeads=2,4,4,0,4,5,4,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,16,28,26,4,
#predictedHeads=2,4,4,0,4,5,6,9,4,9,10,13,4,16,16,13,16,19,17,26,26,26,26,26,26,13,28,26,4,
(0,2),-6.82266 # DEPENDENCYPART_ARC
(0,3),-2.4517 # DEPENDENCYPART_ARC
(0,4),-3.29427 # DEPENDENCYPART_ARC
(0,9),-7.30301 # DEPENDENCYPART_ARC
(0,16),-4.54099 # DEPENDENCYPART_ARC
(1,5),-1.5347 # DEPENDENCYPART_ARC
(2,1),4.1217 # DEPENDENCYPART_ARC
(2,3),0.189255 # DEPENDENCYPART_ARC
(2,4),-0.611537 # DEPENDENCYPART_ARC
(2,7),-0.668083 # DEPENDENCYPART_ARC
(2,8),-1.57027 # DEPENDENCYPART_ARC
(2,9),-1.49936 # DEPENDENCYPART_ARC
(3,2),-0.0699197 # DEPENDENCYPART_ARC
(3,4),0.0409083 # DEPENDENCYPART_ARC
(3,5),0.878893 # DEPENDENCYPART_ARC
(3,7),-0.620444 # DEPENDENCYPART_ARC
(3,10),-0.517199 # DEPENDENCYPART_ARC
(3,16),-2.15605 # DEPENDENCYPART_ARC
(3,29),3.72954 # DEPENDENCYPART_ARC
(4,2),2.24124 # DEPENDENCYPART_ARC
(4,3),4.76224 # DEPENDENCYPART_ARC
(4,5),3.88169 # DEPENDENCYPART_ARC
(4,6),1.62543 # DEPENDENCYPART_ARC
(4,7),1.41994 # DEPENDENCYPART_ARC
(4,9),-0.143277 # DEPENDENCYPART_ARC
(4,10),1.31506 # DEPENDENCYPART_ARC
(4,11),-1.49132 # DEPENDENCYPART_ARC
(4,12),0.744554 # DEPENDENCYPART_ARC
(4,13),1.35967 # DEPENDENCYPART_ARC
(4,14),-0.0810025 # DEPENDENCYPART_ARC
(4,15),1.32671 # DEPENDENCYPART_ARC
(4,16),0.671211 # DEPENDENCYPART_ARC
(4,17),-0.56781 # DEPENDENCYPART_ARC
(4,20),1.52359 # DEPENDENCYPART_ARC
(4,21),-2.24101 # DEPENDENCYPART_ARC
(4,22),-3.09285 # DEPENDENCYPART_ARC
(4,25),0.177358 # DEPENDENCYPART_ARC
(4,26),0.100683 # DEPENDENCYPART_ARC
(4,28),-3.26343 # DEPENDENCYPART_ARC
(4,29),7.22612 # DEPENDENCYPART_ARC
(5,6),4.31826 # DEPENDENCYPART_ARC
(5,7),0.317785 # DEPENDENCYPART_ARC
(5,10),0.75405 # DEPENDENCYPART_ARC
(5,12),-0.143606 # DEPENDENCYPART_ARC
(5,13),-0.35012 # DEPENDENCYPART_ARC
(6,5),0.334738 # DEPENDENCYPART_ARC
(6,7),1.48001 # DEPENDENCYPART_ARC
(6,9),-0.151976 # DEPENDENCYPART_ARC
(6,10),-0.22834 # DEPENDENCYPART_ARC
(6,11),0.472667 # DEPENDENCYPART_ARC
(6,12),-0.814283 # DEPENDENCYPART_ARC
(6,13),-0.859147 # DEPENDENCYPART_ARC
(6,15),-1.28652 # DEPENDENCYPART_ARC
(6,16),-1.50211 # DEPENDENCYPART_ARC
(6,22),-2.86377 # DEPENDENCYPART_ARC
(8,9),1.16931 # DEPENDENCYPART_ARC
(8,10),-0.563368 # DEPENDENCYPART_ARC
(8,13),-2.11566 # DEPENDENCYPART_ARC
(9,5),-0.163164 # DEPENDENCYPART_ARC
(9,6),0.167702 # DEPENDENCYPART_ARC
(9,7),0.394749 # DEPENDENCYPART_ARC
(9,8),3.21718 # DEPENDENCYPART_ARC
(9,10),2.64634 # DEPENDENCYPART_ARC
(9,11),1.81851 # DEPENDENCYPART_ARC
(9,12),1.13166 # DEPENDENCYPART_ARC
(9,13),0.949516 # DEPENDENCYPART_ARC
(9,14),0.719421 # DEPENDENCYPART_ARC
(9,15),1.35593 # DEPENDENCYPART_ARC
(9,16),-0.345435 # DEPENDENCYPART_ARC
(9,17),-0.793229 # DEPENDENCYPART_ARC
(9,19),-0.218171 # DEPENDENCYPART_ARC
(9,20),0.185384 # DEPENDENCYPART_ARC
(9,21),-0.187205 # DEPENDENCYPART_ARC
(9,26),-1.8154 # DEPENDENCYPART_ARC
(9,28),-0.775451 # DEPENDENCYPART_ARC
(9,29),1.99774 # DEPENDENCYPART_ARC
(10,4),-1.01239 # DEPENDENCYPART_ARC
(10,7),-1.00004 # DEPENDENCYPART_ARC
(10,8),-0.253014 # DEPENDENCYPART_ARC
(10,9),-0.517219 # DEPENDENCYPART_ARC
(10,11),4.27632 # DEPENDENCYPART_ARC
(10,12),0.709448 # DEPENDENCYPART_ARC
(10,13),-0.0345261 # DEPENDENCYPART_ARC
(10,14),-1.37136 # DEPENDENCYPART_ARC
(10,15),-0.648262 # DEPENDENCYPART_ARC
(10,16),-0.892809 # DEPENDENCYPART_ARC
(11,10),0.414441 # DEPENDENCYPART_ARC
(11,12),-0.176011 # DEPENDENCYPART_ARC
(11,13),-0.945727 # DEPENDENCYPART_ARC
(11,14),-2.28365 # DEPENDENCYPART_ARC
(11,15),-1.34168 # DEPENDENCYPART_ARC
(11,16),-1.75049 # DEPENDENCYPART_ARC
(13,4),-1.07254 # DEPENDENCYPART_ARC
(13,7),-0.768752 # DEPENDENCYPART_ARC
(13,10),-0.408848 # DEPENDENCYPART_ARC
(13,12),2.45042 # DEPENDENCYPART_ARC
(13,14),0.315398 # DEPENDENCYPART_ARC
(13,15),2.77062 # DEPENDENCYPART_ARC
(13,16),2.50011 # DEPENDENCYPART_ARC
(13,17),-1.09919 # DEPENDENCYPART_ARC
(13,20),1.26596 # DEPENDENCYPART_ARC
(13,21),-0.521247 # DEPENDENCYPART_ARC
(13,22),-0.851328 # DEPENDENCYPART_ARC
(13,23),-1.24392 # DEPENDENCYPART_ARC
(13,26),0.833246 # DEPENDENCYPART_ARC
(13,29),3.33415 # DEPENDENCYPART_ARC
(14,13),-1.65632 # DEPENDENCYPART_ARC
(14,15),-0.466744 # DEPENDENCYPART_ARC
(15,12),-1.07044 # DEPENDENCYPART_ARC
(15,14),1.83441 # DEPENDENCYPART_ARC
(15,16),0.373425 # DEPENDENCYPART_ARC
(15,17),-0.0259797 # DEPENDENCYPART_ARC
(15,21),-1.99602 # DEPENDENCYPART_ARC
(15,25),-2.21152 # DEPENDENCYPART_ARC
(15,26),-2.2127 # DEPENDENCYPART_ARC
(15,29),0.973843 # DEPENDENCYPART_ARC
(16,2),-0.837885 # DEPENDENCYPART_ARC
(16,3),-0.51718 # DEPENDENCYPART_ARC
(16,4),-2.20609 # DEPENDENCYPART_ARC
(16,5),-1.48103 # DEPENDENCYPART_ARC
(16,7),-1.12831 # DEPENDENCYPART_ARC
(16,9),-0.740984 # DEPENDENCYPART_ARC
(16,10),-0.276086 # DEPENDENCYPART_ARC
(16,11),-1.41443 # DEPENDENCYPART_ARC
(16,12),0.453992 # DEPENDENCYPART_ARC
(16,13),0.0922755 # DEPENDENCYPART_ARC
(16,14),3.87516 # DEPENDENCYPART_ARC
(16,15),4.2592 # DEPENDENCYPART_ARC
(16,17),3.44749 # DEPENDENCYPART_ARC
(16,19),1.81832 # DEPENDENCYPART_ARC
(16,20),1.70151 # DEPENDENCYPART_ARC
(16,21),0.126507 # DEPENDENCYPART_ARC
(16,22),-1.03561 # DEPENDENCYPART_ARC
