# _root_ Una altra de les novetats d' aquest any ha estat l' excés d' oferta per a Roma , Londres i París , destins per als quals ha estat possible trobar bitllet fins a última hora .
#goldHeads=3,1,10,5,3,3,8,6,10,0,12,10,12,13,12,15,16,17,17,17,17,23,17,28,24,25,28,23,28,28,30,30,32,35,33,10,
#predictedHeads=2,10,2,5,3,5,8,6,10,0,12,10,12,13,10,15,16,17,17,17,17,23,17,23,24,25,28,23,28,28,30,30,32,35,33,10,
(0,2),-6.7232 # DEPENDENCYPART_ARC
(0,3),-7.32838 # DEPENDENCYPART_ARC
(0,9),-3.24044 # DEPENDENCYPART_ARC
(0,10),-4.35955 # DEPENDENCYPART_ARC
(0,27),-4.48565 # DEPENDENCYPART_ARC
(0,28),-4.60865 # DEPENDENCYPART_ARC
(0,30),-7.21606 # DEPENDENCYPART_ARC
(1,2),1.52732 # DEPENDENCYPART_ARC
(1,3),0.507589 # DEPENDENCYPART_ARC
(1,6),-1.23641 # DEPENDENCYPART_ARC
(2,1),3.41664 # DEPENDENCYPART_ARC
(2,3),2.60975 # DEPENDENCYPART_ARC
(2,5),1.43145 # DEPENDENCYPART_ARC
(2,6),1.68445 # DEPENDENCYPART_ARC
(2,8),0.576393 # DEPENDENCYPART_ARC
(2,10),0.311104 # DEPENDENCYPART_ARC
(2,12),-0.223326 # DEPENDENCYPART_ARC
(2,13),-0.0382082 # DEPENDENCYPART_ARC
(2,14),-0.516373 # DEPENDENCYPART_ARC
(2,15),-1.19194 # DEPENDENCYPART_ARC
(2,18),0.215039 # DEPENDENCYPART_ARC
(2,20),-0.524115 # DEPENDENCYPART_ARC
(2,22),0.388809 # DEPENDENCYPART_ARC
(2,23),-0.516872 # DEPENDENCYPART_ARC
(2,34),0.213924 # DEPENDENCYPART_ARC
(3,1),-0.0549191 # DEPENDENCYPART_ARC
(3,2),-0.523538 # DEPENDENCYPART_ARC
(3,4),-0.354726 # DEPENDENCYPART_ARC
(3,5),4.61315 # DEPENDENCYPART_ARC
(3,6),0.238636 # DEPENDENCYPART_ARC
(3,8),1.03791 # DEPENDENCYPART_ARC
(3,10),-0.90452 # DEPENDENCYPART_ARC
(4,3),0.0669529 # DEPENDENCYPART_ARC
(4,5),2.62154 # DEPENDENCYPART_ARC
(4,6),-0.415515 # DEPENDENCYPART_ARC
(5,1),-0.354267 # DEPENDENCYPART_ARC
(5,3),-0.153453 # DEPENDENCYPART_ARC
(5,4),3.72387 # DEPENDENCYPART_ARC
(5,6),1.90287 # DEPENDENCYPART_ARC
(5,8),0.00139192 # DEPENDENCYPART_ARC
(5,9),-0.807219 # DEPENDENCYPART_ARC
(5,10),-0.501828 # DEPENDENCYPART_ARC
(5,12),-1.16772 # DEPENDENCYPART_ARC
(5,13),-0.885545 # DEPENDENCYPART_ARC
(5,15),-0.536057 # DEPENDENCYPART_ARC
(5,16),-1.37655 # DEPENDENCYPART_ARC
(5,19),-1.41577 # DEPENDENCYPART_ARC
(5,21),-1.10235 # DEPENDENCYPART_ARC
(5,23),-0.112328 # DEPENDENCYPART_ARC
(5,36),-0.295688 # DEPENDENCYPART_ARC
(6,4),-0.165711 # DEPENDENCYPART_ARC
(6,8),4.61182 # DEPENDENCYPART_ARC
(6,9),-1.36325 # DEPENDENCYPART_ARC
(6,10),-0.740743 # DEPENDENCYPART_ARC
(6,12),-1.45505 # DEPENDENCYPART_ARC
(8,1),-1.84352 # DEPENDENCYPART_ARC
(8,3),-0.951949 # DEPENDENCYPART_ARC
(8,4),-0.80502 # DEPENDENCYPART_ARC
(8,6),0.700094 # DEPENDENCYPART_ARC
(8,7),3.35407 # DEPENDENCYPART_ARC
(8,9),-1.70596 # DEPENDENCYPART_ARC
(9,3),-0.890752 # DEPENDENCYPART_ARC
(9,5),-1.514 # DEPENDENCYPART_ARC
(9,6),-1.25863 # DEPENDENCYPART_ARC
(9,8),-0.319228 # DEPENDENCYPART_ARC
(9,10),-1.06073 # DEPENDENCYPART_ARC
(9,12),-1.26931 # DEPENDENCYPART_ARC
(9,15),-2.07723 # DEPENDENCYPART_ARC
(9,36),1.0238 # DEPENDENCYPART_ARC
(10,2),0.92151 # DEPENDENCYPART_ARC
(10,3),0.959698 # DEPENDENCYPART_ARC
(10,4),-1.33958 # DEPENDENCYPART_ARC
(10,5),1.38581 # DEPENDENCYPART_ARC
(10,6),0.451031 # DEPENDENCYPART_ARC
(10,8),2.00939 # DEPENDENCYPART_ARC
(10,9),5.28231 # DEPENDENCYPART_ARC
(10,12),2.82475 # DEPENDENCYPART_ARC
(10,13),0.848241 # DEPENDENCYPART_ARC
(10,14),0.853074 # DEPENDENCYPART_ARC
(10,15),1.48895 # DEPENDENCYPART_ARC
(10,16),0.253052 # DEPENDENCYPART_ARC
(10,17),-0.0696338 # DEPENDENCYPART_ARC
(10,18),0.115836 # DEPENDENCYPART_ARC
(10,19),-0.789167 # DEPENDENCYPART_ARC
(10,20),0.254897 # DEPENDENCYPART_ARC
(10,21),-0.911009 # DEPENDENCYPART_ARC
(10,24),0.577787 # DEPENDENCYPART_ARC
(10,25),-1.54038 # DEPENDENCYPART_ARC
(10,26),-1.01116 # DEPENDENCYPART_ARC
(10,27),-0.506355 # DEPENDENCYPART_ARC
(10,28),-0.289772 # DEPENDENCYPART_ARC
(10,30),-0.906425 # DEPENDENCYPART_ARC
(10,31),-1.76692 # DEPENDENCYPART_ARC
(10,32),-0.758012 # DEPENDENCYPART_ARC
(10,36),3.4343 # DEPENDENCYPART_ARC
(11,12),1.48414 # DEPENDENCYPART_ARC
(11,13),0.0590903 # DEPENDENCYPART_ARC
(12,3),-1.1166 # DEPENDENCYPART_ARC
(12,6),-0.556169 # DEPENDENCYPART_ARC
(12,9),-1.80201 # DEPENDENCYPART_ARC
(12,10),-1.49904 # DEPENDENCYPART_ARC
(12,11),3.04079 # DEPENDENCYPART_ARC
(12,13),3.1331 # DEPENDENCYPART_ARC
(12,14),0.420896 # DEPENDENCYPART_ARC
(12,15),1.31453 # DEPENDENCYPART_ARC
(12,16),0.765672 # DEPENDENCYPART_ARC
(12,17),-0.208326 # DEPENDENCYPART_ARC
(12,18),0.244046 # DEPENDENCYPART_ARC
(12,19),0.219558 # DEPENDENCYPART_ARC
(12,20),0.927943 # DEPENDENCYPART_ARC
(12,21),0.512529 # DEPENDENCYPART_ARC
(12,22),0.0580618 # DEPENDENCYPART_ARC
(12,23),0.758887 # DEPENDENCYPART_ARC
(12,24),-0.0748606 # DEPENDENCYPART_ARC
(12,27),-0.78341 # DEPENDENCYPART_ARC
(12,28),-0.542199 # DEPENDENCYPART_ARC
(12,29),-0.674576 # DEPENDENCYPART_ARC
(12,30),-1.9309 # DEPENDENCYPART_ARC
(12,31),-1.6738 # DEPENDENCYPART_ARC
(12,32),-1.24589 # DEPENDENCYPART_ARC
(12,36),0.192988 # DEPENDENCYPART_ARC
(13,11),-0.741126 # DEPENDENCYPART_ARC
(13,14),3.63408 # DEPENDENCYPART_ARC
(13,15),-0.981983 # DEPENDENCYPART_ARC
(13,16),0.374575 # DEPENDENCYPART_ARC
(13,17),1.35862 # DEPENDENCYPART_ARC
(13,18),-0.224718 # DEPENDENCYPART_ARC
(13,20),-0.206552 # DEPENDENCYPART_ARC
(13,25),-1.24022 # DEPENDENCYPART_ARC
(14,3),-1.25908 # DEPENDENCYPART_ARC
(14,6),-0.444577 # DEPENDENCYPART_ARC
(14,11),1.27298 # DEPENDENCYPART_ARC
(14,13),1.67585 # DEPENDENCYPART_ARC
(14,15),0.858662 # DEPENDENCYPART_ARC
(14,16),0.387806 # DEPENDENCYPART_ARC
(14,17),-0.192305 # DEPENDENCYPART_ARC
(14,18),0.118204 # DEPENDENCYPART_ARC
(14,19),0.148267 # DEPENDENCYPART_ARC
(14,20),1.39815 # DEPENDENCYPART_ARC
(14,21),0.588924 # DEPENDENCYPART_ARC
(14,22),-0.0239343 # DEPENDENCYPART_ARC
(14,23),0.558015 # DEPENDENCYPART_ARC
(14,24),-0.125849 # DEPENDENCYPART_ARC
(15,13),-0.259902 # DEPENDENCYPART_ARC
(15,14),0.18649 # DEPENDENCYPART_ARC
(15,16),3.91201 # DEPENDENCYPART_ARC
(15,17),2.47427 # DEPENDENCYPART_ARC
(15,18),0.529082 # DEPENDENCYPART_ARC
(15,19),-0.884378 # DEPENDENCYPART_ARC
(15,20),0.341078 # DEPENDENCYPART_ARC
(15,24),-0.342945 # DEPENDENCYPART_ARC
(15,25),-0.24937 # DEPENDENCYPART_ARC
(15,33),-2.94616 # DEPENDENCYPART_ARC
(16,17),4.65931 # DEPENDENCYPART_ARC
(16,18),0.223424 # DEPENDENCYPART_ARC
(16,19),-0.771447 # DEPENDENCYPART_ARC
(16,20),-0.193331 # DEPENDENCYPART_ARC
(16,22),-0.343747 # DEPENDENCYPART_ARC
(16,25),-0.287484 # DEPENDENCYPART_ARC
(16,33),-0.289522 # DEPENDENCYPART_ARC
(17,16),-0.561988 # DEPENDENCYPART_ARC
(17,18),1.48746 # DEPENDENCYPART_ARC
(17,19),1.97011 # DEPENDENCYPART_ARC
(17,20),2.99841 # DEPENDENCYPART_ARC
(17,21),2.32583 # DEPENDENCYPART_ARC
(17,22),1.46614 # DEPENDENCYPART_ARC
(17,23),1.30029 # DEPENDENCYPART_ARC
(17,24),-0.978553 # DEPENDENCYPART_ARC
(17,31),-1.4491 # DEPENDENCYPART_ARC
(19,16),-0.297199 # DEPENDENCYPART_ARC
(19,18),0.746844 # DEPENDENCYPART_ARC
(19,20),2.18144 # DEPENDENCYPART_ARC
(19,21),1.77685 # DEPENDENCYPART_ARC
(19,22),1.10864 # DEPENDENCYPART_ARC
(19,23),0.719252 # DEPENDENCYPART_ARC
(19,24),-0.0371414 # DEPENDENCYPART_ARC
(19,27),-0.554216 # DEPENDENCYPART_ARC
(19,28),-0.612638 # DEPENDENCYPART_ARC
(19,29),-0.990982 # DEPENDENCYPART_ARC
(19,30),-1.77356 # DEPENDENCYPART_ARC
(19,36),0.377349 # DEPENDENCYPART_ARC
(20,21),0.0294085 # DEPENDENCYPART_ARC
(21,19),-1.14474 # DEPENDENCYPART_ARC
(21,22),1.11744 # DEPENDENCYPART_ARC
(21,23),1.02335 # DEPENDENCYPART_ARC
(21,24),-0.725846 # DEPENDENCYPART_ARC
(21,27),-0.589521 # DEPENDENCYPART_ARC
(21,28),-0.82287 # DEPENDENCYPART_ARC
(21,30),-1.9846 # DEPENDENCYPART_ARC
(23,10),-2.74987 # DEPENDENCYPART_ARC
(23,15),-0.346328 # DEPENDENCYPART_ARC
(23,18),-0.0166866 # DEPENDENCYPART_ARC
(23,22),2.54677 # DEPENDENCYPART_ARC
(23,24),2.20706 # DEPENDENCYPART_ARC
(23,25),-0.640897 # DEPENDENCYPART_ARC
(23,27),0.701581 # DEPENDENCYPART_ARC
(23,28),0.815729 # DEPENDENCYPART_ARC
(23,29),-1.85254 # DEPENDENCYPART_ARC
(23,30),-1.07603 # DEPENDENCYPART_ARC
(23,32),-1.16877 # DEPENDENCYPART_ARC
(23,36),0.40872 # DEPENDENCYPART_ARC
(24,22),0.349109 # DEPENDENCYPART_ARC
(24,23),-0.484765 # DEPENDENCYPART_ARC
(24,25),3.30186 # DEPENDENCYPART_ARC
(24,26),2.37667 # DEPENDENCYPART_ARC
(24,27),0.344998 # DEPENDENCYPART_ARC
(24,28),0.627081 # DEPENDENCYPART_ARC
(24,29),-1.26537 # DEPENDENCYPART_ARC
(24,30),-1.23599 # DEPENDENCYPART_ARC
(24,33),-0.398837 # DEPENDENCYPART_ARC
(25,26),3.91411 # DEPENDENCYPART_ARC
(25,27),0.599383 # DEPENDENCYPART_ARC
(25,28),-0.364904 # DEPENDENCYPART_ARC
(25,29),-2.80821 # DEPENDENCYPART_ARC
(25,30),-1.68765 # DEPENDENCYPART_ARC
(25,31),-2.90764 # DEPENDENCYPART_ARC
(25,33),-1.19595 # DEPENDENCYPART_ARC
(26,25),0.905235 # DEPENDENCYPART_ARC
(26,28),-1.68849 # DEPENDENCYPART_ARC
(27,21),-2.7308 # DEPENDENCYPART_ARC
(27,25),0.0834933 # DEPENDENCYPART_ARC
(27,26),-0.710652 # DEPENDENCYPART_ARC
(27,29),-0.769807 # DEPENDENCYPART_ARC
(27,32),-1.48862 # DEPENDENCYPART_ARC
(28,5),0.118217 # DEPENDENCYPART_ARC
(28,8),-0.517427 # DEPENDENCYPART_ARC
(28,9),-1.61705 # DEPENDENCYPART_ARC
(28,10),-3.46259 # DEPENDENCYPART_ARC
(28,12),0.548896 # DEPENDENCYPART_ARC
(28,13),-1.06353 # DEPENDENCYPART_ARC
(28,14),0.189707 # DEPENDENCYPART_ARC
(28,15),0.428542 # DEPENDENCYPART_ARC
(28,16),0.18716 # DEPENDENCYPART_ARC
(28,19),0.288156 # DEPENDENCYPART_ARC
(28,20),-0.226712 # DEPENDENCYPART_ARC
(28,21),0.0796236 # DEPENDENCYPART_ARC
(28,22),0.338256 # DEPENDENCYPART_ARC
(28,23),0.608391 # DEPENDENCYPART_ARC
(28,24),0.81873 # DEPENDENCYPART_ARC
(28,25),1.67874 # DEPENDENCYPART_ARC
(28,26),1.35628 # DEPENDENCYPART_ARC
(28,27),5.41728 # DEPENDENCYPART_ARC
(28,29),2.0217 # DEPENDENCYPART_ARC
(28,30),1.43791 # DEPENDENCYPART_ARC
(28,31),0.83416 # DEPENDENCYPART_ARC
(28,32),0.865495 # DEPENDENCYPART_ARC
(28,33),-0.367254 # DEPENDENCYPART_ARC
(28,35),0.046571 # DEPENDENCYPART_ARC
(28,36),1.97075 # DEPENDENCYPART_ARC
(29,30),-0.631607 # DEPENDENCYPART_ARC
(29,31),-1.77337 # DEPENDENCYPART_ARC
(29,32),-2.33731 # DEPENDENCYPART_ARC
(29,33),-2.37804 # DEPENDENCYPART_ARC
(30,2),-2.62631 # DEPENDENCYPART_ARC
(30,5),-1.61175 # DEPENDENCYPART_ARC
(30,9),-1.5449 # DEPENDENCYPART_ARC
(30,10),-3.71645 # DEPENDENCYPART_ARC
(30,12),-1.17612 # DEPENDENCYPART_ARC
(30,14),-1.11011 # DEPENDENCYPART_ARC
(30,15),-2.4094 # DEPENDENCYPART_ARC
(30,16),-1.40364 # DEPENDENCYPART_ARC
(30,19),-0.57783 # DEPENDENCYPART_ARC
(30,21),-1.04956 # DEPENDENCYPART_ARC
(30,23),-0.122224 # DEPENDENCYPART_ARC
(30,24),-1.00818 # DEPENDENCYPART_ARC
(30,25),0.180985 # DEPENDENCYPART_ARC
(30,26),-0.23652 # DEPENDENCYPART_ARC
(30,27),2.47344 # DEPENDENCYPART_ARC
(30,28),1.09701 # DEPENDENCYPART_ARC
(30,29),0.43921 # DEPENDENCYPART_ARC
(30,31),3.78822 # DEPENDENCYPART_ARC
(30,32),2.7888 # DEPENDENCYPART_ARC
(30,33),1.93599 # DEPENDENCYPART_ARC
(30,34),-0.570566 # DEPENDENCYPART_ARC
(30,35),0.980556 # DEPENDENCYPART_ARC
(30,36),3.07822 # DEPENDENCYPART_ARC
(31,29),-0.429885 # DEPENDENCYPART_ARC
(31,32),1.28733 # DEPENDENCYPART_ARC
(31,33),0.832878 # DEPENDENCYPART_ARC
(31,34),-0.742854 # DEPENDENCYPART_ARC
(31,35),-0.0161868 # DEPENDENCYPART_ARC
(31,36),0.524689 # DEPENDENCYPART_ARC
(32,31),-0.433807 # DEPENDENCYPART_ARC
(32,33),3.02776 # DEPENDENCYPART_ARC
(32,34),0.908263 # DEPENDENCYPART_ARC
(32,35),1.9065 # DEPENDENCYPART_ARC
(33,32),0.973733 # DEPENDENCYPART_ARC
(33,34),2.01831 # DEPENDENCYPART_ARC
(33,35),4.27677 # DEPENDENCYPART_ARC
(33,36),-0.106221 # DEPENDENCYPART_ARC
(35,29),0.0476035 # DEPENDENCYPART_ARC
(35,31),-0.880536 # DEPENDENCYPART_ARC
(35,32),0.461255 # DEPENDENCYPART_ARC
(35,33),0.806288 # DEPENDENCYPART_ARC
(35,34),4.94884 # DEPENDENCYPART_ARC
