# _root_ El senador per CiU i alcalde d' Amposta , Joan_Maria_Roig , s' havia interessat per aquesta qüestió en una pregunta oral a la cambra alta .
#goldHeads=2,14,2,3,2,2,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
#predictedHeads=2,14,2,3,4,4,6,7,10,2,10,14,14,0,14,17,15,14,20,18,20,20,24,22,24,14,
(0,2),-7.58203 # DEPENDENCYPART_ARC
(0,6),-7.91801 # DEPENDENCYPART_ARC
(0,10),-7.13919 # DEPENDENCYPART_ARC
(0,13),-4.48469 # DEPENDENCYPART_ARC
(0,14),-3.71814 # DEPENDENCYPART_ARC
(1,2),0.990836 # DEPENDENCYPART_ARC
(1,3),0.0662789 # DEPENDENCYPART_ARC
(2,1),3.26505 # DEPENDENCYPART_ARC
(2,3),2.94661 # DEPENDENCYPART_ARC
(2,4),1.0882 # DEPENDENCYPART_ARC
(2,5),2.11867 # DEPENDENCYPART_ARC
(2,6),1.60281 # DEPENDENCYPART_ARC
(2,7),2.0979 # DEPENDENCYPART_ARC
(2,8),0.97778 # DEPENDENCYPART_ARC
(2,9),0.741825 # DEPENDENCYPART_ARC
(2,10),2.00767 # DEPENDENCYPART_ARC
(2,11),0.335454 # DEPENDENCYPART_ARC
(2,13),-0.0986974 # DEPENDENCYPART_ARC
(2,14),0.109528 # DEPENDENCYPART_ARC
(2,15),-0.669943 # DEPENDENCYPART_ARC
(2,17),0.0165698 # DEPENDENCYPART_ARC
(2,18),-0.401662 # DEPENDENCYPART_ARC
(2,20),-0.195763 # DEPENDENCYPART_ARC
(2,21),0.0848629 # DEPENDENCYPART_ARC
(2,22),-0.14779 # DEPENDENCYPART_ARC
(2,25),-1.75579 # DEPENDENCYPART_ARC
(2,26),1.11379 # DEPENDENCYPART_ARC
(3,1),-0.875674 # DEPENDENCYPART_ARC
(3,2),-0.0297696 # DEPENDENCYPART_ARC
(3,4),3.26865 # DEPENDENCYPART_ARC
(3,5),0.681139 # DEPENDENCYPART_ARC
(3,6),-0.635362 # DEPENDENCYPART_ARC
(3,7),-0.383101 # DEPENDENCYPART_ARC
(3,9),0.00295686 # DEPENDENCYPART_ARC
(3,11),-1.11607 # DEPENDENCYPART_ARC
(3,15),-1.39854 # DEPENDENCYPART_ARC
(4,5),3.1232 # DEPENDENCYPART_ARC
(4,6),1.84829 # DEPENDENCYPART_ARC
(4,7),0.843328 # DEPENDENCYPART_ARC
(4,8),0.60635 # DEPENDENCYPART_ARC
(4,9),0.133601 # DEPENDENCYPART_ARC
(4,10),0.755192 # DEPENDENCYPART_ARC
(4,11),-0.857784 # DEPENDENCYPART_ARC
(4,13),-1.32922 # DEPENDENCYPART_ARC
(4,14),-0.9659 # DEPENDENCYPART_ARC
(4,18),-2.36704 # DEPENDENCYPART_ARC
(4,26),-1.04939 # DEPENDENCYPART_ARC
(6,1),-1.01021 # DEPENDENCYPART_ARC
(6,2),-1.27969 # DEPENDENCYPART_ARC
(6,3),0.0790391 # DEPENDENCYPART_ARC
(6,5),1.53543 # DEPENDENCYPART_ARC
(6,7),2.16547 # DEPENDENCYPART_ARC
(6,8),0.802755 # DEPENDENCYPART_ARC
(6,9),0.833722 # DEPENDENCYPART_ARC
(6,10),1.18225 # DEPENDENCYPART_ARC
(6,11),-0.528554 # DEPENDENCYPART_ARC
(6,13),-0.648006 # DEPENDENCYPART_ARC
(6,14),-0.940784 # DEPENDENCYPART_ARC
(6,26),-0.0692704 # DEPENDENCYPART_ARC
(7,5),-0.622125 # DEPENDENCYPART_ARC
(7,6),0.0736358 # DEPENDENCYPART_ARC
(7,8),3.25111 # DEPENDENCYPART_ARC
(7,9),0.0935405 # DEPENDENCYPART_ARC
(7,10),-0.497383 # DEPENDENCYPART_ARC
(7,11),-1.2154 # DEPENDENCYPART_ARC
(8,6),-1.09883 # DEPENDENCYPART_ARC
(8,7),0.499093 # DEPENDENCYPART_ARC
(8,9),1.64499 # DEPENDENCYPART_ARC
(8,10),1.4584 # DEPENDENCYPART_ARC
(8,11),-0.286426 # DEPENDENCYPART_ARC
(8,13),0.0916661 # DEPENDENCYPART_ARC
(8,14),0.275923 # DEPENDENCYPART_ARC
(10,2),-1.60163 # DEPENDENCYPART_ARC
(10,3),-0.614613 # DEPENDENCYPART_ARC
(10,6),-0.508648 # DEPENDENCYPART_ARC
(10,7),0.136436 # DEPENDENCYPART_ARC
(10,8),1.13865 # DEPENDENCYPART_ARC
(10,9),2.76009 # DEPENDENCYPART_ARC
(10,11),2.77091 # DEPENDENCYPART_ARC
(10,13),0.855496 # DEPENDENCYPART_ARC
(10,14),0.355896 # DEPENDENCYPART_ARC
(10,18),-1.59162 # DEPENDENCYPART_ARC
(10,22),-1.30373 # DEPENDENCYPART_ARC
(10,26),0.750299 # DEPENDENCYPART_ARC
(11,9),-1.05288 # DEPENDENCYPART_ARC
(13,2),-1.87567 # DEPENDENCYPART_ARC
(13,3),-0.92856 # DEPENDENCYPART_ARC
(13,6),-1.37826 # DEPENDENCYPART_ARC
(13,7),-1.53498 # DEPENDENCYPART_ARC
