# _root_ " Si parla així , és només per intentar fer_front a les enormes pressions internacionals de què és objecte " , va assegurar el ministre palestí Hassan_Asfur .
#goldHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,19,16,14,18,6,6,23,0,25,23,25,25,23,
#predictedHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,14,16,14,18,6,18,23,0,25,23,25,25,6,
(0,2),-6.38186 # DEPENDENCYPART_ARC
(0,3),-4.27226 # DEPENDENCYPART_ARC
(0,6),-2.55643 # DEPENDENCYPART_ARC
(0,9),-4.67767 # DEPENDENCYPART_ARC
(0,10),-4.29414 # DEPENDENCYPART_ARC
(0,18),-3.52952 # DEPENDENCYPART_ARC
(0,22),-2.3189 # DEPENDENCYPART_ARC
(0,23),-1.28864 # DEPENDENCYPART_ARC
(2,3),0.39741 # DEPENDENCYPART_ARC
(2,4),-1.35478 # DEPENDENCYPART_ARC
(2,5),-0.151911 # DEPENDENCYPART_ARC
(2,6),-1.33116 # DEPENDENCYPART_ARC
(2,8),-1.86111 # DEPENDENCYPART_ARC
(3,1),2.87388 # DEPENDENCYPART_ARC
(3,2),3.44373 # DEPENDENCYPART_ARC
(3,4),2.75219 # DEPENDENCYPART_ARC
(3,5),1.84477 # DEPENDENCYPART_ARC
(3,6),2.02867 # DEPENDENCYPART_ARC
(3,7),0.345004 # DEPENDENCYPART_ARC
(3,8),0.993569 # DEPENDENCYPART_ARC
(3,9),-0.319687 # DEPENDENCYPART_ARC
(3,10),-0.0422969 # DEPENDENCYPART_ARC
(3,11),0.251023 # DEPENDENCYPART_ARC
(3,14),-0.331207 # DEPENDENCYPART_ARC
(3,15),-0.77166 # DEPENDENCYPART_ARC
(3,18),0.375237 # DEPENDENCYPART_ARC
(3,19),-0.719253 # DEPENDENCYPART_ARC
(3,20),0.594906 # DEPENDENCYPART_ARC
(3,21),0.8721 # DEPENDENCYPART_ARC
(3,23),-1.29579 # DEPENDENCYPART_ARC
(3,25),-1.68955 # DEPENDENCYPART_ARC
(3,27),-1.52635 # DEPENDENCYPART_ARC
(3,28),0.0376103 # DEPENDENCYPART_ARC
(4,1),-1.75527 # DEPENDENCYPART_ARC
(4,2),-0.823328 # DEPENDENCYPART_ARC
(4,3),-0.0818799 # DEPENDENCYPART_ARC
(4,5),0.677299 # DEPENDENCYPART_ARC
(4,6),-0.217377 # DEPENDENCYPART_ARC
(4,7),-0.913426 # DEPENDENCYPART_ARC
(4,8),-2.03392 # DEPENDENCYPART_ARC
(4,9),-1.44654 # DEPENDENCYPART_ARC
(4,10),-2.10735 # DEPENDENCYPART_ARC
(6,1),3.2003 # DEPENDENCYPART_ARC
(6,2),1.25644 # DEPENDENCYPART_ARC
(6,3),2.05753 # DEPENDENCYPART_ARC
(6,4),1.22259 # DEPENDENCYPART_ARC
(6,5),1.20368 # DEPENDENCYPART_ARC
(6,7),2.0629 # DEPENDENCYPART_ARC
(6,8),2.04617 # DEPENDENCYPART_ARC
(6,9),1.03374 # DEPENDENCYPART_ARC
(6,10),1.01257 # DEPENDENCYPART_ARC
(6,11),0.59916 # DEPENDENCYPART_ARC
(6,13),-0.983125 # DEPENDENCYPART_ARC
(6,14),0.199308 # DEPENDENCYPART_ARC
(6,15),-0.508968 # DEPENDENCYPART_ARC
(6,17),-1.58216 # DEPENDENCYPART_ARC
