# _root_ El pelatge d' aquesta espècie , format en cada exemplar per taques diferents , actua com un carnet d' identitat .
#goldHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
#predictedHeads=2,15,2,5,3,7,2,7,10,8,7,11,12,7,0,15,18,16,18,19,15,
(0,2),-7.58203 # DEPENDENCYPART_ARC
(0,7),-9.16928 # DEPENDENCYPART_ARC
(0,15),-1.85316 # DEPENDENCYPART_ARC
(1,2),0.869287 # DEPENDENCYPART_ARC
(1,3),-0.238725 # DEPENDENCYPART_ARC
(2,1),3.11853 # DEPENDENCYPART_ARC
(2,3),3.06343 # DEPENDENCYPART_ARC
(2,5),1.25837 # DEPENDENCYPART_ARC
(2,6),0.816724 # DEPENDENCYPART_ARC
(2,7),2.44266 # DEPENDENCYPART_ARC
(2,8),0.992667 # DEPENDENCYPART_ARC
(2,10),0.714989 # DEPENDENCYPART_ARC
(2,11),1.37449 # DEPENDENCYPART_ARC
(2,12),-0.0601366 # DEPENDENCYPART_ARC
(2,13),-1.07996 # DEPENDENCYPART_ARC
(2,14),0.572526 # DEPENDENCYPART_ARC
(2,15),0.553808 # DEPENDENCYPART_ARC
(2,16),0.544429 # DEPENDENCYPART_ARC
(2,18),-1.35777 # DEPENDENCYPART_ARC
(2,19),-1.96355 # DEPENDENCYPART_ARC
(2,21),0.682097 # DEPENDENCYPART_ARC
(3,1),-0.88935 # DEPENDENCYPART_ARC
(3,5),4.53114 # DEPENDENCYPART_ARC
(3,6),0.0971993 # DEPENDENCYPART_ARC
(3,7),-0.420568 # DEPENDENCYPART_ARC
(3,8),-1.32803 # DEPENDENCYPART_ARC
(3,10),-0.210985 # DEPENDENCYPART_ARC
(3,11),-1.91417 # DEPENDENCYPART_ARC
(3,16),-1.11 # DEPENDENCYPART_ARC
(5,1),-1.33496 # DEPENDENCYPART_ARC
(5,4),3.56123 # DEPENDENCYPART_ARC
(5,6),-0.0152733 # DEPENDENCYPART_ARC
(5,7),0.532206 # DEPENDENCYPART_ARC
(5,8),-0.236535 # DEPENDENCYPART_ARC
(5,10),-0.617062 # DEPENDENCYPART_ARC
(5,11),-0.0428313 # DEPENDENCYPART_ARC
