# _root_ Un_cop llicenciat , es va dedicar durant molts anys a l' ensenyament de la llengua i la literatura a Barcelona , Vila-real -Fpa- Plana_Baixa -Fpt- i Terrassa .
#goldHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,6,19,20,20,24,22,24,20,20,6,
#predictedHeads=2,6,6,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,18,19,22,12,24,12,24,15,20,6,
(0,1),-6.74828 # DEPENDENCYPART_ARC
(0,2),-8.30929 # DEPENDENCYPART_ARC
(0,5),-3.9144 # DEPENDENCYPART_ARC
(0,6),-3.83094 # DEPENDENCYPART_ARC
(1,2),0.554828 # DEPENDENCYPART_ARC
(1,3),0.976208 # DEPENDENCYPART_ARC
(1,6),-1.26141 # DEPENDENCYPART_ARC
(1,7),-2.14505 # DEPENDENCYPART_ARC
(1,10),-2.65198 # DEPENDENCYPART_ARC
(2,1),3.15528 # DEPENDENCYPART_ARC
(2,3),1.7481 # DEPENDENCYPART_ARC
(2,5),1.11541 # DEPENDENCYPART_ARC
(2,6),0.150514 # DEPENDENCYPART_ARC
(2,7),-0.00773678 # DEPENDENCYPART_ARC
(2,10),0.0546823 # DEPENDENCYPART_ARC
(2,18),-1.01876 # DEPENDENCYPART_ARC
(2,21),-0.123971 # DEPENDENCYPART_ARC
(2,25),-1.38456 # DEPENDENCYPART_ARC
(3,2),-1.11647 # DEPENDENCYPART_ARC
(5,1),-1.04367 # DEPENDENCYPART_ARC
(5,2),-2.10796 # DEPENDENCYPART_ARC
(5,3),0.248199 # DEPENDENCYPART_ARC
(5,4),-0.0708002 # DEPENDENCYPART_ARC
(5,6),0.775146 # DEPENDENCYPART_ARC
(5,7),0.486159 # DEPENDENCYPART_ARC
(5,10),0.161714 # DEPENDENCYPART_ARC
(5,28),0.996604 # DEPENDENCYPART_ARC
(6,1),1.56818 # DEPENDENCYPART_ARC
(6,2),0.455587 # DEPENDENCYPART_ARC
(6,3),2.29008 # DEPENDENCYPART_ARC
(6,4),3.49846 # DEPENDENCYPART_ARC
(6,5),6.07523 # DEPENDENCYPART_ARC
(6,7),4.00732 # DEPENDENCYPART_ARC
(6,9),2.6726 # DEPENDENCYPART_ARC
(6,10),2.80765 # DEPENDENCYPART_ARC
(6,12),1.94959 # DEPENDENCYPART_ARC
(6,13),0.740448 # DEPENDENCYPART_ARC
(6,15),1.56344 # DEPENDENCYPART_ARC
(6,16),1.61632 # DEPENDENCYPART_ARC
(6,18),0.93342 # DEPENDENCYPART_ARC
(6,19),2.30983 # DEPENDENCYPART_ARC
(6,21),-1.19347 # DEPENDENCYPART_ARC
(6,22),-0.597102 # DEPENDENCYPART_ARC
(6,24),-0.95568 # DEPENDENCYPART_ARC
(6,25),-0.804574 # DEPENDENCYPART_ARC
(6,26),1.64041 # DEPENDENCYPART_ARC
(6,27),-1.15616 # DEPENDENCYPART_ARC
(6,28),5.64388 # DEPENDENCYPART_ARC
(7,3),-1.807 # DEPENDENCYPART_ARC
(7,8),-0.768356 # DEPENDENCYPART_ARC
(7,9),4.7871 # DEPENDENCYPART_ARC
(7,10),-0.118799 # DEPENDENCYPART_ARC
(7,12),0.905363 # DEPENDENCYPART_ARC
(7,13),-0.725295 # DEPENDENCYPART_ARC
(7,16),-0.461486 # DEPENDENCYPART_ARC
(7,19),-1.1151 # DEPENDENCYPART_ARC
(7,21),-0.0450282 # DEPENDENCYPART_ARC
(8,7),-0.595194 # DEPENDENCYPART_ARC
(8,9),2.39626 # DEPENDENCYPART_ARC
(8,10),-0.628893 # DEPENDENCYPART_ARC
(8,13),-0.89167 # DEPENDENCYPART_ARC
(9,1),-1.01006 # DEPENDENCYPART_ARC
(9,2),-3.79555 # DEPENDENCYPART_ARC
(9,3),-1.12636 # DEPENDENCYPART_ARC
(9,7),0.926766 # DEPENDENCYPART_ARC
(9,8),3.57399 # DEPENDENCYPART_ARC
(9,10),0.978338 # DEPENDENCYPART_ARC
(9,12),0.0258231 # DEPENDENCYPART_ARC
(9,13),1.3768 # DEPENDENCYPART_ARC
(9,15),-0.49664 # DEPENDENCYPART_ARC
(9,16),1.46317 # DEPENDENCYPART_ARC
(9,18),0.245147 # DEPENDENCYPART_ARC
(9,19),0.417684 # DEPENDENCYPART_ARC
(9,22),0.632884 # DEPENDENCYPART_ARC
(9,24),0.580256 # DEPENDENCYPART_ARC
(9,26),0.564744 # DEPENDENCYPART_ARC
(9,27),-1.30921 # DEPENDENCYPART_ARC
(9,28),0.201487 # DEPENDENCYPART_ARC
(10,8),-0.669954 # DEPENDENCYPART_ARC
(10,11),-0.6246 # DEPENDENCYPART_ARC
(10,12),3.69976 # DEPENDENCYPART_ARC
