# _root_ De_fet , la noia presentava fractura de pelvis , turmell i cama i va ser atesa a un centre hospitalari .
#goldHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
#predictedHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
(0,1),-6.35764 # DEPENDENCYPART_ARC
(0,4),-6.42869 # DEPENDENCYPART_ARC
(0,5),-2.75778 # DEPENDENCYPART_ARC
(0,15),-5.16279 # DEPENDENCYPART_ARC
(0,16),-4.54334 # DEPENDENCYPART_ARC
(1,2),2.91607 # DEPENDENCYPART_ARC
(1,4),-1.35458 # DEPENDENCYPART_ARC
(1,5),-0.493629 # DEPENDENCYPART_ARC
(1,6),-1.79731 # DEPENDENCYPART_ARC
(1,7),-2.04815 # DEPENDENCYPART_ARC
(1,9),-0.413233 # DEPENDENCYPART_ARC
(1,11),-0.345821 # DEPENDENCYPART_ARC
(1,16),-2.0244 # DEPENDENCYPART_ARC
(3,1),-1.36464 # DEPENDENCYPART_ARC
(3,4),0.247683 # DEPENDENCYPART_ARC
(4,1),-0.739355 # DEPENDENCYPART_ARC
(4,2),0.288826 # DEPENDENCYPART_ARC
(4,3),3.67888 # DEPENDENCYPART_ARC
(4,5),0.204419 # DEPENDENCYPART_ARC
(4,6),-0.922127 # DEPENDENCYPART_ARC
(4,7),0.0890509 # DEPENDENCYPART_ARC
(4,9),-0.808968 # DEPENDENCYPART_ARC
(4,10),-1.3587 # DEPENDENCYPART_ARC
(4,11),-0.215486 # DEPENDENCYPART_ARC
(4,12),-0.710322 # DEPENDENCYPART_ARC
(4,13),-1.51134 # DEPENDENCYPART_ARC
(4,16),-3.82003 # DEPENDENCYPART_ARC
(4,21),0.218922 # DEPENDENCYPART_ARC
(5,1),2.35711 # DEPENDENCYPART_ARC
(5,2),1.27599 # DEPENDENCYPART_ARC
(5,3),-0.0172272 # DEPENDENCYPART_ARC
(5,4),2.58688 # DEPENDENCYPART_ARC
(5,6),4.26685 # DEPENDENCYPART_ARC
(5,7),1.93923 # DEPENDENCYPART_ARC
(5,8),0.900794 # DEPENDENCYPART_ARC
(5,9),1.13894 # DEPENDENCYPART_ARC
(5,10),0.78603 # DEPENDENCYPART_ARC
(5,11),1.80752 # DEPENDENCYPART_ARC
(5,12),-0.215905 # DEPENDENCYPART_ARC
(5,13),2.70849 # DEPENDENCYPART_ARC
