# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(0,1),-6.25573 # DEPENDENCYPART_ARC
(0,5),-7.01019 # DEPENDENCYPART_ARC
(0,10),-2.97187 # DEPENDENCYPART_ARC
(1,2),3.35222 # DEPENDENCYPART_ARC
(1,4),-0.636864 # DEPENDENCYPART_ARC
(1,5),-0.739494 # DEPENDENCYPART_ARC
(1,8),-1.57316 # DEPENDENCYPART_ARC
(1,10),-0.806815 # DEPENDENCYPART_ARC
(1,14),0.257797 # DEPENDENCYPART_ARC
(1,21),0.432335 # DEPENDENCYPART_ARC
(3,1),-0.856346 # DEPENDENCYPART_ARC
(3,5),-0.578217 # DEPENDENCYPART_ARC
(3,6),-1.28736 # DEPENDENCYPART_ARC
(4,2),0.699036 # DEPENDENCYPART_ARC
(4,3),2.79412 # DEPENDENCYPART_ARC
(4,5),2.30341 # DEPENDENCYPART_ARC
(4,7),0.868633 # DEPENDENCYPART_ARC
(4,8),1.24937 # DEPENDENCYPART_ARC
(4,10),0.604991 # DEPENDENCYPART_ARC
(4,11),-0.131744 # DEPENDENCYPART_ARC
(4,13),0.0514444 # DEPENDENCYPART_ARC
(4,14),0.268718 # DEPENDENCYPART_ARC
(4,21),0.69062 # DEPENDENCYPART_ARC
(5,1),-0.995704 # DEPENDENCYPART_ARC
(5,2),-0.341161 # DEPENDENCYPART_ARC
(5,3),-0.758963 # DEPENDENCYPART_ARC
(5,4),-0.60736 # DEPENDENCYPART_ARC
(5,6),-1.26899 # DEPENDENCYPART_ARC
(5,7),3.77172 # DEPENDENCYPART_ARC
(5,8),-0.210854 # DEPENDENCYPART_ARC
(5,9),0.872868 # DEPENDENCYPART_ARC
(5,10),-0.714237 # DEPENDENCYPART_ARC
(5,14),-1.18247 # DEPENDENCYPART_ARC
(5,15),-1.71447 # DEPENDENCYPART_ARC
(5,16),-1.63714 # DEPENDENCYPART_ARC
(5,17),-1.46455 # DEPENDENCYPART_ARC
(6,4),0.0201333 # DEPENDENCYPART_ARC
(6,5),0.869602 # DEPENDENCYPART_ARC
(6,7),2.78093 # DEPENDENCYPART_ARC
(6,8),0.707328 # DEPENDENCYPART_ARC
(7,1),-1.3498 # DEPENDENCYPART_ARC
(7,2),-0.517143 # DEPENDENCYPART_ARC
