# _root_ - La moció de censura , plantejada amb tant de temps , és un interrogant de com sortirà .
#goldHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,16,13,
#predictedHeads=13,3,13,3,4,7,3,7,8,9,10,7,0,15,13,15,18,15,13,
(0,3),-6.64368 # DEPENDENCYPART_ARC
(0,7),-8.77182 # DEPENDENCYPART_ARC
(0,13),-1.66019 # DEPENDENCYPART_ARC
(0,18),-4.7522 # DEPENDENCYPART_ARC
(1,3),-0.55774 # DEPENDENCYPART_ARC
(2,3),1.66138 # DEPENDENCYPART_ARC
(2,4),1.11951 # DEPENDENCYPART_ARC
(3,1),1.07596 # DEPENDENCYPART_ARC
(3,2),3.82423 # DEPENDENCYPART_ARC
(3,4),3.69324 # DEPENDENCYPART_ARC
(3,5),1.18916 # DEPENDENCYPART_ARC
(3,6),0.844931 # DEPENDENCYPART_ARC
(3,7),2.76624 # DEPENDENCYPART_ARC
(3,8),1.05994 # DEPENDENCYPART_ARC
(3,9),-0.430668 # DEPENDENCYPART_ARC
(3,10),-0.809879 # DEPENDENCYPART_ARC
(3,11),-0.867448 # DEPENDENCYPART_ARC
(3,12),0.512556 # DEPENDENCYPART_ARC
(3,13),0.792664 # DEPENDENCYPART_ARC
(3,15),-1.15218 # DEPENDENCYPART_ARC
(3,16),-3.50151 # DEPENDENCYPART_ARC
(3,18),0.872758 # DEPENDENCYPART_ARC
(3,19),0.852494 # DEPENDENCYPART_ARC
(4,1),-0.459639 # DEPENDENCYPART_ARC
(4,2),-0.205406 # DEPENDENCYPART_ARC
(4,5),4.07414 # DEPENDENCYPART_ARC
(4,6),-0.0432198 # DEPENDENCYPART_ARC
(4,7),-0.432123 # DEPENDENCYPART_ARC
(4,8),-1.32079 # DEPENDENCYPART_ARC
(4,9),-1.31248 # DEPENDENCYPART_ARC
(4,10),0.240121 # DEPENDENCYPART_ARC
(4,12),-0.641772 # DEPENDENCYPART_ARC
(5,1),0.00142457 # DEPENDENCYPART_ARC
(5,2),1.0531 # DEPENDENCYPART_ARC
(5,6),-0.346708 # DEPENDENCYPART_ARC
(5,7),1.50881 # DEPENDENCYPART_ARC
(5,8),-0.400554 # DEPENDENCYPART_ARC
(5,9),-1.66338 # DEPENDENCYPART_ARC
(5,10),-1.09432 # DEPENDENCYPART_ARC
(5,11),-1.39169 # DEPENDENCYPART_ARC
(5,13),-0.726693 # DEPENDENCYPART_ARC
(5,19),-1.06267 # DEPENDENCYPART_ARC
(7,3),-0.787168 # DEPENDENCYPART_ARC
(7,4),0.723484 # DEPENDENCYPART_ARC
(7,5),-0.139121 # DEPENDENCYPART_ARC
(7,6),2.75809 # DEPENDENCYPART_ARC
(7,8),3.47163 # DEPENDENCYPART_ARC
(7,9),0.494711 # DEPENDENCYPART_ARC
(7,10),0.645344 # DEPENDENCYPART_ARC
(7,11),-0.0289593 # DEPENDENCYPART_ARC
(7,12),2.73406 # DEPENDENCYPART_ARC
(7,13),0.0710741 # DEPENDENCYPART_ARC
(7,15),-0.531329 # DEPENDENCYPART_ARC
(7,16),-1.45689 # DEPENDENCYPART_ARC
(7,18),0.252218 # DEPENDENCYPART_ARC
(7,19),0.194359 # DEPENDENCYPART_ARC
(8,2),-2.03279 # DEPENDENCYPART_ARC
(8,4),-0.420229 # DEPENDENCYPART_ARC
