# _root_ Avui , en aquesta població , hi ha afectades ni_més_ni_menys_que 14 hectàrees d' una urbanització .
#goldHeads=8,1,8,5,3,3,8,0,8,12,12,8,12,15,13,8,
#predictedHeads=8,1,8,5,3,3,8,0,8,11,12,8,12,15,13,8,
(0,1),-6.35506 # DEPENDENCYPART_ARC
(0,3),-6.27151 # DEPENDENCYPART_ARC
(0,8),-3.26633 # DEPENDENCYPART_ARC
(0,12),-6.35843 # DEPENDENCYPART_ARC
(1,2),2.7903 # DEPENDENCYPART_ARC
(1,3),-1.13686 # DEPENDENCYPART_ARC
(1,6),0.405225 # DEPENDENCYPART_ARC
(1,10),-1.56335 # DEPENDENCYPART_ARC
(1,13),-2.55548 # DEPENDENCYPART_ARC
(3,1),-0.304086 # DEPENDENCYPART_ARC
(3,2),1.63545 # DEPENDENCYPART_ARC
(3,5),4.55407 # DEPENDENCYPART_ARC
(3,6),2.26329 # DEPENDENCYPART_ARC
(3,8),0.0204936 # DEPENDENCYPART_ARC
(3,9),-1.04832 # DEPENDENCYPART_ARC
(3,10),-1.08888 # DEPENDENCYPART_ARC
(3,12),-3.2026 # DEPENDENCYPART_ARC
(3,16),-0.178967 # DEPENDENCYPART_ARC
(5,1),-0.929836 # DEPENDENCYPART_ARC
(5,2),-0.0255977 # DEPENDENCYPART_ARC
(5,3),0.521343 # DEPENDENCYPART_ARC
(5,4),3.7729 # DEPENDENCYPART_ARC
(5,6),-0.40279 # DEPENDENCYPART_ARC
(5,7),-2.49998 # DEPENDENCYPART_ARC
(5,8),1.1416 # DEPENDENCYPART_ARC
(5,9),-1.13061 # DEPENDENCYPART_ARC
(5,10),-1.27952 # DEPENDENCYPART_ARC
(5,11),-1.4369 # DEPENDENCYPART_ARC
(5,12),-1.13017 # DEPENDENCYPART_ARC
(5,13),-0.995443 # DEPENDENCYPART_ARC
(5,16),0.662526 # DEPENDENCYPART_ARC
(7,6),0.522666 # DEPENDENCYPART_ARC
(7,9),-0.273909 # DEPENDENCYPART_ARC
(7,10),-1.46263 # DEPENDENCYPART_ARC
(7,12),-1.06875 # DEPENDENCYPART_ARC
(7,13),-2.55803 # DEPENDENCYPART_ARC
(7,16),-0.492502 # DEPENDENCYPART_ARC
(8,1),1.39923 # DEPENDENCYPART_ARC
(8,2),0.906659 # DEPENDENCYPART_ARC
(8,3),2.16919 # DEPENDENCYPART_ARC
(8,5),0.531776 # DEPENDENCYPART_ARC
(8,6),1.81614 # DEPENDENCYPART_ARC
(8,7),3.31486 # DEPENDENCYPART_ARC
(8,9),3.34271 # DEPENDENCYPART_ARC
(8,10),1.13909 # DEPENDENCYPART_ARC
(8,11),-0.208885 # DEPENDENCYPART_ARC
(8,12),1.6276 # DEPENDENCYPART_ARC
(8,13),-0.198608 # DEPENDENCYPART_ARC
(8,15),1.09621 # DEPENDENCYPART_ARC
(8,16),2.98619 # DEPENDENCYPART_ARC
(9,1),-2.23054 # DEPENDENCYPART_ARC
(9,2),-1.73439 # DEPENDENCYPART_ARC
(9,3),-0.387832 # DEPENDENCYPART_ARC
(9,6),-0.811074 # DEPENDENCYPART_ARC
(9,7),-0.184225 # DEPENDENCYPART_ARC
(9,10),0.894207 # DEPENDENCYPART_ARC
(9,11),-0.198134 # DEPENDENCYPART_ARC
(9,12),-0.340013 # DEPENDENCYPART_ARC
(9,13),0.562049 # DEPENDENCYPART_ARC
(9,16),-0.452095 # DEPENDENCYPART_ARC
(10,3),-0.831306 # DEPENDENCYPART_ARC
(10,6),-0.736233 # DEPENDENCYPART_ARC
(10,9),0.351515 # DEPENDENCYPART_ARC
(10,11),0.921286 # DEPENDENCYPART_ARC
(10,12),0.0717867 # DEPENDENCYPART_ARC
(10,13),-0.617671 # DEPENDENCYPART_ARC
(10,16),-1.13653 # DEPENDENCYPART_ARC
(11,3),-0.817842 # DEPENDENCYPART_ARC
(11,10),1.94439 # DEPENDENCYPART_ARC
(11,12),0.844963 # DEPENDENCYPART_ARC
(11,13),0.327629 # DEPENDENCYPART_ARC
(11,16),-0.388416 # DEPENDENCYPART_ARC
(12,1),-1.27054 # DEPENDENCYPART_ARC
(12,2),-0.791565 # DEPENDENCYPART_ARC
(12,3),-1.0119 # DEPENDENCYPART_ARC
(12,6),-0.402686 # DEPENDENCYPART_ARC
(12,7),-0.102477 # DEPENDENCYPART_ARC
(12,8),-0.722798 # DEPENDENCYPART_ARC
(12,9),0.448256 # DEPENDENCYPART_ARC
(12,10),1.03946 # DEPENDENCYPART_ARC
(12,11),2.4231 # DEPENDENCYPART_ARC
(12,13),2.30142 # DEPENDENCYPART_ARC
(12,14),-0.60932 # DEPENDENCYPART_ARC
(12,15),0.660853 # DEPENDENCYPART_ARC
(12,16),0.784789 # DEPENDENCYPART_ARC
(13,3),-1.86148 # DEPENDENCYPART_ARC
(13,10),-0.62497 # DEPENDENCYPART_ARC
(13,11),-0.503974 # DEPENDENCYPART_ARC
(13,12),-0.179108 # DEPENDENCYPART_ARC
(13,15),4.53202 # DEPENDENCYPART_ARC
(13,16),-0.480024 # DEPENDENCYPART_ARC
(14,13),0.798593 # DEPENDENCYPART_ARC
(15,3),-1.35818 # DEPENDENCYPART_ARC
(15,6),-1.20551 # DEPENDENCYPART_ARC
(15,7),-0.224801 # DEPENDENCYPART_ARC
(15,9),-0.924048 # DEPENDENCYPART_ARC
(15,10),-0.368671 # DEPENDENCYPART_ARC
(15,11),-0.635733 # DEPENDENCYPART_ARC
(15,12),-0.550727 # DEPENDENCYPART_ARC
(15,13),0.445067 # DEPENDENCYPART_ARC
(15,14),4.32755 # DEPENDENCYPART_ARC
(15,16),0.440868 # DEPENDENCYPART_ARC
