# _root_ En la fase final del premi , que es desenvoluparà entre el 7_de_juny i el 2_de_juliol , els equips disposaran de tres milions de pessetes reals cadascun que podran invertir .
#goldHeads=20,3,1,3,3,5,10,10,10,3,13,13,10,13,16,13,10,19,20,0,20,23,21,23,24,23,20,30,30,23,20,
#predictedHeads=20,3,1,3,3,5,1,10,10,6,13,13,10,13,16,13,16,19,20,0,20,23,21,23,24,23,30,30,30,23,10,
(0,1),-7.70752 # DEPENDENCYPART_ARC
(0,5),-8.48852 # DEPENDENCYPART_ARC
(0,10),-3.62777 # DEPENDENCYPART_ARC
(0,13),-8.31509 # DEPENDENCYPART_ARC
(0,20),-3.64003 # DEPENDENCYPART_ARC
(0,27),-7.00906 # DEPENDENCYPART_ARC
(0,29),-6.15434 # DEPENDENCYPART_ARC
(0,30),-7.27777 # DEPENDENCYPART_ARC
(1,2),-1.04131 # DEPENDENCYPART_ARC
(1,3),4.50066 # DEPENDENCYPART_ARC
(1,4),-0.065517 # DEPENDENCYPART_ARC
(1,5),-0.884349 # DEPENDENCYPART_ARC
(1,6),0.638719 # DEPENDENCYPART_ARC
(1,7),2.27969 # DEPENDENCYPART_ARC
(1,10),-0.829133 # DEPENDENCYPART_ARC
(1,11),-1.60697 # DEPENDENCYPART_ARC
(1,14),-0.91905 # DEPENDENCYPART_ARC
(1,17),1.32396 # DEPENDENCYPART_ARC
(1,31),0.0042725 # DEPENDENCYPART_ARC
(3,1),-0.0414563 # DEPENDENCYPART_ARC
(3,2),3.3685 # DEPENDENCYPART_ARC
(3,4),3.33467 # DEPENDENCYPART_ARC
(3,5),2.55436 # DEPENDENCYPART_ARC
(3,6),0.606814 # DEPENDENCYPART_ARC
(3,7),0.0513186 # DEPENDENCYPART_ARC
(3,10),2.83901 # DEPENDENCYPART_ARC
(3,11),-0.929292 # DEPENDENCYPART_ARC
(3,13),-1.01312 # DEPENDENCYPART_ARC
(3,14),0.0555311 # DEPENDENCYPART_ARC
(3,16),-1.45544 # DEPENDENCYPART_ARC
(3,17),-0.291258 # DEPENDENCYPART_ARC
(3,19),-1.56324 # DEPENDENCYPART_ARC
(3,20),-0.401958 # DEPENDENCYPART_ARC
(3,31),1.87722 # DEPENDENCYPART_ARC
(4,2),0.177439 # DEPENDENCYPART_ARC
(4,5),0.456243 # DEPENDENCYPART_ARC
(4,6),-0.298728 # DEPENDENCYPART_ARC
(4,7),-0.393798 # DEPENDENCYPART_ARC
(4,10),-0.212973 # DEPENDENCYPART_ARC
(4,11),-2.47896 # DEPENDENCYPART_ARC
(4,13),-1.18735 # DEPENDENCYPART_ARC
(5,2),-0.744581 # DEPENDENCYPART_ARC
(5,4),-0.527505 # DEPENDENCYPART_ARC
(5,6),4.07187 # DEPENDENCYPART_ARC
(5,7),-0.606653 # DEPENDENCYPART_ARC
(5,10),-0.312127 # DEPENDENCYPART_ARC
(5,13),-3.05952 # DEPENDENCYPART_ARC
(6,2),0.312573 # DEPENDENCYPART_ARC
(6,4),-0.198102 # DEPENDENCYPART_ARC
(6,5),0.273462 # DEPENDENCYPART_ARC
(6,7),0.108944 # DEPENDENCYPART_ARC
(6,10),2.88777 # DEPENDENCYPART_ARC
(6,11),-0.392008 # DEPENDENCYPART_ARC
(6,13),-1.34295 # DEPENDENCYPART_ARC
(6,14),0.267997 # DEPENDENCYPART_ARC
(6,16),-1.49673 # DEPENDENCYPART_ARC
(6,17),-0.00333905 # DEPENDENCYPART_ARC
(6,19),-1.15184 # DEPENDENCYPART_ARC
(6,20),-0.437004 # DEPENDENCYPART_ARC
(6,25),-2.06003 # DEPENDENCYPART_ARC
(6,31),1.77323 # DEPENDENCYPART_ARC
(8,10),-1.08009 # DEPENDENCYPART_ARC
(10,1),1.25126 # DEPENDENCYPART_ARC
(10,3),0.0921268 # DEPENDENCYPART_ARC
(10,4),-0.785474 # DEPENDENCYPART_ARC
(10,5),-1.56018 # DEPENDENCYPART_ARC
(10,6),-0.693907 # DEPENDENCYPART_ARC
(10,7),2.18045 # DEPENDENCYPART_ARC
(10,8),3.48191 # DEPENDENCYPART_ARC
(10,9),4.32518 # DEPENDENCYPART_ARC
(10,11),2.10075 # DEPENDENCYPART_ARC
(10,13),1.33897 # DEPENDENCYPART_ARC
