# _root_ El príncep Haakon_de_Noruega i la_seva nòvia , Mette-Marit_Tjessem , van anunciar ahir que es casaran el 25_d'_agost vinent .
#goldHeads=2,11,2,2,6,2,8,6,8,11,0,11,15,15,11,17,15,17,11,
#predictedHeads=2,11,2,2,6,2,8,6,8,11,0,11,15,15,11,17,15,17,11,
(0,2),-7.16904 # DEPENDENCYPART_ARC
(0,10),-2.73955 # DEPENDENCYPART_ARC
(0,11),-2.24084 # DEPENDENCYPART_ARC
(0,15),-4.47154 # DEPENDENCYPART_ARC
(1,2),-0.250178 # DEPENDENCYPART_ARC
(2,1),3.2495 # DEPENDENCYPART_ARC
(2,3),3.27135 # DEPENDENCYPART_ARC
(2,4),2.59354 # DEPENDENCYPART_ARC
(2,6),1.73054 # DEPENDENCYPART_ARC
(2,7),1.00127 # DEPENDENCYPART_ARC
(2,8),1.72354 # DEPENDENCYPART_ARC
(2,9),0.863575 # DEPENDENCYPART_ARC
(2,10),-0.380629 # DEPENDENCYPART_ARC
(2,11),-0.0978395 # DEPENDENCYPART_ARC
(2,12),-0.332441 # DEPENDENCYPART_ARC
(2,15),-1.53977 # DEPENDENCYPART_ARC
(2,17),-1.40184 # DEPENDENCYPART_ARC
(2,18),-1.23067 # DEPENDENCYPART_ARC
(2,19),2.04308 # DEPENDENCYPART_ARC
(3,1),0.542722 # DEPENDENCYPART_ARC
(3,2),0.395394 # DEPENDENCYPART_ARC
(3,4),1.67443 # DEPENDENCYPART_ARC
(3,6),1.30944 # DEPENDENCYPART_ARC
(3,7),0.681502 # DEPENDENCYPART_ARC
(3,8),1.30575 # DEPENDENCYPART_ARC
(3,9),0.0705989 # DEPENDENCYPART_ARC
(3,12),-0.647868 # DEPENDENCYPART_ARC
(3,15),-3.62421 # DEPENDENCYPART_ARC
(3,17),-1.9021 # DEPENDENCYPART_ARC
(3,18),-2.20553 # DEPENDENCYPART_ARC
(3,19),1.23787 # DEPENDENCYPART_ARC
(6,1),-2.13676 # DEPENDENCYPART_ARC
(6,2),-2.52629 # DEPENDENCYPART_ARC
(6,4),-0.705884 # DEPENDENCYPART_ARC
(6,5),1.61927 # DEPENDENCYPART_ARC
(6,7),1.03139 # DEPENDENCYPART_ARC
(6,8),1.78401 # DEPENDENCYPART_ARC
(6,9),0.695446 # DEPENDENCYPART_ARC
(6,10),0.0184637 # DEPENDENCYPART_ARC
(6,11),0.0563728 # DEPENDENCYPART_ARC
(6,12),-0.373919 # DEPENDENCYPART_ARC
(6,13),-2.16692 # DEPENDENCYPART_ARC
(6,15),-1.5842 # DEPENDENCYPART_ARC
(6,17),-1.88194 # DEPENDENCYPART_ARC
(6,18),-1.418 # DEPENDENCYPART_ARC
(6,19),1.29614 # DEPENDENCYPART_ARC
(7,6),-1.99722 # DEPENDENCYPART_ARC
(8,2),-1.35404 # DEPENDENCYPART_ARC
(8,6),-0.294905 # DEPENDENCYPART_ARC
(8,7),2.83048 # DEPENDENCYPART_ARC
(8,9),2.63072 # DEPENDENCYPART_ARC
(8,10),-0.591444 # DEPENDENCYPART_ARC
(8,11),-0.675977 # DEPENDENCYPART_ARC
(8,12),-1.09543 # DEPENDENCYPART_ARC
(8,15),-2.75789 # DEPENDENCYPART_ARC
(8,17),-2.45404 # DEPENDENCYPART_ARC
(8,18),-1.97163 # DEPENDENCYPART_ARC
(8,19),0.735091 # DEPENDENCYPART_ARC
(9,7),-0.725921 # DEPENDENCYPART_ARC
(10,2),-2.81955 # DEPENDENCYPART_ARC
(10,4),-2.66061 # DEPENDENCYPART_ARC
(10,6),-1.77436 # DEPENDENCYPART_ARC
(10,7),-2.6993 # DEPENDENCYPART_ARC
(10,8),-2.03808 # DEPENDENCYPART_ARC
(10,9),-1.93851 # DEPENDENCYPART_ARC
(10,11),0.12072 # DEPENDENCYPART_ARC
(10,12),-0.277554 # DEPENDENCYPART_ARC
(10,15),-1.38806 # DEPENDENCYPART_ARC
(10,17),-2.15774 # DEPENDENCYPART_ARC
(10,19),2.62915 # DEPENDENCYPART_ARC
(11,2),0.526832 # DEPENDENCYPART_ARC
(11,3),0.141143 # DEPENDENCYPART_ARC
(11,4),-0.699059 # DEPENDENCYPART_ARC
(11,6),1.03659 # DEPENDENCYPART_ARC
(11,7),-0.437719 # DEPENDENCYPART_ARC
(11,8),0.630876 # DEPENDENCYPART_ARC
(11,9),0.0777894 # DEPENDENCYPART_ARC
(11,10),5.48618 # DEPENDENCYPART_ARC
(11,12),3.01342 # DEPENDENCYPART_ARC
(11,13),0.205402 # DEPENDENCYPART_ARC
(11,15),1.73148 # DEPENDENCYPART_ARC
(11,17),-0.0301708 # DEPENDENCYPART_ARC
(11,18),-0.270159 # DEPENDENCYPART_ARC
(11,19),4.73017 # DEPENDENCYPART_ARC
(12,7),-1.68137 # DEPENDENCYPART_ARC
(12,9),-1.15096 # DEPENDENCYPART_ARC
(12,11),-0.657362 # DEPENDENCYPART_ARC
(12,13),-0.190468 # DEPENDENCYPART_ARC
(12,15),0.486329 # DEPENDENCYPART_ARC
(12,19),-0.442593 # DEPENDENCYPART_ARC
(13,15),-1.92766 # DEPENDENCYPART_ARC
(13,18),-3.67511 # DEPENDENCYPART_ARC
(15,2),-1.7496 # DEPENDENCYPART_ARC
(15,3),-2.05437 # DEPENDENCYPART_ARC
(15,4),-1.72993 # DEPENDENCYPART_ARC
(15,6),-1.62455 # DEPENDENCYPART_ARC
(15,7),-1.55723 # DEPENDENCYPART_ARC
(15,8),-1.7752 # DEPENDENCYPART_ARC
(15,9),-0.923319 # DEPENDENCYPART_ARC
(15,10),2.28911 # DEPENDENCYPART_ARC
(15,11),-1.03264 # DEPENDENCYPART_ARC
(15,12),0.33341 # DEPENDENCYPART_ARC
(15,13),3.7316 # DEPENDENCYPART_ARC
(15,14),3.92182 # DEPENDENCYPART_ARC
(15,17),2.12512 # DEPENDENCYPART_ARC
(15,18),-0.1242 # DEPENDENCYPART_ARC
(15,19),2.4069 # DEPENDENCYPART_ARC
(17,16),3.27057 # DEPENDENCYPART_ARC
(17,18),2.64466 # DEPENDENCYPART_ARC
(17,19),0.82818 # DEPENDENCYPART_ARC
(18,9),-2.0974 # DEPENDENCYPART_ARC
(18,12),-0.835327 # DEPENDENCYPART_ARC
(18,16),-0.217702 # DEPENDENCYPART_ARC
(18,19),-0.888146 # DEPENDENCYPART_ARC
