# _root_ He de reconèixer que és difícil , amb un nacionalisme espanyol tan excloent com el que està fent el PP , mantenir aquesta política de pactes perquè de_vegades fan trontollar .
#goldHeads=3,3,0,5,3,5,8,5,10,8,10,13,10,18,18,18,18,13,20,18,8,5,24,22,24,25,29,29,5,29,3,
#predictedHeads=3,3,0,5,3,5,8,18,10,8,10,13,10,18,18,18,18,3,20,18,18,18,24,22,24,25,30,30,30,22,3,
(0,1),-3.31981 # DEPENDENCYPART_ARC
(0,2),-7.33577 # DEPENDENCYPART_ARC
(0,3),-4.4034 # DEPENDENCYPART_ARC
(0,5),-4.59441 # DEPENDENCYPART_ARC
(0,22),-8.09713 # DEPENDENCYPART_ARC
(1,2),0.118865 # DEPENDENCYPART_ARC
(1,3),-0.535096 # DEPENDENCYPART_ARC
(1,4),-1.13716 # DEPENDENCYPART_ARC
(1,5),0.349275 # DEPENDENCYPART_ARC
(1,6),-1.90763 # DEPENDENCYPART_ARC
(1,7),-1.04819 # DEPENDENCYPART_ARC
(1,8),-2.07193 # DEPENDENCYPART_ARC
(1,18),-2.522 # DEPENDENCYPART_ARC
(1,21),-0.943112 # DEPENDENCYPART_ARC
(1,31),3.3832 # DEPENDENCYPART_ARC
(2,3),2.90063 # DEPENDENCYPART_ARC
(2,4),-0.736283 # DEPENDENCYPART_ARC
(2,5),-0.629608 # DEPENDENCYPART_ARC
(2,6),-0.145594 # DEPENDENCYPART_ARC
(2,7),-0.0239328 # DEPENDENCYPART_ARC
(2,8),-1.36689 # DEPENDENCYPART_ARC
(3,1),3.56736 # DEPENDENCYPART_ARC
(3,2),3.96044 # DEPENDENCYPART_ARC
(3,4),2.2999 # DEPENDENCYPART_ARC
(3,5),3.21683 # DEPENDENCYPART_ARC
(3,6),0.203834 # DEPENDENCYPART_ARC
(3,7),0.603056 # DEPENDENCYPART_ARC
(3,8),0.158988 # DEPENDENCYPART_ARC
(3,10),-0.947108 # DEPENDENCYPART_ARC
(3,11),-1.38258 # DEPENDENCYPART_ARC
(3,13),-1.10883 # DEPENDENCYPART_ARC
(3,14),-1.60053 # DEPENDENCYPART_ARC
(3,17),0.503335 # DEPENDENCYPART_ARC
(3,18),0.607587 # DEPENDENCYPART_ARC
