# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,8,16,16,3,16,17,18,19,3,
(0,1),-6.90473 # DEPENDENCYPART_ARC
(0,2),-3.5597 # DEPENDENCYPART_ARC
(0,3),-4.80706 # DEPENDENCYPART_ARC
(0,16),-6.87876 # DEPENDENCYPART_ARC
(1,2),0.444795 # DEPENDENCYPART_ARC
(1,3),-1.0363 # DEPENDENCYPART_ARC
(1,6),-1.05893 # DEPENDENCYPART_ARC
(1,7),-1.27301 # DEPENDENCYPART_ARC
(1,9),-2.59639 # DEPENDENCYPART_ARC
(2,1),1.06163 # DEPENDENCYPART_ARC
(2,3),1.74725 # DEPENDENCYPART_ARC
(2,6),-0.155398 # DEPENDENCYPART_ARC
(2,7),-0.957642 # DEPENDENCYPART_ARC
(2,8),-0.505373 # DEPENDENCYPART_ARC
(2,9),-3.28677 # DEPENDENCYPART_ARC
(2,10),-1.25513 # DEPENDENCYPART_ARC
(2,11),-1.9139 # DEPENDENCYPART_ARC
(2,13),-0.663151 # DEPENDENCYPART_ARC
(2,15),-3.00105 # DEPENDENCYPART_ARC
(2,16),-1.17344 # DEPENDENCYPART_ARC
(2,19),-3.01038 # DEPENDENCYPART_ARC
(2,20),-2.68614 # DEPENDENCYPART_ARC
(2,21),1.95235 # DEPENDENCYPART_ARC
(3,1),3.2272 # DEPENDENCYPART_ARC
(3,2),5.42807 # DEPENDENCYPART_ARC
(3,6),2.27762 # DEPENDENCYPART_ARC
(3,7),0.60337 # DEPENDENCYPART_ARC
(3,8),1.79197 # DEPENDENCYPART_ARC
(3,9),-0.310375 # DEPENDENCYPART_ARC
(3,10),0.476552 # DEPENDENCYPART_ARC
(3,11),-0.323248 # DEPENDENCYPART_ARC
(3,12),-0.00669177 # DEPENDENCYPART_ARC
(3,13),0.736997 # DEPENDENCYPART_ARC
(3,15),-1.17917 # DEPENDENCYPART_ARC
(3,16),1.94677 # DEPENDENCYPART_ARC
(3,19),-0.285082 # DEPENDENCYPART_ARC
(3,20),-0.867087 # DEPENDENCYPART_ARC
(3,21),5.39353 # DEPENDENCYPART_ARC
(4,6),0.349688 # DEPENDENCYPART_ARC
(4,8),-0.727639 # DEPENDENCYPART_ARC
(5,4),3.96646 # DEPENDENCYPART_ARC
(5,6),-0.457112 # DEPENDENCYPART_ARC
(6,1),-0.608795 # DEPENDENCYPART_ARC
(6,2),-0.990345 # DEPENDENCYPART_ARC
(6,3),-0.953397 # DEPENDENCYPART_ARC
(6,4),2.16515 # DEPENDENCYPART_ARC
(6,5),2.60903 # DEPENDENCYPART_ARC
(6,7),0.520911 # DEPENDENCYPART_ARC
(6,8),0.305435 # DEPENDENCYPART_ARC
(6,9),-0.825857 # DEPENDENCYPART_ARC
(6,10),-0.339959 # DEPENDENCYPART_ARC
(6,11),-0.869081 # DEPENDENCYPART_ARC
(6,12),-0.142672 # DEPENDENCYPART_ARC
(6,13),-0.805402 # DEPENDENCYPART_ARC
(6,16),0.950866 # DEPENDENCYPART_ARC
(6,19),-2.1615 # DEPENDENCYPART_ARC
(6,20),-1.51479 # DEPENDENCYPART_ARC
(6,21),1.22497 # DEPENDENCYPART_ARC
(7,6),-1.79233 # DEPENDENCYPART_ARC
(8,3),-2.01141 # DEPENDENCYPART_ARC
(8,4),-1.66814 # DEPENDENCYPART_ARC
(8,5),-1.35575 # DEPENDENCYPART_ARC
(8,6),-1.65052 # DEPENDENCYPART_ARC
(8,7),1.88676 # DEPENDENCYPART_ARC
(8,9),1.67005 # DEPENDENCYPART_ARC
(8,10),1.77406 # DEPENDENCYPART_ARC
(8,11),1.6048 # DEPENDENCYPART_ARC
(8,12),1.85995 # DEPENDENCYPART_ARC
(8,13),2.36665 # DEPENDENCYPART_ARC
(8,15),-1.71052 # DEPENDENCYPART_ARC
(8,16),-0.300827 # DEPENDENCYPART_ARC
(8,17),-1.34727 # DEPENDENCYPART_ARC
(8,20),-1.40556 # DEPENDENCYPART_ARC
(8,21),1.61785 # DEPENDENCYPART_ARC
(9,5),-3.43508 # DEPENDENCYPART_ARC
(9,6),-3.61905 # DEPENDENCYPART_ARC
(9,7),-0.120676 # DEPENDENCYPART_ARC
(9,8),0.121115 # DEPENDENCYPART_ARC
(9,10),1.58317 # DEPENDENCYPART_ARC
(9,11),0.712438 # DEPENDENCYPART_ARC
(9,12),0.292154 # DEPENDENCYPART_ARC
(9,13),0.623322 # DEPENDENCYPART_ARC
(9,16),0.1473 # DEPENDENCYPART_ARC
(9,17),-2.00624 # DEPENDENCYPART_ARC
(9,19),-0.362749 # DEPENDENCYPART_ARC
(9,20),-0.801622 # DEPENDENCYPART_ARC
(11,5),-2.0094 # DEPENDENCYPART_ARC
(11,7),-0.153675 # DEPENDENCYPART_ARC
(11,8),-0.386806 # DEPENDENCYPART_ARC
(11,9),-0.394872 # DEPENDENCYPART_ARC
(11,10),0.342999 # DEPENDENCYPART_ARC
(11,12),4.48803 # DEPENDENCYPART_ARC
(11,13),0.684201 # DEPENDENCYPART_ARC
(11,15),-1.76118 # DEPENDENCYPART_ARC
(11,16),-0.14017 # DEPENDENCYPART_ARC
(11,17),-1.2532 # DEPENDENCYPART_ARC
(12,7),-2.45036 # DEPENDENCYPART_ARC
(12,8),-1.83866 # DEPENDENCYPART_ARC
(12,9),-1.4737 # DEPENDENCYPART_ARC
(12,10),-1.37282 # DEPENDENCYPART_ARC
(12,11),-0.523526 # DEPENDENCYPART_ARC
(12,13),-0.652324 # DEPENDENCYPART_ARC
(12,16),1.37857 # DEPENDENCYPART_ARC
(12,17),-0.742982 # DEPENDENCYPART_ARC
(12,19),0.738215 # DEPENDENCYPART_ARC
(12,20),-1.36871 # DEPENDENCYPART_ARC
(12,21),-0.186319 # DEPENDENCYPART_ARC
(14,17),-0.735378 # DEPENDENCYPART_ARC
(14,19),-0.299209 # DEPENDENCYPART_ARC
(15,13),-1.32504 # DEPENDENCYPART_ARC
(15,17),-1.5447 # DEPENDENCYPART_ARC
(16,1),-1.54092 # DEPENDENCYPART_ARC
(16,2),-0.0565085 # DEPENDENCYPART_ARC
(16,3),-2.00569 # DEPENDENCYPART_ARC
(16,5),-1.47472 # DEPENDENCYPART_ARC
(16,6),-0.153057 # DEPENDENCYPART_ARC
(16,7),-1.43839 # DEPENDENCYPART_ARC
(16,8),0.212268 # DEPENDENCYPART_ARC
(16,9),-1.93731 # DEPENDENCYPART_ARC
(16,10),-0.977534 # DEPENDENCYPART_ARC
(16,11),0.899953 # DEPENDENCYPART_ARC
(16,12),-0.654355 # DEPENDENCYPART_ARC
(16,13),1.91483 # DEPENDENCYPART_ARC
(16,14),4.39313 # DEPENDENCYPART_ARC
(16,15),3.61639 # DEPENDENCYPART_ARC
(16,17),2.34381 # DEPENDENCYPART_ARC
(16,18),1.98282 # DEPENDENCYPART_ARC
(16,19),-0.00214156 # DEPENDENCYPART_ARC
