# _root_ Xavier_Vendrell va néixer a Sant_Joan_Despí -Fpa- Baix_Llobregat -Fpt- , on resideix , el 15_d'_octubre_de_1966 .
#goldHeads=3,3,0,3,4,7,5,7,11,11,5,11,14,3,3,
#predictedHeads=3,3,0,3,4,7,5,7,11,11,5,14,14,11,3,
(0,1),-6.65954 # DEPENDENCYPART_ARC
(0,2),-3.11766 # DEPENDENCYPART_ARC
(0,3),-3.44726 # DEPENDENCYPART_ARC
(0,11),-2.36293 # DEPENDENCYPART_ARC
(1,2),0.12843 # DEPENDENCYPART_ARC
(1,3),-0.855001 # DEPENDENCYPART_ARC
(1,7),-1.34643 # DEPENDENCYPART_ARC
(1,8),-0.632679 # DEPENDENCYPART_ARC
(1,9),-1.11282 # DEPENDENCYPART_ARC
(1,11),-2.0622 # DEPENDENCYPART_ARC
(1,12),-0.974108 # DEPENDENCYPART_ARC
(1,14),-2.03234 # DEPENDENCYPART_ARC
(1,15),0.480405 # DEPENDENCYPART_ARC
(2,1),-0.548632 # DEPENDENCYPART_ARC
(2,3),-0.329102 # DEPENDENCYPART_ARC
(2,4),0.501056 # DEPENDENCYPART_ARC
(2,8),-1.04376 # DEPENDENCYPART_ARC
(2,9),-1.30139 # DEPENDENCYPART_ARC
(2,11),-2.46293 # DEPENDENCYPART_ARC
(2,12),-2.40496 # DEPENDENCYPART_ARC
(2,15),-0.0609949 # DEPENDENCYPART_ARC
(3,1),2.03269 # DEPENDENCYPART_ARC
(3,2),5.18226 # DEPENDENCYPART_ARC
(3,4),3.88619 # DEPENDENCYPART_ARC
(3,5),1.70781 # DEPENDENCYPART_ARC
(3,6),0.378226 # DEPENDENCYPART_ARC
(3,7),0.169111 # DEPENDENCYPART_ARC
(3,8),0.941027 # DEPENDENCYPART_ARC
(3,9),0.414075 # DEPENDENCYPART_ARC
(3,11),-0.0828953 # DEPENDENCYPART_ARC
(3,12),-0.91507 # DEPENDENCYPART_ARC
(3,14),5.81109e-05 # DEPENDENCYPART_ARC
(3,15),2.28307 # DEPENDENCYPART_ARC
(4,3),-0.27981 # DEPENDENCYPART_ARC
(4,5),4.5604 # DEPENDENCYPART_ARC
(4,6),-0.321564 # DEPENDENCYPART_ARC
(4,7),-0.347885 # DEPENDENCYPART_ARC
(4,8),-0.399616 # DEPENDENCYPART_ARC
(4,9),-0.196761 # DEPENDENCYPART_ARC
(4,11),-2.09333 # DEPENDENCYPART_ARC
(4,12),-1.0799 # DEPENDENCYPART_ARC
(5,6),1.6733 # DEPENDENCYPART_ARC
(5,7),2.10216 # DEPENDENCYPART_ARC
(5,8),0.877659 # DEPENDENCYPART_ARC
(5,9),0.113394 # DEPENDENCYPART_ARC
(5,11),1.28078 # DEPENDENCYPART_ARC
(5,12),0.562019 # DEPENDENCYPART_ARC
(5,14),-1.85217 # DEPENDENCYPART_ARC
(5,15),0.37076 # DEPENDENCYPART_ARC
(6,8),-1.30486 # DEPENDENCYPART_ARC
(6,14),-2.14149 # DEPENDENCYPART_ARC
(6,15),-1.39086 # DEPENDENCYPART_ARC
(7,3),-1.32649 # DEPENDENCYPART_ARC
(7,4),0.193498 # DEPENDENCYPART_ARC
(7,6),4.27618 # DEPENDENCYPART_ARC
(7,8),3.20623 # DEPENDENCYPART_ARC
(7,9),-0.0376572 # DEPENDENCYPART_ARC
(7,11),0.592579 # DEPENDENCYPART_ARC
(7,12),-0.781831 # DEPENDENCYPART_ARC
(7,14),-2.06903 # DEPENDENCYPART_ARC
(7,15),0.042122 # DEPENDENCYPART_ARC
(8,14),-1.37406 # DEPENDENCYPART_ARC
(8,15),-0.648752 # DEPENDENCYPART_ARC
(11,1),-0.795298 # DEPENDENCYPART_ARC
(11,2),0.672728 # DEPENDENCYPART_ARC
(11,3),-1.07213 # DEPENDENCYPART_ARC
(11,4),-0.156767 # DEPENDENCYPART_ARC
(11,6),0.182194 # DEPENDENCYPART_ARC
(11,7),-0.860878 # DEPENDENCYPART_ARC
(11,8),-0.589429 # DEPENDENCYPART_ARC
(11,9),1.41933 # DEPENDENCYPART_ARC
(11,10),4.24391 # DEPENDENCYPART_ARC
(11,12),1.02218 # DEPENDENCYPART_ARC
(11,14),0.928959 # DEPENDENCYPART_ARC
(11,15),2.14246 # DEPENDENCYPART_ARC
(12,9),-1.56374 # DEPENDENCYPART_ARC
(14,12),1.89915 # DEPENDENCYPART_ARC
(14,13),3.24426 # DEPENDENCYPART_ARC
(14,15),0.398099 # DEPENDENCYPART_ARC
