# _root_ Aquesta primera edició de la Fira tindrà com_a escenari el municipi de l' Estany , però com en el cas de la Festa serà itinerant pels 10 municipis del Moianès , i se celebrarà sempre el primer cap de setmana de juny .
#goldHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,11,7,24,17,20,18,20,23,21,7,24,24,28,26,28,29,26,24,34,24,34,38,38,34,38,39,38,41,7,
#predictedHeads=3,3,7,3,6,4,0,7,8,11,7,11,14,12,7,7,24,24,20,18,20,23,21,7,24,25,28,26,28,29,7,7,34,24,34,38,38,34,38,39,38,41,7,
(0,3),-7.73661 # DEPENDENCYPART_ARC
(0,7),-2.75212 # DEPENDENCYPART_ARC
(0,24),-4.24981 # DEPENDENCYPART_ARC
(1,2),0.00055091 # DEPENDENCYPART_ARC
(2,1),0.749743 # DEPENDENCYPART_ARC
(2,4),-1.33571 # DEPENDENCYPART_ARC
(3,1),3.46439 # DEPENDENCYPART_ARC
(3,2),4.69827 # DEPENDENCYPART_ARC
(3,4),3.14047 # DEPENDENCYPART_ARC
(3,6),0.618386 # DEPENDENCYPART_ARC
(3,7),1.12503 # DEPENDENCYPART_ARC
(3,8),-0.137006 # DEPENDENCYPART_ARC
(3,11),-0.431347 # DEPENDENCYPART_ARC
(3,12),-0.414577 # DEPENDENCYPART_ARC
(3,14),-0.61122 # DEPENDENCYPART_ARC
(3,15),0.106048 # DEPENDENCYPART_ARC
(3,16),-0.769965 # DEPENDENCYPART_ARC
(3,28),-2.01189 # DEPENDENCYPART_ARC
(3,38),-3.03328 # DEPENDENCYPART_ARC
(3,43),1.87268 # DEPENDENCYPART_ARC
(4,3),-0.598576 # DEPENDENCYPART_ARC
(4,5),-1.59519 # DEPENDENCYPART_ARC
(4,6),4.12941 # DEPENDENCYPART_ARC
(4,7),-1.41842 # DEPENDENCYPART_ARC
(4,8),-1.67395 # DEPENDENCYPART_ARC
(4,11),-2.82776 # DEPENDENCYPART_ARC
(4,17),-0.204496 # DEPENDENCYPART_ARC
(4,18),-2.66707 # DEPENDENCYPART_ARC
(5,3),-0.963816 # DEPENDENCYPART_ARC
(5,4),-0.0566695 # DEPENDENCYPART_ARC
(5,6),0.475952 # DEPENDENCYPART_ARC
(6,4),0.217466 # DEPENDENCYPART_ARC
(6,5),2.87816 # DEPENDENCYPART_ARC
(6,7),-0.541523 # DEPENDENCYPART_ARC
(6,8),-2.4997 # DEPENDENCYPART_ARC
(6,11),-2.22983 # DEPENDENCYPART_ARC
(6,12),-1.45127 # DEPENDENCYPART_ARC
(7,2),0.128908 # DEPENDENCYPART_ARC
(7,3),1.3046 # DEPENDENCYPART_ARC
(7,4),0.0681875 # DEPENDENCYPART_ARC
(7,5),-0.259975 # DEPENDENCYPART_ARC
(7,6),2.34264 # DEPENDENCYPART_ARC
(7,8),3.7552 # DEPENDENCYPART_ARC
(7,9),2.00826 # DEPENDENCYPART_ARC
(7,11),1.66436 # DEPENDENCYPART_ARC
(7,12),0.61203 # DEPENDENCYPART_ARC
(7,14),0.826024 # DEPENDENCYPART_ARC
(7,15),1.45378 # DEPENDENCYPART_ARC
(7,16),2.89001 # DEPENDENCYPART_ARC
(7,17),-0.00683219 # DEPENDENCYPART_ARC
(7,18),-0.950344 # DEPENDENCYPART_ARC
(7,24),2.78855 # DEPENDENCYPART_ARC
(7,25),-0.853885 # DEPENDENCYPART_ARC
(7,26),-0.558376 # DEPENDENCYPART_ARC
(7,27),0.0497943 # DEPENDENCYPART_ARC
(7,28),-1.75386 # DEPENDENCYPART_ARC
