# _root_ Que no critiquin tant els altres , no fos que s' enganxin els dits , i que siguin una_mica més constructius .
#goldHeads=3,3,0,3,6,3,9,9,3,12,12,9,14,12,9,3,18,3,21,19,18,3,
#predictedHeads=3,3,0,3,6,9,9,9,3,12,12,9,14,12,12,12,18,9,21,21,18,3,
(0,1),-5.62277 # DEPENDENCYPART_ARC
(0,3),-5.86405 # DEPENDENCYPART_ARC
(0,4),-7.50498 # DEPENDENCYPART_ARC
(0,6),-7.57127 # DEPENDENCYPART_ARC
(0,9),-6.02026 # DEPENDENCYPART_ARC
(0,12),-7.82522 # DEPENDENCYPART_ARC
(0,18),-9.9224 # DEPENDENCYPART_ARC
(1,3),-0.434533 # DEPENDENCYPART_ARC
(1,7),-0.713009 # DEPENDENCYPART_ARC
(1,9),-1.9765 # DEPENDENCYPART_ARC
(1,16),-0.951283 # DEPENDENCYPART_ARC
(2,1),0.158031 # DEPENDENCYPART_ARC
(3,1),4.13419 # DEPENDENCYPART_ARC
(3,2),3.37398 # DEPENDENCYPART_ARC
(3,4),1.5085 # DEPENDENCYPART_ARC
(3,6),0.329408 # DEPENDENCYPART_ARC
(3,7),0.757738 # DEPENDENCYPART_ARC
(3,8),-0.619664 # DEPENDENCYPART_ARC
(3,9),1.16718 # DEPENDENCYPART_ARC
(3,10),-1.21101 # DEPENDENCYPART_ARC
(3,12),1.21861 # DEPENDENCYPART_ARC
(3,14),-0.741927 # DEPENDENCYPART_ARC
(3,15),0.423527 # DEPENDENCYPART_ARC
(3,16),1.51988 # DEPENDENCYPART_ARC
(3,17),-1.72468 # DEPENDENCYPART_ARC
(3,18),0.625073 # DEPENDENCYPART_ARC
(3,19),-2.74752 # DEPENDENCYPART_ARC
(3,21),-0.324616 # DEPENDENCYPART_ARC
(3,22),5.72988 # DEPENDENCYPART_ARC
(4,2),-1.67659 # DEPENDENCYPART_ARC
(4,3),-0.400933 # DEPENDENCYPART_ARC
(4,6),-0.290782 # DEPENDENCYPART_ARC
(4,7),-0.213411 # DEPENDENCYPART_ARC
(4,9),-0.464645 # DEPENDENCYPART_ARC
(4,12),-0.899109 # DEPENDENCYPART_ARC
(5,4),0.462948 # DEPENDENCYPART_ARC
(5,6),1.71062 # DEPENDENCYPART_ARC
(6,3),0.571194 # DEPENDENCYPART_ARC
(6,4),0.934 # DEPENDENCYPART_ARC
