# _root_ La velocitat màxima calculada és d' entre 30 i 60 quilòmetres per hora , de_forma_que el trajecte entre la frontera i Escaldes-Engordany podria fer -se entre 22 i 29 minuts , incloent -hi la durada de les parades .
#goldHeads=2,5,2,2,0,5,8,11,8,8,6,11,12,24,24,17,24,17,20,18,20,20,24,5,24,24,30,27,27,26,32,24,32,35,32,35,38,36,5,
#predictedHeads=2,5,2,2,0,5,8,11,8,8,6,11,12,5,24,17,24,17,20,18,20,20,24,5,24,27,30,27,27,24,32,24,32,35,32,35,38,36,5,
(0,2),-7.31097 # DEPENDENCYPART_ARC
(0,5),-2.03412 # DEPENDENCYPART_ARC
(0,8),-7.95975 # DEPENDENCYPART_ARC
(0,23),-5.82004 # DEPENDENCYPART_ARC
(0,24),-6.34305 # DEPENDENCYPART_ARC
(1,2),0.222002 # DEPENDENCYPART_ARC
(2,1),3.82468 # DEPENDENCYPART_ARC
(2,3),4.17241 # DEPENDENCYPART_ARC
(2,4),3.68972 # DEPENDENCYPART_ARC
(2,5),1.36858 # DEPENDENCYPART_ARC
(2,6),0.00576973 # DEPENDENCYPART_ARC
(2,7),-0.808862 # DEPENDENCYPART_ARC
(2,8),-1.14511 # DEPENDENCYPART_ARC
(2,9),-0.472107 # DEPENDENCYPART_ARC
(2,10),-1.4236 # DEPENDENCYPART_ARC
(2,11),-0.857998 # DEPENDENCYPART_ARC
(2,12),0.0863338 # DEPENDENCYPART_ARC
(2,15),-0.679716 # DEPENDENCYPART_ARC
(2,17),-1.75332 # DEPENDENCYPART_ARC
(2,18),-0.758949 # DEPENDENCYPART_ARC
(3,1),0.0676187 # DEPENDENCYPART_ARC
(3,4),1.22991 # DEPENDENCYPART_ARC
(3,6),-2.29657 # DEPENDENCYPART_ARC
(3,7),-2.29049 # DEPENDENCYPART_ARC
(3,9),-0.791785 # DEPENDENCYPART_ARC
(3,12),-1.72618 # DEPENDENCYPART_ARC
(4,1),-0.7204 # DEPENDENCYPART_ARC
(4,2),-0.617163 # DEPENDENCYPART_ARC
(4,3),-0.918201 # DEPENDENCYPART_ARC
(4,5),-0.274273 # DEPENDENCYPART_ARC
(4,6),-0.781334 # DEPENDENCYPART_ARC
(4,7),-1.21507 # DEPENDENCYPART_ARC
(4,9),-1.4108 # DEPENDENCYPART_ARC
(4,11),-1.87999 # DEPENDENCYPART_ARC
(5,1),-1.52422 # DEPENDENCYPART_ARC
(5,2),2.10633 # DEPENDENCYPART_ARC
(5,3),0.0750427 # DEPENDENCYPART_ARC
(5,4),1.51444 # DEPENDENCYPART_ARC
(5,6),2.11017 # DEPENDENCYPART_ARC
(5,7),0.874461 # DEPENDENCYPART_ARC
(5,8),0.215323 # DEPENDENCYPART_ARC
(5,9),2.16624 # DEPENDENCYPART_ARC
(5,10),0.448754 # DEPENDENCYPART_ARC
(5,11),0.352737 # DEPENDENCYPART_ARC
(5,12),1.42586 # DEPENDENCYPART_ARC
(5,13),-0.284773 # DEPENDENCYPART_ARC
(5,14),1.5702 # DEPENDENCYPART_ARC
(5,15),0.962401 # DEPENDENCYPART_ARC
(5,17),-0.87602 # DEPENDENCYPART_ARC
(5,18),-0.504645 # DEPENDENCYPART_ARC
(5,20),-0.940936 # DEPENDENCYPART_ARC
(5,21),1.65168 # DEPENDENCYPART_ARC
(5,23),2.10742 # DEPENDENCYPART_ARC
(5,24),0.466476 # DEPENDENCYPART_ARC
(5,27),-0.776471 # DEPENDENCYPART_ARC
(5,28),1.31227 # DEPENDENCYPART_ARC
(5,29),-0.444383 # DEPENDENCYPART_ARC
(5,31),0.948016 # DEPENDENCYPART_ARC
(5,32),1.08361 # DEPENDENCYPART_ARC
(5,39),12.0318 # DEPENDENCYPART_ARC
(6,4),-1.84503 # DEPENDENCYPART_ARC
(6,5),-0.109623 # DEPENDENCYPART_ARC
(6,7),1.753 # DEPENDENCYPART_ARC
(6,8),1.08743 # DEPENDENCYPART_ARC
(6,9),0.269693 # DEPENDENCYPART_ARC
(6,10),-0.442388 # DEPENDENCYPART_ARC
(6,11),1.86279 # DEPENDENCYPART_ARC
(6,12),-0.581194 # DEPENDENCYPART_ARC
(6,14),0.192427 # DEPENDENCYPART_ARC
(6,15),-0.714968 # DEPENDENCYPART_ARC
(6,18),-1.20225 # DEPENDENCYPART_ARC
(7,5),0.241991 # DEPENDENCYPART_ARC
(7,6),0.717492 # DEPENDENCYPART_ARC
(7,8),0.940731 # DEPENDENCYPART_ARC
(7,9),0.528851 # DEPENDENCYPART_ARC
(7,10),-0.792884 # DEPENDENCYPART_ARC
(7,11),0.741545 # DEPENDENCYPART_ARC
(7,12),-0.49887 # DEPENDENCYPART_ARC
(7,14),0.24483 # DEPENDENCYPART_ARC
(8,6),1.05239 # DEPENDENCYPART_ARC
(8,7),2.94696 # DEPENDENCYPART_ARC
(8,9),3.28849 # DEPENDENCYPART_ARC
(8,10),3.54773 # DEPENDENCYPART_ARC
(8,11),1.26796 # DEPENDENCYPART_ARC
(8,12),1.18532 # DEPENDENCYPART_ARC
(8,13),0.74805 # DEPENDENCYPART_ARC
(8,14),0.511292 # DEPENDENCYPART_ARC
(8,17),0.269983 # DEPENDENCYPART_ARC
(8,20),0.118415 # DEPENDENCYPART_ARC
(8,21),0.316014 # DEPENDENCYPART_ARC
(8,22),0.105919 # DEPENDENCYPART_ARC
(8,27),-0.818855 # DEPENDENCYPART_ARC
(8,28),0.652418 # DEPENDENCYPART_ARC
(8,29),0.792032 # DEPENDENCYPART_ARC
(8,31),-0.521253 # DEPENDENCYPART_ARC
(10,6),-0.25929 # DEPENDENCYPART_ARC
(10,7),0.459041 # DEPENDENCYPART_ARC
(10,8),0.407883 # DEPENDENCYPART_ARC
(10,11),0.462528 # DEPENDENCYPART_ARC
(10,12),-0.457036 # DEPENDENCYPART_ARC
(10,17),-1.37633 # DEPENDENCYPART_ARC
(11,2),-2.32205 # DEPENDENCYPART_ARC
(11,4),-2.72131 # DEPENDENCYPART_ARC
(11,5),0.748582 # DEPENDENCYPART_ARC
(11,6),0.539384 # DEPENDENCYPART_ARC
(11,7),1.0628 # DEPENDENCYPART_ARC
(11,8),2.13875 # DEPENDENCYPART_ARC
(11,9),0.383226 # DEPENDENCYPART_ARC
(11,10),2.20632 # DEPENDENCYPART_ARC
(11,12),2.18472 # DEPENDENCYPART_ARC
(11,13),0.165357 # DEPENDENCYPART_ARC
(11,14),0.347737 # DEPENDENCYPART_ARC
(11,15),0.502957 # DEPENDENCYPART_ARC
(11,17),-0.778033 # DEPENDENCYPART_ARC
(11,18),0.0189076 # DEPENDENCYPART_ARC
(11,20),-1.11603 # DEPENDENCYPART_ARC
(11,21),0.617741 # DEPENDENCYPART_ARC
(11,22),-0.493555 # DEPENDENCYPART_ARC
(11,23),-2.525 # DEPENDENCYPART_ARC
(11,24),-2.86106 # DEPENDENCYPART_ARC
(11,27),-1.96541 # DEPENDENCYPART_ARC
(11,29),-1.8056 # DEPENDENCYPART_ARC
(11,30),-2.05094 # DEPENDENCYPART_ARC
(12,9),-0.430453 # DEPENDENCYPART_ARC
(12,10),-0.236755 # DEPENDENCYPART_ARC
(12,11),0.397712 # DEPENDENCYPART_ARC
(12,13),3.99768 # DEPENDENCYPART_ARC
(12,14),0.856345 # DEPENDENCYPART_ARC
(12,15),-0.128871 # DEPENDENCYPART_ARC
(13,8),-1.12999 # DEPENDENCYPART_ARC
(13,10),-2.12497 # DEPENDENCYPART_ARC
(13,14),-0.317234 # DEPENDENCYPART_ARC
(13,15),-0.0622888 # DEPENDENCYPART_ARC
(13,17),-1.62376 # DEPENDENCYPART_ARC
(13,18),-0.63074 # DEPENDENCYPART_ARC
(13,20),-0.932818 # DEPENDENCYPART_ARC
(13,21),1.46522 # DEPENDENCYPART_ARC
(13,22),-0.292831 # DEPENDENCYPART_ARC
(15,14),0.773546 # DEPENDENCYPART_ARC
(15,17),-0.277065 # DEPENDENCYPART_ARC
(15,18),-0.600567 # DEPENDENCYPART_ARC
(15,28),-0.284131 # DEPENDENCYPART_ARC
(16,18),-0.375338 # DEPENDENCYPART_ARC
(16,19),-1.10263 # DEPENDENCYPART_ARC
(17,5),-1.19978 # DEPENDENCYPART_ARC
(17,6),-0.430509 # DEPENDENCYPART_ARC
(17,7),-0.695113 # DEPENDENCYPART_ARC
(17,12),-0.764211 # DEPENDENCYPART_ARC
(17,14),-0.149787 # DEPENDENCYPART_ARC
(17,15),0.0991322 # DEPENDENCYPART_ARC
(17,16),3.18359 # DEPENDENCYPART_ARC
(17,18),1.45175 # DEPENDENCYPART_ARC
(17,20),0.473973 # DEPENDENCYPART_ARC
(17,21),1.01229 # DEPENDENCYPART_ARC
(17,22),0.572713 # DEPENDENCYPART_ARC
(17,23),-1.23618 # DEPENDENCYPART_ARC
(17,24),-1.57577 # DEPENDENCYPART_ARC
(17,26),-0.717425 # DEPENDENCYPART_ARC
(17,30),-1.99812 # DEPENDENCYPART_ARC
(17,35),-2.11575 # DEPENDENCYPART_ARC
(18,16),-1.27037 # DEPENDENCYPART_ARC
(18,19),-1.71969 # DEPENDENCYPART_ARC
(18,20),3.56673 # DEPENDENCYPART_ARC
(18,21),0.270022 # DEPENDENCYPART_ARC
(18,22),-0.205672 # DEPENDENCYPART_ARC
(18,23),-1.80803 # DEPENDENCYPART_ARC
(18,24),-2.13656 # DEPENDENCYPART_ARC
(18,26),-1.39264 # DEPENDENCYPART_ARC
(18,28),-0.663422 # DEPENDENCYPART_ARC
(19,20),1.27442 # DEPENDENCYPART_ARC
(19,21),-0.228492 # DEPENDENCYPART_ARC
(20,16),-1.62694 # DEPENDENCYPART_ARC
(20,19),3.31344 # DEPENDENCYPART_ARC
(20,21),3.15786 # DEPENDENCYPART_ARC
(20,22),2.63627 # DEPENDENCYPART_ARC
(20,23),0.87353 # DEPENDENCYPART_ARC
(20,24),-0.444726 # DEPENDENCYPART_ARC
(20,26),0.266653 # DEPENDENCYPART_ARC
(20,27),-1.21322 # DEPENDENCYPART_ARC
(20,29),-1.48159 # DEPENDENCYPART_ARC
(20,30),-0.902431 # DEPENDENCYPART_ARC
(20,32),-1.87664 # DEPENDENCYPART_ARC
(20,35),-0.868838 # DEPENDENCYPART_ARC
(20,36),-1.01204 # DEPENDENCYPART_ARC
(21,22),-0.504795 # DEPENDENCYPART_ARC
(22,19),0.381755 # DEPENDENCYPART_ARC
(22,23),-1.08113 # DEPENDENCYPART_ARC
(23,2),-3.42988 # DEPENDENCYPART_ARC
(23,4),-2.64355 # DEPENDENCYPART_ARC
(23,5),-3.70522 # DEPENDENCYPART_ARC
(23,11),-3.05381 # DEPENDENCYPART_ARC
(23,15),-0.6954 # DEPENDENCYPART_ARC
(23,17),-0.781777 # DEPENDENCYPART_ARC
(23,18),-1.8347 # DEPENDENCYPART_ARC
(23,20),-0.241714 # DEPENDENCYPART_ARC
(23,21),-1.37646 # DEPENDENCYPART_ARC
(23,22),-0.018699 # DEPENDENCYPART_ARC
(23,24),0.748589 # DEPENDENCYPART_ARC
(23,26),-1.41297 # DEPENDENCYPART_ARC
(23,27),-2.31079 # DEPENDENCYPART_ARC
(23,28),-0.547421 # DEPENDENCYPART_ARC
(23,29),-2.52499 # DEPENDENCYPART_ARC
(23,30),-1.98083 # DEPENDENCYPART_ARC
(23,31),-0.403374 # DEPENDENCYPART_ARC
(23,32),-0.573056 # DEPENDENCYPART_ARC
(23,35),-2.68211 # DEPENDENCYPART_ARC
(23,39),3.44036 # DEPENDENCYPART_ARC
(24,2),-1.07992 # DEPENDENCYPART_ARC
(24,4),-0.636514 # DEPENDENCYPART_ARC
(24,5),-2.02614 # DEPENDENCYPART_ARC
(24,9),-0.275666 # DEPENDENCYPART_ARC
(24,11),-0.780767 # DEPENDENCYPART_ARC
(24,12),-0.15177 # DEPENDENCYPART_ARC
(24,14),1.00763 # DEPENDENCYPART_ARC
(24,15),1.13032 # DEPENDENCYPART_ARC
(24,16),-1.44894 # DEPENDENCYPART_ARC
(24,17),0.791713 # DEPENDENCYPART_ARC
(24,18),0.228035 # DEPENDENCYPART_ARC
(24,19),-0.515761 # DEPENDENCYPART_ARC
(24,20),1.21762 # DEPENDENCYPART_ARC
(24,21),0.0981199 # DEPENDENCYPART_ARC
(24,22),1.7101 # DEPENDENCYPART_ARC
(24,23),3.7935 # DEPENDENCYPART_ARC
(24,25),2.05858 # DEPENDENCYPART_ARC
(24,26),1.82458 # DEPENDENCYPART_ARC
(24,27),-0.0407073 # DEPENDENCYPART_ARC
(24,28),0.842499 # DEPENDENCYPART_ARC
(24,29),-0.0140061 # DEPENDENCYPART_ARC
(24,30),0.803444 # DEPENDENCYPART_ARC
(24,31),0.835482 # DEPENDENCYPART_ARC
(24,32),1.42055 # DEPENDENCYPART_ARC
(24,33),0.615046 # DEPENDENCYPART_ARC
(24,35),-0.161095 # DEPENDENCYPART_ARC
(24,36),-0.385999 # DEPENDENCYPART_ARC
(24,39),4.22581 # DEPENDENCYPART_ARC
(26,24),-0.709271 # DEPENDENCYPART_ARC
(26,25),0.157862 # DEPENDENCYPART_ARC
(26,27),0.882821 # DEPENDENCYPART_ARC
(26,28),0.557591 # DEPENDENCYPART_ARC
(26,29),-0.832318 # DEPENDENCYPART_ARC
(26,30),0.463822 # DEPENDENCYPART_ARC
(26,31),0.584956 # DEPENDENCYPART_ARC
(26,32),-1.42362 # DEPENDENCYPART_ARC
(26,36),-2.17476 # DEPENDENCYPART_ARC
(27,6),-0.311759 # DEPENDENCYPART_ARC
(27,7),-0.0308276 # DEPENDENCYPART_ARC
(27,26),1.96971 # DEPENDENCYPART_ARC
(27,28),3.35739 # DEPENDENCYPART_ARC
(27,29),3.4444 # DEPENDENCYPART_ARC
(27,30),1.11835 # DEPENDENCYPART_ARC
(27,31),0.538482 # DEPENDENCYPART_ARC
(27,32),0.434855 # DEPENDENCYPART_ARC
(27,35),0.0670537 # DEPENDENCYPART_ARC
(27,36),0.495169 # DEPENDENCYPART_ARC
(27,38),-0.13214 # DEPENDENCYPART_ARC
(29,26),0.580939 # DEPENDENCYPART_ARC
(29,27),0.655615 # DEPENDENCYPART_ARC
(29,30),0.640478 # DEPENDENCYPART_ARC
(29,31),-1.51116 # DEPENDENCYPART_ARC
(29,32),-0.87486 # DEPENDENCYPART_ARC
(29,35),-1.62574 # DEPENDENCYPART_ARC
(30,23),0.300361 # DEPENDENCYPART_ARC
(30,24),-0.524825 # DEPENDENCYPART_ARC
(30,26),1.272 # DEPENDENCYPART_ARC
(30,27),3.07012 # DEPENDENCYPART_ARC
(30,28),0.908951 # DEPENDENCYPART_ARC
(30,29),2.35687 # DEPENDENCYPART_ARC
(30,31),0.142232 # DEPENDENCYPART_ARC
(30,32),-0.026767 # DEPENDENCYPART_ARC
(30,33),-2.89822 # DEPENDENCYPART_ARC
(30,35),-1.68858 # DEPENDENCYPART_ARC
(30,36),-0.576 # DEPENDENCYPART_ARC
(31,30),-1.78763 # DEPENDENCYPART_ARC
(32,2),-4.33061 # DEPENDENCYPART_ARC
(32,5),-3.56035 # DEPENDENCYPART_ARC
(32,15),-0.286321 # DEPENDENCYPART_ARC
(32,17),-1.68681 # DEPENDENCYPART_ARC
(32,20),-0.92915 # DEPENDENCYPART_ARC
(32,22),-0.475481 # DEPENDENCYPART_ARC
(32,23),-0.0946757 # DEPENDENCYPART_ARC
(32,24),-1.30082 # DEPENDENCYPART_ARC
(32,26),-0.184017 # DEPENDENCYPART_ARC
(32,27),-0.505613 # DEPENDENCYPART_ARC
(32,28),-0.11703 # DEPENDENCYPART_ARC
(32,29),0.152036 # DEPENDENCYPART_ARC
(32,30),0.292705 # DEPENDENCYPART_ARC
(32,31),2.13253 # DEPENDENCYPART_ARC
(32,33),3.6224 # DEPENDENCYPART_ARC
(32,35),2.09125 # DEPENDENCYPART_ARC
(32,36),1.16004 # DEPENDENCYPART_ARC
(32,38),1.62241 # DEPENDENCYPART_ARC
(32,39),2.79106 # DEPENDENCYPART_ARC
(33,31),-0.812431 # DEPENDENCYPART_ARC
(33,32),0.183933 # DEPENDENCYPART_ARC
(33,35),-0.708568 # DEPENDENCYPART_ARC
(33,36),-0.935421 # DEPENDENCYPART_ARC
(34,35),1.44105 # DEPENDENCYPART_ARC
(34,36),0.32103 # DEPENDENCYPART_ARC
(34,37),0.233242 # DEPENDENCYPART_ARC
(35,26),-0.997488 # DEPENDENCYPART_ARC
(35,32),-0.524594 # DEPENDENCYPART_ARC
(35,33),1.42851 # DEPENDENCYPART_ARC
(35,34),3.90456 # DEPENDENCYPART_ARC
(35,36),3.00966 # DEPENDENCYPART_ARC
(35,38),1.30479 # DEPENDENCYPART_ARC
(36,34),-0.584404 # DEPENDENCYPART_ARC
(36,38),4.88276 # DEPENDENCYPART_ARC
(38,33),-0.442738 # DEPENDENCYPART_ARC
(38,34),0.313088 # DEPENDENCYPART_ARC
(38,37),4.07405 # DEPENDENCYPART_ARC
