# _root_ Per intentar el rècord , l' embarcació catalana participarà en el rànquing ' World_Sailing_Record ' , l' entitat que estableix la legalitat de les marques .
#goldHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
#predictedHeads=9,1,4,2,1,7,9,7,0,9,12,10,14,12,14,18,18,12,20,18,22,20,22,25,23,9,
(0,1),-6.74442 # DEPENDENCYPART_ARC
(0,2),-4.53833 # DEPENDENCYPART_ARC
(0,7),-6.73957 # DEPENDENCYPART_ARC
(0,9),-2.32259 # DEPENDENCYPART_ARC
(0,20),-2.26147 # DEPENDENCYPART_ARC
(1,2),4.49882 # DEPENDENCYPART_ARC
(1,4),0.690667 # DEPENDENCYPART_ARC
(1,5),2.53633 # DEPENDENCYPART_ARC
(1,7),-2.51394 # DEPENDENCYPART_ARC
(1,9),-2.35238 # DEPENDENCYPART_ARC
(1,10),-2.52745 # DEPENDENCYPART_ARC
(1,13),0.799002 # DEPENDENCYPART_ARC
(1,15),-0.297554 # DEPENDENCYPART_ARC
(1,16),-0.391069 # DEPENDENCYPART_ARC
(1,26),0.523723 # DEPENDENCYPART_ARC
(2,1),1.26051 # DEPENDENCYPART_ARC
(2,4),3.4602 # DEPENDENCYPART_ARC
(2,5),0.577676 # DEPENDENCYPART_ARC
(2,7),1.17968 # DEPENDENCYPART_ARC
(2,8),0.278017 # DEPENDENCYPART_ARC
(2,9),1.58365 # DEPENDENCYPART_ARC
(2,10),0.836794 # DEPENDENCYPART_ARC
(2,12),0.0113733 # DEPENDENCYPART_ARC
(2,13),-0.780724 # DEPENDENCYPART_ARC
(2,14),-1.19095 # DEPENDENCYPART_ARC
(2,15),-0.966376 # DEPENDENCYPART_ARC
(2,16),-0.598537 # DEPENDENCYPART_ARC
(2,18),-1.08297 # DEPENDENCYPART_ARC
(2,20),-1.0267 # DEPENDENCYPART_ARC
(2,22),-2.16266 # DEPENDENCYPART_ARC
(2,26),2.18318 # DEPENDENCYPART_ARC
(3,4),-0.548663 # DEPENDENCYPART_ARC
(3,6),-1.63226 # DEPENDENCYPART_ARC
(4,1),-0.556548 # DEPENDENCYPART_ARC
(4,2),0.227406 # DEPENDENCYPART_ARC
(4,3),2.86434 # DEPENDENCYPART_ARC
(4,5),0.987089 # DEPENDENCYPART_ARC
(4,7),1.2473 # DEPENDENCYPART_ARC
(4,8),0.190906 # DEPENDENCYPART_ARC
(4,9),0.988588 # DEPENDENCYPART_ARC
(4,10),-1.26449 # DEPENDENCYPART_ARC
(4,12),0.027739 # DEPENDENCYPART_ARC
(4,13),0.349528 # DEPENDENCYPART_ARC
(4,14),-0.0952204 # DEPENDENCYPART_ARC
(4,15),-0.91028 # DEPENDENCYPART_ARC
(4,16),-0.37575 # DEPENDENCYPART_ARC
(4,18),-0.702987 # DEPENDENCYPART_ARC
(4,20),-0.146301 # DEPENDENCYPART_ARC
(4,22),-0.397884 # DEPENDENCYPART_ARC
(4,25),-0.174875 # DEPENDENCYPART_ARC
(4,26),-0.251581 # DEPENDENCYPART_ARC
(5,4),-2.00484 # DEPENDENCYPART_ARC
(6,4),-1.70821 # DEPENDENCYPART_ARC
(6,7),-0.362272 # DEPENDENCYPART_ARC
(7,1),-1.86806 # DEPENDENCYPART_ARC
(7,2),-1.42371 # DEPENDENCYPART_ARC
(7,3),-1.40129 # DEPENDENCYPART_ARC
(7,4),-1.86839 # DEPENDENCYPART_ARC
(7,5),0.516462 # DEPENDENCYPART_ARC
(7,6),2.99466 # DEPENDENCYPART_ARC
(7,8),3.85508 # DEPENDENCYPART_ARC
(7,9),0.373625 # DEPENDENCYPART_ARC
(7,10),-1.23892 # DEPENDENCYPART_ARC
(7,12),-1.1348 # DEPENDENCYPART_ARC
(7,13),-0.0655534 # DEPENDENCYPART_ARC
(7,14),-0.773082 # DEPENDENCYPART_ARC
(7,15),-0.896018 # DEPENDENCYPART_ARC
(7,16),-1.17907 # DEPENDENCYPART_ARC
(7,18),-1.58497 # DEPENDENCYPART_ARC
(7,20),-0.333844 # DEPENDENCYPART_ARC
(7,22),-1.44113 # DEPENDENCYPART_ARC
(7,26),-0.541519 # DEPENDENCYPART_ARC
(8,1),-2.52031 # DEPENDENCYPART_ARC
(8,5),-0.590282 # DEPENDENCYPART_ARC
(8,6),-0.490675 # DEPENDENCYPART_ARC
(8,7),-0.469591 # DEPENDENCYPART_ARC
(8,9),0.0465225 # DEPENDENCYPART_ARC
(8,10),-1.82335 # DEPENDENCYPART_ARC
(8,14),-1.69425 # DEPENDENCYPART_ARC
(8,18),-2.7091 # DEPENDENCYPART_ARC
(9,1),1.3138 # DEPENDENCYPART_ARC
(9,2),-0.970069 # DEPENDENCYPART_ARC
(9,3),-2.45858 # DEPENDENCYPART_ARC
(9,4),1.13802 # DEPENDENCYPART_ARC
(9,5),0.408591 # DEPENDENCYPART_ARC
(9,6),-1.21767 # DEPENDENCYPART_ARC
(9,7),2.08105 # DEPENDENCYPART_ARC
(9,8),1.03446 # DEPENDENCYPART_ARC
(9,10),3.06025 # DEPENDENCYPART_ARC
(9,12),1.63987 # DEPENDENCYPART_ARC
(9,13),0.400119 # DEPENDENCYPART_ARC
(9,14),0.113109 # DEPENDENCYPART_ARC
(9,15),0.45103 # DEPENDENCYPART_ARC
(9,16),0.170533 # DEPENDENCYPART_ARC
(9,18),-0.262076 # DEPENDENCYPART_ARC
(9,20),-0.178275 # DEPENDENCYPART_ARC
(9,22),-1.11379 # DEPENDENCYPART_ARC
(9,26),3.00024 # DEPENDENCYPART_ARC
(10,9),-0.712253 # DEPENDENCYPART_ARC
(10,11),-1.13996 # DEPENDENCYPART_ARC
(10,12),4.40276 # DEPENDENCYPART_ARC
(10,13),-0.406504 # DEPENDENCYPART_ARC
(10,14),-0.351361 # DEPENDENCYPART_ARC
(10,15),-1.43146 # DEPENDENCYPART_ARC
(10,16),-0.782633 # DEPENDENCYPART_ARC
(10,18),-4.36002 # DEPENDENCYPART_ARC
(10,20),-1.77959 # DEPENDENCYPART_ARC
(12,1),-3.20013 # DEPENDENCYPART_ARC
(12,5),-2.11709 # DEPENDENCYPART_ARC
(12,11),2.25176 # DEPENDENCYPART_ARC
(12,13),1.49035 # DEPENDENCYPART_ARC
(12,14),1.65435 # DEPENDENCYPART_ARC
(12,15),0.619729 # DEPENDENCYPART_ARC
(12,16),0.752553 # DEPENDENCYPART_ARC
(12,18),0.418932 # DEPENDENCYPART_ARC
(12,20),1.95615 # DEPENDENCYPART_ARC
(12,22),-0.352235 # DEPENDENCYPART_ARC
(12,23),-0.186 # DEPENDENCYPART_ARC
(12,25),-0.158195 # DEPENDENCYPART_ARC
(12,26),0.528088 # DEPENDENCYPART_ARC
(14,7),-1.60095 # DEPENDENCYPART_ARC
(14,10),0.573848 # DEPENDENCYPART_ARC
(14,11),0.125933 # DEPENDENCYPART_ARC
(14,13),4.00845 # DEPENDENCYPART_ARC
(14,15),3.09983 # DEPENDENCYPART_ARC
(14,16),0.137923 # DEPENDENCYPART_ARC
(14,18),-0.308546 # DEPENDENCYPART_ARC
(14,20),0.864388 # DEPENDENCYPART_ARC
(14,22),-1.1406 # DEPENDENCYPART_ARC
(14,23),-1.32703 # DEPENDENCYPART_ARC
(14,26),0.113656 # DEPENDENCYPART_ARC
(18,1),-1.82939 # DEPENDENCYPART_ARC
(18,5),0.379323 # DEPENDENCYPART_ARC
(18,7),-1.49354 # DEPENDENCYPART_ARC
(18,9),-1.44148 # DEPENDENCYPART_ARC
(18,10),-0.180652 # DEPENDENCYPART_ARC
(18,15),1.60575 # DEPENDENCYPART_ARC
(18,16),2.10389 # DEPENDENCYPART_ARC
(18,17),4.24791 # DEPENDENCYPART_ARC
