# _root_ La majoria dels treballs presentats són de centres de la comarca d' Osona -Fpa- 39 -Fpt- , seguits dels 18 de La_Selva i La_Garrotxa , dels 15 del Bages i de 7 del Vallès_Oriental .
#goldHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,2,15,18,2,18,19,20,21,22,22,19,19,26,27,28,19,19,31,32,33,6,
#predictedHeads=2,6,2,3,4,0,6,7,8,11,9,11,12,15,6,15,18,8,18,19,20,21,22,22,18,20,26,27,28,15,27,31,32,33,6,
(0,2),-7.5113 # DEPENDENCYPART_ARC
(0,6),-1.72938 # DEPENDENCYPART_ARC
(0,15),-7.6497 # DEPENDENCYPART_ARC
(1,2),2.36563 # DEPENDENCYPART_ARC
(1,3),1.67725 # DEPENDENCYPART_ARC
(2,1),3.4615 # DEPENDENCYPART_ARC
(2,3),3.41897 # DEPENDENCYPART_ARC
(2,4),0.701269 # DEPENDENCYPART_ARC
(2,5),-0.932849 # DEPENDENCYPART_ARC
(2,6),0.812111 # DEPENDENCYPART_ARC
(2,7),-0.214601 # DEPENDENCYPART_ARC
(2,9),-0.509701 # DEPENDENCYPART_ARC
(2,11),-0.605897 # DEPENDENCYPART_ARC
(2,12),-1.0424 # DEPENDENCYPART_ARC
(2,14),-0.413149 # DEPENDENCYPART_ARC
(2,15),0.0843582 # DEPENDENCYPART_ARC
(2,16),-0.884968 # DEPENDENCYPART_ARC
(2,18),-2.41918 # DEPENDENCYPART_ARC
(2,20),-0.776644 # DEPENDENCYPART_ARC
(3,1),0.187224 # DEPENDENCYPART_ARC
(3,2),0.416222 # DEPENDENCYPART_ARC
(3,4),4.4416 # DEPENDENCYPART_ARC
(3,5),0.608201 # DEPENDENCYPART_ARC
(3,7),-0.832946 # DEPENDENCYPART_ARC
(3,30),0.117276 # DEPENDENCYPART_ARC
(3,31),-1.19699 # DEPENDENCYPART_ARC
(4,1),-0.351007 # DEPENDENCYPART_ARC
(4,5),4.19616 # DEPENDENCYPART_ARC
(4,6),0.728353 # DEPENDENCYPART_ARC
(4,7),-0.353824 # DEPENDENCYPART_ARC
(4,9),-0.630204 # DEPENDENCYPART_ARC
(4,15),-1.98527 # DEPENDENCYPART_ARC
(4,18),0.581131 # DEPENDENCYPART_ARC
(4,20),-3.04512 # DEPENDENCYPART_ARC
(5,1),-0.871302 # DEPENDENCYPART_ARC
(5,3),-0.895068 # DEPENDENCYPART_ARC
(5,6),-0.122125 # DEPENDENCYPART_ARC
(5,7),0.0458777 # DEPENDENCYPART_ARC
(6,1),-2.2854 # DEPENDENCYPART_ARC
(6,2),1.28364 # DEPENDENCYPART_ARC
(6,3),-0.884222 # DEPENDENCYPART_ARC
(6,4),1.22584 # DEPENDENCYPART_ARC
(6,5),1.36063 # DEPENDENCYPART_ARC
(6,7),1.9201 # DEPENDENCYPART_ARC
(6,8),2.51899 # DEPENDENCYPART_ARC
(6,9),0.727287 # DEPENDENCYPART_ARC
(6,11),1.30455 # DEPENDENCYPART_ARC
(6,12),0.321258 # DEPENDENCYPART_ARC
(6,13),-0.560922 # DEPENDENCYPART_ARC
(6,14),0.27165 # DEPENDENCYPART_ARC
(6,15),0.723514 # DEPENDENCYPART_ARC
(6,16),0.8464 # DEPENDENCYPART_ARC
(6,17),1.13805 # DEPENDENCYPART_ARC
(6,18),0.765025 # DEPENDENCYPART_ARC
(6,19),-1.24281 # DEPENDENCYPART_ARC
(6,20),-0.102831 # DEPENDENCYPART_ARC
(6,22),-1.51758 # DEPENDENCYPART_ARC
(6,23),1.88805 # DEPENDENCYPART_ARC
(6,24),-1.4067 # DEPENDENCYPART_ARC
(6,25),0.638759 # DEPENDENCYPART_ARC
(6,27),-0.0237084 # DEPENDENCYPART_ARC
(6,30),1.69856 # DEPENDENCYPART_ARC
(6,35),7.27606 # DEPENDENCYPART_ARC
(7,1),-2.45679 # DEPENDENCYPART_ARC
