# _root_ El Consell_Regulador_de_la_Denominació_d'_Origen_Empordà-Costa_Brava ha concedit el Premi_Tòria_d'_Or , creat per premiar la promoció dels vins d' aquesta denominació d' origen , al Restaurant Ca_la_Maria de Mollet_de_Peralada .
#goldHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,8,4,21,22,22,24,4,
#predictedHeads=2,4,4,0,6,4,8,6,8,9,12,10,12,13,14,17,15,17,18,21,12,21,22,22,24,4,
(0,3),-2.38124 # DEPENDENCYPART_ARC
(0,4),-3.36747 # DEPENDENCYPART_ARC
(1,2),-0.0624605 # DEPENDENCYPART_ARC
(2,1),2.63563 # DEPENDENCYPART_ARC
(2,3),-0.707149 # DEPENDENCYPART_ARC
(2,6),-1.28717 # DEPENDENCYPART_ARC
(2,8),-1.10511 # DEPENDENCYPART_ARC
(3,1),-2.19921 # DEPENDENCYPART_ARC
(3,2),-0.229824 # DEPENDENCYPART_ARC
(3,4),0.196522 # DEPENDENCYPART_ARC
(3,6),-0.334731 # DEPENDENCYPART_ARC
(3,7),-0.864368 # DEPENDENCYPART_ARC
(3,8),-1.06432 # DEPENDENCYPART_ARC
(3,9),-1.05129 # DEPENDENCYPART_ARC
(3,12),-1.79771 # DEPENDENCYPART_ARC
(3,26),1.28272 # DEPENDENCYPART_ARC
(4,1),-0.282493 # DEPENDENCYPART_ARC
(4,2),2.46057 # DEPENDENCYPART_ARC
(4,3),5.83749 # DEPENDENCYPART_ARC
(4,6),2.84523 # DEPENDENCYPART_ARC
(4,7),0.593907 # DEPENDENCYPART_ARC
(4,8),0.703699 # DEPENDENCYPART_ARC
(4,9),1.91321 # DEPENDENCYPART_ARC
(4,10),0.359586 # DEPENDENCYPART_ARC
(4,12),0.0767552 # DEPENDENCYPART_ARC
(4,13),-1.64256 # DEPENDENCYPART_ARC
(4,14),-0.2638 # DEPENDENCYPART_ARC
(4,15),-0.902719 # DEPENDENCYPART_ARC
(4,17),-0.102071 # DEPENDENCYPART_ARC
(4,18),-1.33731 # DEPENDENCYPART_ARC
(4,20),-0.633626 # DEPENDENCYPART_ARC
(4,21),-0.590132 # DEPENDENCYPART_ARC
(4,23),-1.15842 # DEPENDENCYPART_ARC
(4,26),3.67874 # DEPENDENCYPART_ARC
(6,5),2.4949 # DEPENDENCYPART_ARC
(6,7),0.615716 # DEPENDENCYPART_ARC
(6,8),1.68214 # DEPENDENCYPART_ARC
(6,9),0.00218867 # DEPENDENCYPART_ARC
(6,10),1.04138 # DEPENDENCYPART_ARC
(6,12),-0.976906 # DEPENDENCYPART_ARC
(6,13),-1.08295 # DEPENDENCYPART_ARC
(6,15),-1.83378 # DEPENDENCYPART_ARC
(6,23),-1.17644 # DEPENDENCYPART_ARC
