# _root_ " El conseller de Medi_Ambient , Felip_Puig , va insistir que el projecte " no està tancat .
#goldHeads=10,3,10,3,4,7,3,7,10,0,16,13,16,16,16,10,16,10,
#predictedHeads=10,3,10,3,4,7,3,7,10,0,16,13,16,16,16,10,16,10,
(0,3),-6.55805 # DEPENDENCYPART_ARC
(0,9),-2.1084 # DEPENDENCYPART_ARC
(0,10),-1.93291 # DEPENDENCYPART_ARC
(0,16),-3.28453 # DEPENDENCYPART_ARC
(2,1),0.256576 # DEPENDENCYPART_ARC
(2,3),1.13638 # DEPENDENCYPART_ARC
(2,4),0.999387 # DEPENDENCYPART_ARC
(3,1),1.51367 # DEPENDENCYPART_ARC
(3,2),3.58729 # DEPENDENCYPART_ARC
(3,4),4.35911 # DEPENDENCYPART_ARC
(3,5),1.74532 # DEPENDENCYPART_ARC
(3,6),0.879538 # DEPENDENCYPART_ARC
(3,7),2.61683 # DEPENDENCYPART_ARC
(3,8),0.698295 # DEPENDENCYPART_ARC
(3,9),-0.317987 # DEPENDENCYPART_ARC
(3,10),-0.134929 # DEPENDENCYPART_ARC
(3,11),-0.904088 # DEPENDENCYPART_ARC
(3,13),-0.575801 # DEPENDENCYPART_ARC
(3,14),-0.766873 # DEPENDENCYPART_ARC
(3,16),-3.6283 # DEPENDENCYPART_ARC
(3,17),-0.414679 # DEPENDENCYPART_ARC
(3,18),0.856668 # DEPENDENCYPART_ARC
(4,1),-0.747771 # DEPENDENCYPART_ARC
(4,2),-0.764197 # DEPENDENCYPART_ARC
(4,5),3.65733 # DEPENDENCYPART_ARC
(4,6),-0.0707292 # DEPENDENCYPART_ARC
(4,7),-0.141863 # DEPENDENCYPART_ARC
(4,8),-0.807293 # DEPENDENCYPART_ARC
(5,1),-0.88068 # DEPENDENCYPART_ARC
(5,2),-0.803066 # DEPENDENCYPART_ARC
(5,6),0.886138 # DEPENDENCYPART_ARC
(5,7),0.562029 # DEPENDENCYPART_ARC
(5,8),-0.930146 # DEPENDENCYPART_ARC
(5,9),-0.888296 # DEPENDENCYPART_ARC
(5,10),-0.756471 # DEPENDENCYPART_ARC
(5,11),-2.65411 # DEPENDENCYPART_ARC
(5,13),-2.25373 # DEPENDENCYPART_ARC
(5,14),-2.2248 # DEPENDENCYPART_ARC
(5,16),-3.88151 # DEPENDENCYPART_ARC
(5,17),-1.75322 # DEPENDENCYPART_ARC
(5,18),-1.10636 # DEPENDENCYPART_ARC
(7,3),-0.926007 # DEPENDENCYPART_ARC
(7,4),0.0607364 # DEPENDENCYPART_ARC
(7,5),1.42369 # DEPENDENCYPART_ARC
(7,6),3.18922 # DEPENDENCYPART_ARC
(7,8),2.91368 # DEPENDENCYPART_ARC
(7,9),-0.489303 # DEPENDENCYPART_ARC
(7,10),-0.45194 # DEPENDENCYPART_ARC
(7,11),-2.29142 # DEPENDENCYPART_ARC
(7,13),-2.50655 # DEPENDENCYPART_ARC
(7,14),-0.25385 # DEPENDENCYPART_ARC
(7,16),-3.62213 # DEPENDENCYPART_ARC
(7,18),0.182339 # DEPENDENCYPART_ARC
(8,6),-0.846456 # DEPENDENCYPART_ARC
(9,1),-0.313722 # DEPENDENCYPART_ARC
(9,3),-1.08287 # DEPENDENCYPART_ARC
(9,6),-2.05006 # DEPENDENCYPART_ARC
(9,7),-1.4984 # DEPENDENCYPART_ARC
(9,8),-1.18858 # DEPENDENCYPART_ARC
(9,10),0.254478 # DEPENDENCYPART_ARC
(9,13),-2.23057 # DEPENDENCYPART_ARC
(9,14),-0.688342 # DEPENDENCYPART_ARC
(9,16),-1.80411 # DEPENDENCYPART_ARC
(9,18),1.2334 # DEPENDENCYPART_ARC
(10,1),2.08646 # DEPENDENCYPART_ARC
(10,2),-1.2978 # DEPENDENCYPART_ARC
(10,3),1.79504 # DEPENDENCYPART_ARC
(10,4),-1.12801 # DEPENDENCYPART_ARC
(10,5),0.236928 # DEPENDENCYPART_ARC
(10,6),-0.324002 # DEPENDENCYPART_ARC
(10,7),1.12153 # DEPENDENCYPART_ARC
(10,8),0.26113 # DEPENDENCYPART_ARC
(10,9),5.84361 # DEPENDENCYPART_ARC
(10,11),0.555954 # DEPENDENCYPART_ARC
(10,13),0.285611 # DEPENDENCYPART_ARC
(10,14),0.787388 # DEPENDENCYPART_ARC
(10,15),-0.62341 # DEPENDENCYPART_ARC
(10,16),2.22573 # DEPENDENCYPART_ARC
(10,17),0.179989 # DEPENDENCYPART_ARC
(10,18),4.40097 # DEPENDENCYPART_ARC
(11,13),-1.01905 # DEPENDENCYPART_ARC
(12,13),-0.956206 # DEPENDENCYPART_ARC
(12,14),-1.23083 # DEPENDENCYPART_ARC
(13,3),-2.66256 # DEPENDENCYPART_ARC
(13,6),-0.790016 # DEPENDENCYPART_ARC
(13,8),-0.626114 # DEPENDENCYPART_ARC
(13,10),-1.22205 # DEPENDENCYPART_ARC
(13,11),1.18613 # DEPENDENCYPART_ARC
(13,12),3.06713 # DEPENDENCYPART_ARC
(13,14),1.13102 # DEPENDENCYPART_ARC
(13,15),-0.089853 # DEPENDENCYPART_ARC
(13,16),1.33446 # DEPENDENCYPART_ARC
(13,17),0.71518 # DEPENDENCYPART_ARC
(13,18),0.289131 # DEPENDENCYPART_ARC
(15,14),-0.105734 # DEPENDENCYPART_ARC
(15,18),-1.08774 # DEPENDENCYPART_ARC
(16,1),0.565887 # DEPENDENCYPART_ARC
(16,3),-0.117705 # DEPENDENCYPART_ARC
(16,6),-1.7779 # DEPENDENCYPART_ARC
(16,7),-1.03203 # DEPENDENCYPART_ARC
(16,8),-1.52712 # DEPENDENCYPART_ARC
(16,9),0.873545 # DEPENDENCYPART_ARC
(16,10),-1.60318 # DEPENDENCYPART_ARC
(16,11),3.24503 # DEPENDENCYPART_ARC
(16,12),-1.08708 # DEPENDENCYPART_ARC
(16,13),1.35759 # DEPENDENCYPART_ARC
(16,14),2.12247 # DEPENDENCYPART_ARC
(16,15),3.85055 # DEPENDENCYPART_ARC
(16,17),3.51073 # DEPENDENCYPART_ARC
(16,18),2.84024 # DEPENDENCYPART_ARC
(17,8),-1.84653 # DEPENDENCYPART_ARC
(17,13),-1.25347 # DEPENDENCYPART_ARC
(17,14),0.40747 # DEPENDENCYPART_ARC
(17,15),0.725708 # DEPENDENCYPART_ARC
(17,18),-0.628506 # DEPENDENCYPART_ARC
