# _root_ La d' aquest any serà la tercera edició del Festival_de_Cinema_Negre_de_Manresa , la cinquena si no es té_en_compte l' especialització , que el converteix en l' únic certamen de l' Estat dedicat a aquest gènere .
#goldHeads=2,5,4,2,0,8,8,5,8,9,5,13,5,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
#predictedHeads=2,5,4,2,0,8,8,5,8,9,17,13,8,17,17,17,13,19,17,23,23,23,19,23,27,27,24,27,30,28,27,31,34,32,5,
(0,2),-7.29927 # DEPENDENCYPART_ARC
(0,5),-2.37983 # DEPENDENCYPART_ARC
(0,8),-8.59129 # DEPENDENCYPART_ARC
(0,17),-4.79248 # DEPENDENCYPART_ARC
(0,23),-5.53772 # DEPENDENCYPART_ARC
(1,2),0.502408 # DEPENDENCYPART_ARC
(2,1),2.28033 # DEPENDENCYPART_ARC
(2,4),4.99331 # DEPENDENCYPART_ARC
(2,5),-0.646264 # DEPENDENCYPART_ARC
(2,8),-0.112971 # DEPENDENCYPART_ARC
(2,9),-1.09809 # DEPENDENCYPART_ARC
(2,11),-0.433333 # DEPENDENCYPART_ARC
(2,14),-0.128058 # DEPENDENCYPART_ARC
(2,20),-2.37198 # DEPENDENCYPART_ARC
(4,1),0.11518 # DEPENDENCYPART_ARC
(4,2),0.509753 # DEPENDENCYPART_ARC
(4,3),3.43025 # DEPENDENCYPART_ARC
(4,5),-0.892619 # DEPENDENCYPART_ARC
(4,8),-3.38718 # DEPENDENCYPART_ARC
(4,13),-4.92956 # DEPENDENCYPART_ARC
(5,1),-1.25055 # DEPENDENCYPART_ARC
(5,2),1.30292 # DEPENDENCYPART_ARC
(5,4),2.42424 # DEPENDENCYPART_ARC
(5,7),0.529983 # DEPENDENCYPART_ARC
(5,8),1.53117 # DEPENDENCYPART_ARC
(5,9),-0.438947 # DEPENDENCYPART_ARC
(5,10),0.194187 # DEPENDENCYPART_ARC
(5,11),0.442195 # DEPENDENCYPART_ARC
(5,13),-1.33731 # DEPENDENCYPART_ARC
(5,14),-1.41644 # DEPENDENCYPART_ARC
(5,17),0.640089 # DEPENDENCYPART_ARC
(5,19),-2.25505 # DEPENDENCYPART_ARC
(5,20),-0.229792 # DEPENDENCYPART_ARC
(5,23),-0.569645 # DEPENDENCYPART_ARC
(5,24),-1.6641 # DEPENDENCYPART_ARC
(5,27),-3.27625 # DEPENDENCYPART_ARC
(5,32),-1.77334 # DEPENDENCYPART_ARC
(5,35),6.73774 # DEPENDENCYPART_ARC
(6,7),0.0181694 # DEPENDENCYPART_ARC
(7,6),0.975362 # DEPENDENCYPART_ARC
(7,8),0.763163 # DEPENDENCYPART_ARC
(7,9),-0.515638 # DEPENDENCYPART_ARC
(7,11),-0.674096 # DEPENDENCYPART_ARC
(7,13),-0.691954 # DEPENDENCYPART_ARC
(7,17),0.0681738 # DEPENDENCYPART_ARC
(7,23),-0.27896 # DEPENDENCYPART_ARC
(8,2),-0.790064 # DEPENDENCYPART_ARC
(8,5),-1.32331 # DEPENDENCYPART_ARC
(8,6),3.99627 # DEPENDENCYPART_ARC
(8,7),4.68624 # DEPENDENCYPART_ARC
(8,9),3.33649 # DEPENDENCYPART_ARC
(8,10),0.668713 # DEPENDENCYPART_ARC
(8,11),0.36696 # DEPENDENCYPART_ARC
(8,13),1.01307 # DEPENDENCYPART_ARC
(8,14),-0.0652682 # DEPENDENCYPART_ARC
(8,17),1.43852 # DEPENDENCYPART_ARC
(8,19),-1.40063 # DEPENDENCYPART_ARC
(8,20),-0.753537 # DEPENDENCYPART_ARC
(8,23),1.33883 # DEPENDENCYPART_ARC
(8,27),-2.23072 # DEPENDENCYPART_ARC
(8,35),2.10181 # DEPENDENCYPART_ARC
(9,1),-2.26252 # DEPENDENCYPART_ARC
(9,8),-0.120775 # DEPENDENCYPART_ARC
(9,10),3.26673 # DEPENDENCYPART_ARC
(9,11),-0.53773 # DEPENDENCYPART_ARC
(9,14),-0.415232 # DEPENDENCYPART_ARC
(9,17),-1.21965 # DEPENDENCYPART_ARC
(10,2),-1.30286 # DEPENDENCYPART_ARC
(10,6),-0.00916405 # DEPENDENCYPART_ARC
(10,11),0.447042 # DEPENDENCYPART_ARC
(10,13),-0.137612 # DEPENDENCYPART_ARC
(10,14),-0.290495 # DEPENDENCYPART_ARC
(10,17),0.106667 # DEPENDENCYPART_ARC
(10,19),-1.59205 # DEPENDENCYPART_ARC
(10,23),0.131558 # DEPENDENCYPART_ARC
(12,9),-1.02222 # DEPENDENCYPART_ARC
(12,13),-0.0530999 # DEPENDENCYPART_ARC
(13,11),1.4082 # DEPENDENCYPART_ARC
(13,12),2.06625 # DEPENDENCYPART_ARC
(13,17),2.28863 # DEPENDENCYPART_ARC
(13,19),-0.0612065 # DEPENDENCYPART_ARC
(13,20),0.638325 # DEPENDENCYPART_ARC
(13,23),1.74687 # DEPENDENCYPART_ARC
(14,17),-0.630285 # DEPENDENCYPART_ARC
(14,20),-1.08792 # DEPENDENCYPART_ARC
(15,14),0.901848 # DEPENDENCYPART_ARC
(17,2),-0.636283 # DEPENDENCYPART_ARC
(17,4),-0.706545 # DEPENDENCYPART_ARC
(17,5),-0.836758 # DEPENDENCYPART_ARC
(17,7),-0.219186 # DEPENDENCYPART_ARC
(17,8),-0.672356 # DEPENDENCYPART_ARC
(17,9),-1.0517 # DEPENDENCYPART_ARC
(17,11),1.48298 # DEPENDENCYPART_ARC
(17,12),-1.08669 # DEPENDENCYPART_ARC
(17,13),0.314595 # DEPENDENCYPART_ARC
(17,14),2.63064 # DEPENDENCYPART_ARC
(17,15),3.97596 # DEPENDENCYPART_ARC
(17,16),4.69419 # DEPENDENCYPART_ARC
(17,19),3.31162 # DEPENDENCYPART_ARC
(17,20),1.01739 # DEPENDENCYPART_ARC
(17,22),-1.10038 # DEPENDENCYPART_ARC
(17,23),1.21639 # DEPENDENCYPART_ARC
(17,24),0.7365 # DEPENDENCYPART_ARC
(17,27),-0.32738 # DEPENDENCYPART_ARC
(17,28),-1.02727 # DEPENDENCYPART_ARC
(17,30),-0.556507 # DEPENDENCYPART_ARC
(17,31),-0.461412 # DEPENDENCYPART_ARC
(17,32),-0.234463 # DEPENDENCYPART_ARC
(17,34),-0.799018 # DEPENDENCYPART_ARC
(17,35),4.79156 # DEPENDENCYPART_ARC
(19,2),-1.42898 # DEPENDENCYPART_ARC
(19,5),-2.18038 # DEPENDENCYPART_ARC
(19,8),-2.06986 # DEPENDENCYPART_ARC
(19,9),-1.51835 # DEPENDENCYPART_ARC
(19,11),-0.369054 # DEPENDENCYPART_ARC
(19,14),0.0242011 # DEPENDENCYPART_ARC
(19,15),0.264335 # DEPENDENCYPART_ARC
(19,17),-0.143886 # DEPENDENCYPART_ARC
(19,18),3.14477 # DEPENDENCYPART_ARC
(19,20),0.156837 # DEPENDENCYPART_ARC
(19,22),-1.62943 # DEPENDENCYPART_ARC
(19,23),3.26501 # DEPENDENCYPART_ARC
(19,24),-0.771915 # DEPENDENCYPART_ARC
(19,27),-0.790545 # DEPENDENCYPART_ARC
(19,28),-0.034495 # DEPENDENCYPART_ARC
(19,31),-1.06303 # DEPENDENCYPART_ARC
(19,32),-0.375833 # DEPENDENCYPART_ARC
(19,35),1.64284 # DEPENDENCYPART_ARC
(20,19),-1.51192 # DEPENDENCYPART_ARC
(21,24),-1.75829 # DEPENDENCYPART_ARC
(21,27),-3.56512 # DEPENDENCYPART_ARC
(22,20),-0.611817 # DEPENDENCYPART_ARC
(22,23),-1.86885 # DEPENDENCYPART_ARC
(22,24),-2.04282 # DEPENDENCYPART_ARC
(22,27),-3.32633 # DEPENDENCYPART_ARC
(22,28),-2.5638 # DEPENDENCYPART_ARC
(23,2),-2.97874 # DEPENDENCYPART_ARC
(23,5),-2.1315 # DEPENDENCYPART_ARC
(23,8),-1.36721 # DEPENDENCYPART_ARC
(23,9),-2.75517 # DEPENDENCYPART_ARC
(23,11),0.060909 # DEPENDENCYPART_ARC
(23,12),-2.57691 # DEPENDENCYPART_ARC
(23,13),-0.754594 # DEPENDENCYPART_ARC
(23,14),0.389354 # DEPENDENCYPART_ARC
(23,17),-0.120087 # DEPENDENCYPART_ARC
(23,18),-1.07374 # DEPENDENCYPART_ARC
(23,19),0.753753 # DEPENDENCYPART_ARC
(23,20),2.46394 # DEPENDENCYPART_ARC
(23,21),3.9642 # DEPENDENCYPART_ARC
(23,22),3.4402 # DEPENDENCYPART_ARC
(23,24),3.13157 # DEPENDENCYPART_ARC
(23,26),-0.458285 # DEPENDENCYPART_ARC
(23,27),1.11165 # DEPENDENCYPART_ARC
(23,28),-0.159065 # DEPENDENCYPART_ARC
(23,30),0.332886 # DEPENDENCYPART_ARC
(23,31),0.195581 # DEPENDENCYPART_ARC
(23,32),0.467316 # DEPENDENCYPART_ARC
(23,34),0.409679 # DEPENDENCYPART_ARC
(23,35),2.26578 # DEPENDENCYPART_ARC
(24,12),-3.94491 # DEPENDENCYPART_ARC
(24,23),-0.60167 # DEPENDENCYPART_ARC
(24,25),-0.457269 # DEPENDENCYPART_ARC
(24,26),0.960971 # DEPENDENCYPART_ARC
(24,27),3.24782 # DEPENDENCYPART_ARC
(24,28),-0.63927 # DEPENDENCYPART_ARC
(24,30),0.19278 # DEPENDENCYPART_ARC
(24,31),-1.13219 # DEPENDENCYPART_ARC
(24,32),-0.789978 # DEPENDENCYPART_ARC
(25,24),-1.88709 # DEPENDENCYPART_ARC
(25,26),-0.77027 # DEPENDENCYPART_ARC
(26,24),0.0948333 # DEPENDENCYPART_ARC
(26,25),0.550035 # DEPENDENCYPART_ARC
(26,28),-0.871197 # DEPENDENCYPART_ARC
(26,31),-0.172289 # DEPENDENCYPART_ARC
(26,32),-0.625087 # DEPENDENCYPART_ARC
(27,2),-1.32537 # DEPENDENCYPART_ARC
(27,9),-1.21032 # DEPENDENCYPART_ARC
(27,20),-0.550216 # DEPENDENCYPART_ARC
(27,22),-2.3079 # DEPENDENCYPART_ARC
(27,24),0.66976 # DEPENDENCYPART_ARC
(27,25),3.25293 # DEPENDENCYPART_ARC
(27,26),4.31772 # DEPENDENCYPART_ARC
(27,28),3.27055 # DEPENDENCYPART_ARC
(27,30),0.9315 # DEPENDENCYPART_ARC
(27,31),2.57937 # DEPENDENCYPART_ARC
(27,32),1.38606 # DEPENDENCYPART_ARC
(27,34),0.718599 # DEPENDENCYPART_ARC
(27,35),1.31177 # DEPENDENCYPART_ARC
(28,29),-0.359211 # DEPENDENCYPART_ARC
(28,30),3.70803 # DEPENDENCYPART_ARC
(28,31),-0.120246 # DEPENDENCYPART_ARC
(28,32),-1.21957 # DEPENDENCYPART_ARC
(28,34),0.193298 # DEPENDENCYPART_ARC
(30,29),2.623 # DEPENDENCYPART_ARC
(30,31),2.21264 # DEPENDENCYPART_ARC
(30,32),-0.179798 # DEPENDENCYPART_ARC
(30,34),0.235465 # DEPENDENCYPART_ARC
(31,28),0.455838 # DEPENDENCYPART_ARC
(31,29),-0.504337 # DEPENDENCYPART_ARC
(31,32),2.94533 # DEPENDENCYPART_ARC
(31,34),0.209586 # DEPENDENCYPART_ARC
(32,14),-1.0087 # DEPENDENCYPART_ARC
(32,29),-1.5965 # DEPENDENCYPART_ARC
(32,31),-0.249476 # DEPENDENCYPART_ARC
(32,34),4.25689 # DEPENDENCYPART_ARC
(34,28),-0.675589 # DEPENDENCYPART_ARC
(34,29),0.141661 # DEPENDENCYPART_ARC
(34,31),-1.32969 # DEPENDENCYPART_ARC
(34,33),3.35998 # DEPENDENCYPART_ARC
