# _root_ No és el cas , per_descomptat , d' aquest Così .
#goldHeads=2,0,4,2,6,8,6,4,10,8,2,
#predictedHeads=2,0,4,2,6,2,6,4,10,8,2,
(0,2),-2.55207 # DEPENDENCYPART_ARC
(0,4),-6.81673 # DEPENDENCYPART_ARC
(2,1),3.99814 # DEPENDENCYPART_ARC
(2,4),3.25939 # DEPENDENCYPART_ARC
(2,5),1.36917 # DEPENDENCYPART_ARC
(2,6),0.692173 # DEPENDENCYPART_ARC
(2,7),0.475725 # DEPENDENCYPART_ARC
(2,8),-0.460765 # DEPENDENCYPART_ARC
(2,10),0.238694 # DEPENDENCYPART_ARC
(2,11),2.58283 # DEPENDENCYPART_ARC
(4,1),0.283996 # DEPENDENCYPART_ARC
(4,2),0.151071 # DEPENDENCYPART_ARC
(4,3),3.01639 # DEPENDENCYPART_ARC
(4,5),0.346444 # DEPENDENCYPART_ARC
(4,6),-0.535542 # DEPENDENCYPART_ARC
(4,7),0.0350907 # DEPENDENCYPART_ARC
(4,8),0.309752 # DEPENDENCYPART_ARC
(4,10),-0.294231 # DEPENDENCYPART_ARC
(4,11),1.02473 # DEPENDENCYPART_ARC
(5,4),-1.0409 # DEPENDENCYPART_ARC
(6,4),-1.34483 # DEPENDENCYPART_ARC
(6,5),2.45961 # DEPENDENCYPART_ARC
(6,7),3.01183 # DEPENDENCYPART_ARC
(6,8),-0.542694 # DEPENDENCYPART_ARC
(6,10),-0.937723 # DEPENDENCYPART_ARC
(6,11),-0.588607 # DEPENDENCYPART_ARC
(7,5),-0.357262 # DEPENDENCYPART_ARC
(8,5),-0.0707317 # DEPENDENCYPART_ARC
(8,6),0.254406 # DEPENDENCYPART_ARC
(8,7),1.26429 # DEPENDENCYPART_ARC
(8,10),3.82565 # DEPENDENCYPART_ARC
(8,11),1.03949 # DEPENDENCYPART_ARC
(10,6),-0.636769 # DEPENDENCYPART_ARC
(10,7),-0.217689 # DEPENDENCYPART_ARC
(10,8),0.577348 # DEPENDENCYPART_ARC
(10,9),3.01113 # DEPENDENCYPART_ARC
(10,11),-0.351034 # DEPENDENCYPART_ARC
