# _root_ ' Si no volen participar , almenys que aportin els_seus estudis ' , ha explicat Fabra .
#goldHeads=9,4,4,9,4,4,9,9,15,11,9,9,9,15,0,15,15,
#predictedHeads=4,4,4,15,4,7,9,9,15,11,9,9,9,15,0,15,15,
(0,2),-6.43041 # DEPENDENCYPART_ARC
(0,4),-3.1749 # DEPENDENCYPART_ARC
(0,5),-3.74773 # DEPENDENCYPART_ARC
(0,7),-7.34082 # DEPENDENCYPART_ARC
(0,9),-6.74421 # DEPENDENCYPART_ARC
(0,14),-2.9079 # DEPENDENCYPART_ARC
(0,15),-3.44212 # DEPENDENCYPART_ARC
(2,4),-0.0927085 # DEPENDENCYPART_ARC
(2,5),-1.34269 # DEPENDENCYPART_ARC
(2,6),-0.44448 # DEPENDENCYPART_ARC
(2,8),-0.428354 # DEPENDENCYPART_ARC
(2,9),-1.90916 # DEPENDENCYPART_ARC
(2,12),-0.463189 # DEPENDENCYPART_ARC
(2,13),-0.229805 # DEPENDENCYPART_ARC
(2,17),0.199038 # DEPENDENCYPART_ARC
(3,2),0.329418 # DEPENDENCYPART_ARC
(4,1),2.3571 # DEPENDENCYPART_ARC
(4,2),1.98528 # DEPENDENCYPART_ARC
(4,3),2.84714 # DEPENDENCYPART_ARC
(4,5),2.67394 # DEPENDENCYPART_ARC
(4,6),1.23606 # DEPENDENCYPART_ARC
(4,7),0.354045 # DEPENDENCYPART_ARC
(4,8),-0.522419 # DEPENDENCYPART_ARC
(4,9),1.11004 # DEPENDENCYPART_ARC
(4,11),-1.23334 # DEPENDENCYPART_ARC
(4,12),0.830213 # DEPENDENCYPART_ARC
(4,13),1.2164 # DEPENDENCYPART_ARC
(4,14),-0.78258 # DEPENDENCYPART_ARC
(4,15),-0.557133 # DEPENDENCYPART_ARC
(4,17),2.30409 # DEPENDENCYPART_ARC
(5,1),2.08763 # DEPENDENCYPART_ARC
(5,2),0.627435 # DEPENDENCYPART_ARC
(5,3),1.88052 # DEPENDENCYPART_ARC
(5,4),2.63935 # DEPENDENCYPART_ARC
(5,6),0.462067 # DEPENDENCYPART_ARC
(5,7),0.827673 # DEPENDENCYPART_ARC
(5,8),-0.325046 # DEPENDENCYPART_ARC
(5,9),1.0974 # DEPENDENCYPART_ARC
(5,11),-0.833902 # DEPENDENCYPART_ARC
(5,12),0.367213 # DEPENDENCYPART_ARC
(5,13),0.709587 # DEPENDENCYPART_ARC
(5,14),-1.20471 # DEPENDENCYPART_ARC
(5,15),-1.25196 # DEPENDENCYPART_ARC
(5,16),-2.60103 # DEPENDENCYPART_ARC
(5,17),2.00501 # DEPENDENCYPART_ARC
(7,6),2.07362 # DEPENDENCYPART_ARC
(7,8),0.707648 # DEPENDENCYPART_ARC
(7,9),1.72249 # DEPENDENCYPART_ARC
(7,11),-0.0515044 # DEPENDENCYPART_ARC
(7,13),0.969173 # DEPENDENCYPART_ARC
(7,15),-0.708373 # DEPENDENCYPART_ARC
(7,16),-0.754838 # DEPENDENCYPART_ARC
(7,17),1.311 # DEPENDENCYPART_ARC
(8,9),0.511527 # DEPENDENCYPART_ARC
(8,11),-2.00692 # DEPENDENCYPART_ARC
