# _root_ L' empresa Formigons_Montcau desmantellarà la_seva fàbrica de Sabadell , situada al barri d' Hostafrancs i envoltada de vivendes , en un termini de tres anys .
#goldHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,4,22,20,22,25,23,4,
#predictedHeads=2,4,2,0,6,4,6,7,10,6,10,11,12,13,10,10,16,17,10,6,22,20,22,25,23,4,
(0,2),-7.07725 # DEPENDENCYPART_ARC
(0,4),-1.78423 # DEPENDENCYPART_ARC
(1,2),0.318971 # DEPENDENCYPART_ARC
(2,1),3.23749 # DEPENDENCYPART_ARC
(2,3),3.34511 # DEPENDENCYPART_ARC
(2,4),1.35962 # DEPENDENCYPART_ARC
(2,6),0.0866127 # DEPENDENCYPART_ARC
(2,7),0.620281 # DEPENDENCYPART_ARC
(2,8),-0.575279 # DEPENDENCYPART_ARC
(2,9),-0.100425 # DEPENDENCYPART_ARC
(2,10),1.12513 # DEPENDENCYPART_ARC
(2,11),-1.10072 # DEPENDENCYPART_ARC
(2,13),-1.07113 # DEPENDENCYPART_ARC
(2,16),0.150572 # DEPENDENCYPART_ARC
(2,22),-1.25171 # DEPENDENCYPART_ARC
(2,26),-0.241103 # DEPENDENCYPART_ARC
(3,1),0.888624 # DEPENDENCYPART_ARC
(3,2),0.29828 # DEPENDENCYPART_ARC
(3,4),-0.399365 # DEPENDENCYPART_ARC
(3,7),-1.65977 # DEPENDENCYPART_ARC
(3,10),-1.72087 # DEPENDENCYPART_ARC
(4,1),-1.07852 # DEPENDENCYPART_ARC
(4,2),2.2121 # DEPENDENCYPART_ARC
(4,3),1.40862 # DEPENDENCYPART_ARC
(4,6),3.38462 # DEPENDENCYPART_ARC
(4,7),1.08994 # DEPENDENCYPART_ARC
(4,8),1.03771 # DEPENDENCYPART_ARC
(4,9),0.323931 # DEPENDENCYPART_ARC
(4,10),0.611004 # DEPENDENCYPART_ARC
(4,11),1.0862 # DEPENDENCYPART_ARC
(4,12),-0.133981 # DEPENDENCYPART_ARC
(4,13),0.118883 # DEPENDENCYPART_ARC
(4,14),-0.430037 # DEPENDENCYPART_ARC
(4,15),0.600844 # DEPENDENCYPART_ARC
(4,16),0.25656 # DEPENDENCYPART_ARC
(4,19),-0.477676 # DEPENDENCYPART_ARC
(4,20),-0.136398 # DEPENDENCYPART_ARC
(4,22),-0.824515 # DEPENDENCYPART_ARC
(4,26),5.03708 # DEPENDENCYPART_ARC
(6,1),-1.72995 # DEPENDENCYPART_ARC
(6,2),-1.37545 # DEPENDENCYPART_ARC
(6,5),3.06768 # DEPENDENCYPART_ARC
(6,7),3.64138 # DEPENDENCYPART_ARC
(6,8),0.752552 # DEPENDENCYPART_ARC
(6,9),0.530995 # DEPENDENCYPART_ARC
(6,10),2.66103 # DEPENDENCYPART_ARC
(6,11),1.07339 # DEPENDENCYPART_ARC
(6,12),-0.692627 # DEPENDENCYPART_ARC
(6,13),1.28977 # DEPENDENCYPART_ARC
(6,14),-0.587669 # DEPENDENCYPART_ARC
(6,15),0.544475 # DEPENDENCYPART_ARC
(6,16),0.998516 # DEPENDENCYPART_ARC
(6,17),0.0977566 # DEPENDENCYPART_ARC
(6,18),-0.417456 # DEPENDENCYPART_ARC
(6,20),0.659149 # DEPENDENCYPART_ARC
(6,22),-0.888207 # DEPENDENCYPART_ARC
(6,23),-1.27761 # DEPENDENCYPART_ARC
(6,26),0.487179 # DEPENDENCYPART_ARC
(7,8),3.44525 # DEPENDENCYPART_ARC
(7,9),-0.193079 # DEPENDENCYPART_ARC
(7,10),-0.621029 # DEPENDENCYPART_ARC
(7,11),-1.5909 # DEPENDENCYPART_ARC
(7,12),-0.288002 # DEPENDENCYPART_ARC
(7,13),-0.490739 # DEPENDENCYPART_ARC
(7,17),-0.507764 # DEPENDENCYPART_ARC
(7,19),-0.0623578 # DEPENDENCYPART_ARC
(8,9),0.645415 # DEPENDENCYPART_ARC
(8,10),1.12638 # DEPENDENCYPART_ARC
(8,11),-0.375543 # DEPENDENCYPART_ARC
(8,12),0.000714206 # DEPENDENCYPART_ARC
(8,13),0.0187256 # DEPENDENCYPART_ARC
(8,14),0.212815 # DEPENDENCYPART_ARC
(8,15),0.422186 # DEPENDENCYPART_ARC
(8,16),-0.496571 # DEPENDENCYPART_ARC
(8,17),-0.91476 # DEPENDENCYPART_ARC
(8,18),-0.128333 # DEPENDENCYPART_ARC
(8,26),-0.883818 # DEPENDENCYPART_ARC
(10,7),0.528847 # DEPENDENCYPART_ARC
(10,9),2.5863 # DEPENDENCYPART_ARC
(10,11),4.10096 # DEPENDENCYPART_ARC
(10,12),1.33192 # DEPENDENCYPART_ARC
(10,13),1.01317 # DEPENDENCYPART_ARC
(10,14),0.456873 # DEPENDENCYPART_ARC
(10,15),2.59814 # DEPENDENCYPART_ARC
(10,16),2.17508 # DEPENDENCYPART_ARC
(10,17),-0.0217946 # DEPENDENCYPART_ARC
(10,18),-0.418289 # DEPENDENCYPART_ARC
(10,19),1.89765 # DEPENDENCYPART_ARC
(10,20),-0.283243 # DEPENDENCYPART_ARC
(10,22),-0.405302 # DEPENDENCYPART_ARC
(10,23),-2.26421 # DEPENDENCYPART_ARC
(10,26),0.779133 # DEPENDENCYPART_ARC
(11,7),-0.56293 # DEPENDENCYPART_ARC
(11,9),0.259937 # DEPENDENCYPART_ARC
(11,10),0.0241489 # DEPENDENCYPART_ARC
(11,12),3.65565 # DEPENDENCYPART_ARC
(11,13),-0.276856 # DEPENDENCYPART_ARC
(11,14),0.504129 # DEPENDENCYPART_ARC
(11,15),0.369184 # DEPENDENCYPART_ARC
(11,17),-1.0372 # DEPENDENCYPART_ARC
(11,19),0.170838 # DEPENDENCYPART_ARC
(11,20),-1.30209 # DEPENDENCYPART_ARC
(12,9),-1.15525 # DEPENDENCYPART_ARC
(12,10),-1.76038 # DEPENDENCYPART_ARC
(12,13),3.18001 # DEPENDENCYPART_ARC
(12,14),0.97323 # DEPENDENCYPART_ARC
(12,15),0.934823 # DEPENDENCYPART_ARC
(12,16),-0.149645 # DEPENDENCYPART_ARC
(12,17),1.95742 # DEPENDENCYPART_ARC
(12,18),0.303924 # DEPENDENCYPART_ARC
