# _root_ Si l' objectiu és que el_nostre programa de quatre anys es pugui aconseguir , que el finançament de l' Estat arribi millor del que està arribant , ho hem de saber explicar .
#goldHeads=4,3,4,31,13,7,13,7,10,8,13,13,4,13,21,17,21,17,20,18,13,21,22,26,26,23,26,31,31,31,0,31,31,
#predictedHeads=4,3,4,0,13,7,13,7,10,8,13,13,4,26,21,17,21,17,20,18,4,21,22,26,26,23,26,31,31,31,23,31,4,
(0,1),-5.78557 # DEPENDENCYPART_ARC
(0,4),-3.27473 # DEPENDENCYPART_ARC
(0,12),-7.35607 # DEPENDENCYPART_ARC
(0,13),-6.89776 # DEPENDENCYPART_ARC
(0,21),-8.19449 # DEPENDENCYPART_ARC
(0,32),-6.21418 # DEPENDENCYPART_ARC
(1,3),-0.644996 # DEPENDENCYPART_ARC
(1,4),-0.274667 # DEPENDENCYPART_ARC
(1,8),-1.53108 # DEPENDENCYPART_ARC
(2,3),-0.468844 # DEPENDENCYPART_ARC
(3,1),0.324935 # DEPENDENCYPART_ARC
(3,2),3.29189 # DEPENDENCYPART_ARC
(3,7),-2.93341 # DEPENDENCYPART_ARC
(3,8),-1.2797 # DEPENDENCYPART_ARC
(4,1),3.75959 # DEPENDENCYPART_ARC
(4,2),-0.276107 # DEPENDENCYPART_ARC
(4,3),2.86384 # DEPENDENCYPART_ARC
(4,5),0.494171 # DEPENDENCYPART_ARC
(4,7),-0.180905 # DEPENDENCYPART_ARC
(4,8),0.0525185 # DEPENDENCYPART_ARC
(4,10),-1.26414 # DEPENDENCYPART_ARC
(4,12),0.81891 # DEPENDENCYPART_ARC
(4,13),1.5301 # DEPENDENCYPART_ARC
(4,14),0.725237 # DEPENDENCYPART_ARC
(4,21),1.39969 # DEPENDENCYPART_ARC
(4,25),-0.938841 # DEPENDENCYPART_ARC
(4,26),0.603981 # DEPENDENCYPART_ARC
(4,27),-0.511041 # DEPENDENCYPART_ARC
(4,29),-0.8692 # DEPENDENCYPART_ARC
(4,31),-1.18977 # DEPENDENCYPART_ARC
(4,32),-1.17239 # DEPENDENCYPART_ARC
(4,33),6.64919 # DEPENDENCYPART_ARC
(5,7),-1.33266 # DEPENDENCYPART_ARC
(5,8),-1.11204 # DEPENDENCYPART_ARC
(7,1),-0.778129 # DEPENDENCYPART_ARC
(7,2),-1.0402 # DEPENDENCYPART_ARC
(7,3),-1.92454 # DEPENDENCYPART_ARC
(7,4),-1.1114 # DEPENDENCYPART_ARC
(7,5),1.05118 # DEPENDENCYPART_ARC
(7,6),2.95659 # DEPENDENCYPART_ARC
(7,8),2.97984 # DEPENDENCYPART_ARC
(7,10),0.608655 # DEPENDENCYPART_ARC
(7,12),1.39866 # DEPENDENCYPART_ARC
(7,13),0.781652 # DEPENDENCYPART_ARC
(7,14),-0.318928 # DEPENDENCYPART_ARC
(7,15),-1.42091 # DEPENDENCYPART_ARC
(7,17),-1.48937 # DEPENDENCYPART_ARC
(7,18),-0.0500738 # DEPENDENCYPART_ARC
(7,33),0.78574 # DEPENDENCYPART_ARC
(8,9),-0.176262 # DEPENDENCYPART_ARC
(8,10),4.56079 # DEPENDENCYPART_ARC
(8,12),0.431394 # DEPENDENCYPART_ARC
(8,13),-0.00580581 # DEPENDENCYPART_ARC
(9,8),1.3209 # DEPENDENCYPART_ARC
(10,4),-0.574956 # DEPENDENCYPART_ARC
(10,6),-0.0722037 # DEPENDENCYPART_ARC
(10,8),0.426786 # DEPENDENCYPART_ARC
(10,9),2.30301 # DEPENDENCYPART_ARC
(10,12),-1.74288 # DEPENDENCYPART_ARC
(10,13),-1.49213 # DEPENDENCYPART_ARC
(12,1),-0.832167 # DEPENDENCYPART_ARC
(12,3),-2.1903 # DEPENDENCYPART_ARC
(12,4),-3.45649 # DEPENDENCYPART_ARC
(12,5),0.468414 # DEPENDENCYPART_ARC
(12,7),-1.14836 # DEPENDENCYPART_ARC
(12,8),-1.79845 # DEPENDENCYPART_ARC
(12,10),-1.6506 # DEPENDENCYPART_ARC
(12,11),1.81731 # DEPENDENCYPART_ARC
(12,13),0.526631 # DEPENDENCYPART_ARC
(12,14),-1.09187 # DEPENDENCYPART_ARC
(12,15),-2.54967 # DEPENDENCYPART_ARC
(12,17),-3.21339 # DEPENDENCYPART_ARC
(12,18),-3.08602 # DEPENDENCYPART_ARC
(12,21),-1.06652 # DEPENDENCYPART_ARC
(12,22),-2.94053 # DEPENDENCYPART_ARC
(12,26),-2.07104 # DEPENDENCYPART_ARC
(12,29),-4.1326 # DEPENDENCYPART_ARC
(12,31),-4.05866 # DEPENDENCYPART_ARC
(12,32),-3.53415 # DEPENDENCYPART_ARC
(12,33),0.381065 # DEPENDENCYPART_ARC
(13,1),1.12894 # DEPENDENCYPART_ARC
(13,3),-0.252069 # DEPENDENCYPART_ARC
(13,4),-0.832469 # DEPENDENCYPART_ARC
(13,5),2.6795 # DEPENDENCYPART_ARC
(13,7),0.820406 # DEPENDENCYPART_ARC
(13,8),-0.0773581 # DEPENDENCYPART_ARC
(13,10),1.67203 # DEPENDENCYPART_ARC
(13,11),3.94773 # DEPENDENCYPART_ARC
(13,12),5.15246 # DEPENDENCYPART_ARC
(13,14),1.0372 # DEPENDENCYPART_ARC
(13,15),-0.110666 # DEPENDENCYPART_ARC
(13,17),0.0635626 # DEPENDENCYPART_ARC
(13,18),-0.0359536 # DEPENDENCYPART_ARC
(13,20),-1.60366 # DEPENDENCYPART_ARC
(13,21),1.05489 # DEPENDENCYPART_ARC
(13,22),-0.274913 # DEPENDENCYPART_ARC
(13,26),-0.00887205 # DEPENDENCYPART_ARC
(13,29),-0.999351 # DEPENDENCYPART_ARC
(13,31),-0.790147 # DEPENDENCYPART_ARC
(13,32),-1.03431 # DEPENDENCYPART_ARC
(13,33),3.48455 # DEPENDENCYPART_ARC
