# _root_ A_més_a_més_de presó , reclama la clausura de l' empresa durant dos anys , la inhabilitació durant cinc anys per exercir com_a industrial i una multa .
#goldHeads=4,1,1,0,6,4,6,9,7,6,12,10,6,15,6,15,18,16,15,19,20,21,6,25,6,4,
#predictedHeads=4,1,1,0,6,4,6,9,7,4,12,10,15,15,6,15,18,16,4,19,20,21,22,25,20,4,
(0,1),-7.32289 # DEPENDENCYPART_ARC
(0,4),-2.34229 # DEPENDENCYPART_ARC
(1,2),4.10063 # DEPENDENCYPART_ARC
(1,3),2.26306 # DEPENDENCYPART_ARC
(1,4),-1.25706 # DEPENDENCYPART_ARC
(1,13),0.966746 # DEPENDENCYPART_ARC
(1,26),0.0407374 # DEPENDENCYPART_ARC
(2,1),-0.0289841 # DEPENDENCYPART_ARC
(2,3),-1.10534 # DEPENDENCYPART_ARC
(2,4),-0.517745 # DEPENDENCYPART_ARC
(2,6),-1.90561 # DEPENDENCYPART_ARC
(2,7),-0.940887 # DEPENDENCYPART_ARC
(2,10),-1.82462 # DEPENDENCYPART_ARC
(2,15),-2.37572 # DEPENDENCYPART_ARC
(2,25),-1.21878 # DEPENDENCYPART_ARC
(2,26),-1.35886 # DEPENDENCYPART_ARC
(4,1),2.7227 # DEPENDENCYPART_ARC
(4,2),1.1615 # DEPENDENCYPART_ARC
(4,3),1.15574 # DEPENDENCYPART_ARC
(4,6),3.10076 # DEPENDENCYPART_ARC
(4,7),0.448954 # DEPENDENCYPART_ARC
(4,9),0.904905 # DEPENDENCYPART_ARC
(4,10),1.62889 # DEPENDENCYPART_ARC
(4,12),0.141471 # DEPENDENCYPART_ARC
(4,13),0.246312 # DEPENDENCYPART_ARC
(4,15),0.158367 # DEPENDENCYPART_ARC
(4,16),0.975711 # DEPENDENCYPART_ARC
(4,18),-0.37791 # DEPENDENCYPART_ARC
(4,19),1.73561 # DEPENDENCYPART_ARC
(4,20),0.591621 # DEPENDENCYPART_ARC
(4,21),0.0586229 # DEPENDENCYPART_ARC
(4,23),0.937307 # DEPENDENCYPART_ARC
(4,25),-0.834124 # DEPENDENCYPART_ARC
(4,26),5.93602 # DEPENDENCYPART_ARC
(5,6),2.18703 # DEPENDENCYPART_ARC
(5,7),0.133697 # DEPENDENCYPART_ARC
(5,8),-0.110718 # DEPENDENCYPART_ARC
(6,1),-1.78947 # DEPENDENCYPART_ARC
(6,3),-0.146162 # DEPENDENCYPART_ARC
(6,5),3.50905 # DEPENDENCYPART_ARC
(6,7),2.90029 # DEPENDENCYPART_ARC
(6,9),1.0687 # DEPENDENCYPART_ARC
(6,10),1.06985 # DEPENDENCYPART_ARC
(6,12),0.207289 # DEPENDENCYPART_ARC
(6,13),0.579532 # DEPENDENCYPART_ARC
(6,15),0.726565 # DEPENDENCYPART_ARC
