# _root_ I és que , si l' antiga estratègia de l' Acord_d'_Ajuria_Enea va néixer del consens i de la concertació , aquesta d' ara ha vist la llum sota el signe de la confrontació entre les majories i les minories .
#goldHeads=2,0,25,13,13,8,8,13,8,11,9,13,25,13,14,14,14,19,17,13,25,21,22,25,2,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
#predictedHeads=2,0,13,13,13,8,8,13,8,11,9,13,2,13,14,14,14,19,17,21,25,21,22,25,19,27,25,25,30,28,30,33,31,33,36,34,36,39,36,2,
(0,2),-3.50378 # DEPENDENCYPART_ARC
(0,8),-7.55234 # DEPENDENCYPART_ARC
(0,12),-5.46448 # DEPENDENCYPART_ARC
(0,13),-6.67364 # DEPENDENCYPART_ARC
(0,25),-7.17054 # DEPENDENCYPART_ARC
(2,1),1.95539 # DEPENDENCYPART_ARC
(2,3),0.060216 # DEPENDENCYPART_ARC
(2,4),0.549883 # DEPENDENCYPART_ARC
(2,5),-0.312391 # DEPENDENCYPART_ARC
(2,7),-0.488485 # DEPENDENCYPART_ARC
(2,8),-3.08907 # DEPENDENCYPART_ARC
(2,9),-0.998574 # DEPENDENCYPART_ARC
(2,12),0.910103 # DEPENDENCYPART_ARC
(2,13),0.756946 # DEPENDENCYPART_ARC
(2,16),-0.356359 # DEPENDENCYPART_ARC
(2,20),-0.349232 # DEPENDENCYPART_ARC
(2,21),-1.46645 # DEPENDENCYPART_ARC
(2,24),0.0622145 # DEPENDENCYPART_ARC
(2,25),-0.438985 # DEPENDENCYPART_ARC
(2,40),8.7606 # DEPENDENCYPART_ARC
(3,1),-1.82715 # DEPENDENCYPART_ARC
(3,4),0.430129 # DEPENDENCYPART_ARC
(3,5),-0.0804152 # DEPENDENCYPART_ARC
(5,4),0.466827 # DEPENDENCYPART_ARC
(5,7),-0.00892218 # DEPENDENCYPART_ARC
(5,8),-0.955273 # DEPENDENCYPART_ARC
(5,9),-0.787504 # DEPENDENCYPART_ARC
(5,14),-0.985262 # DEPENDENCYPART_ARC
(6,7),-0.287546 # DEPENDENCYPART_ARC
(7,1),-1.71616 # DEPENDENCYPART_ARC
(7,2),-2.55534 # DEPENDENCYPART_ARC
(7,4),-0.652816 # DEPENDENCYPART_ARC
(7,5),-0.30195 # DEPENDENCYPART_ARC
(7,6),0.502712 # DEPENDENCYPART_ARC
(7,8),0.736584 # DEPENDENCYPART_ARC
(7,9),-0.904408 # DEPENDENCYPART_ARC
(8,1),-0.86015 # DEPENDENCYPART_ARC
(8,2),-1.46316 # DEPENDENCYPART_ARC
(8,3),0.00651723 # DEPENDENCYPART_ARC
(8,4),0.0735793 # DEPENDENCYPART_ARC
(8,5),-0.139297 # DEPENDENCYPART_ARC
(8,6),2.9587 # DEPENDENCYPART_ARC
