# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,10,12,7,16,13,18,28,20,18,23,23,20,23,18,28,28,5,28,29,30,5,
(0,1),-7.70752 # DEPENDENCYPART_ARC
(0,5),-3.45947 # DEPENDENCYPART_ARC
(0,7),-7.31131 # DEPENDENCYPART_ARC
(0,23),-6.76319 # DEPENDENCYPART_ARC
(0,24),-7.31881 # DEPENDENCYPART_ARC
(0,28),-6.14085 # DEPENDENCYPART_ARC
(1,3),4.63539 # DEPENDENCYPART_ARC
(1,5),0.0827103 # DEPENDENCYPART_ARC
(1,7),-3.02627 # DEPENDENCYPART_ARC
(1,14),-1.11752 # DEPENDENCYPART_ARC
(1,17),0.291696 # DEPENDENCYPART_ARC
(1,25),-0.911974 # DEPENDENCYPART_ARC
(3,2),3.1361 # DEPENDENCYPART_ARC
(3,4),-2.20338 # DEPENDENCYPART_ARC
(3,5),-0.103008 # DEPENDENCYPART_ARC
(3,7),-3.00498 # DEPENDENCYPART_ARC
(3,8),-1.53398 # DEPENDENCYPART_ARC
(3,11),-3.28622 # DEPENDENCYPART_ARC
(3,12),-2.0796 # DEPENDENCYPART_ARC
(3,14),-1.49289 # DEPENDENCYPART_ARC
(3,16),-3.43188 # DEPENDENCYPART_ARC
(3,32),0.901389 # DEPENDENCYPART_ARC
(4,7),-1.97097 # DEPENDENCYPART_ARC
(4,8),-2.22267 # DEPENDENCYPART_ARC
(5,1),2.71514 # DEPENDENCYPART_ARC
(5,3),-0.0607683 # DEPENDENCYPART_ARC
(5,4),3.1844 # DEPENDENCYPART_ARC
(5,6),0.00293924 # DEPENDENCYPART_ARC
(5,7),3.066 # DEPENDENCYPART_ARC
(5,8),-0.0297438 # DEPENDENCYPART_ARC
(5,10),1.09947 # DEPENDENCYPART_ARC
(5,12),0.91641 # DEPENDENCYPART_ARC
(5,14),0.533702 # DEPENDENCYPART_ARC
(5,17),0.161732 # DEPENDENCYPART_ARC
(5,18),-1.09646 # DEPENDENCYPART_ARC
(5,23),1.55008 # DEPENDENCYPART_ARC
(5,24),0.221323 # DEPENDENCYPART_ARC
(5,25),0.237488 # DEPENDENCYPART_ARC
(5,28),0.115287 # DEPENDENCYPART_ARC
(5,32),5.90677 # DEPENDENCYPART_ARC
(6,7),2.79716 # DEPENDENCYPART_ARC
(6,8),0.773711 # DEPENDENCYPART_ARC
(7,1),-0.842426 # DEPENDENCYPART_ARC
(7,4),0.778221 # DEPENDENCYPART_ARC
(7,5),-0.308556 # DEPENDENCYPART_ARC
(7,6),3.88898 # DEPENDENCYPART_ARC
(7,8),3.00968 # DEPENDENCYPART_ARC
(7,10),1.13886 # DEPENDENCYPART_ARC
(7,11),1.73678 # DEPENDENCYPART_ARC
(7,12),1.46214 # DEPENDENCYPART_ARC
(7,13),-0.226123 # DEPENDENCYPART_ARC
(7,14),1.77602 # DEPENDENCYPART_ARC
(7,16),0.544231 # DEPENDENCYPART_ARC
(7,17),-0.459501 # DEPENDENCYPART_ARC
(7,18),-0.0765768 # DEPENDENCYPART_ARC
(7,20),0.688248 # DEPENDENCYPART_ARC
(7,23),0.948637 # DEPENDENCYPART_ARC
(7,24),-0.0133216 # DEPENDENCYPART_ARC
(7,28),-0.217411 # DEPENDENCYPART_ARC
(7,32),1.88818 # DEPENDENCYPART_ARC
(8,6),-0.738042 # DEPENDENCYPART_ARC
(8,10),4.08512 # DEPENDENCYPART_ARC
(8,11),0.0134202 # DEPENDENCYPART_ARC
(8,12),-1.12825 # DEPENDENCYPART_ARC
(8,13),-0.24799 # DEPENDENCYPART_ARC
(8,14),0.178591 # DEPENDENCYPART_ARC
(8,16),-1.76621 # DEPENDENCYPART_ARC
(10,1),-1.77151 # DEPENDENCYPART_ARC
(10,6),0.584423 # DEPENDENCYPART_ARC
(10,9),3.48999 # DEPENDENCYPART_ARC
(10,11),2.97058 # DEPENDENCYPART_ARC
(10,12),1.54589 # DEPENDENCYPART_ARC
(10,13),0.125102 # DEPENDENCYPART_ARC
(10,14),1.37524 # DEPENDENCYPART_ARC
(10,16),0.573115 # DEPENDENCYPART_ARC
(10,17),-0.356791 # DEPENDENCYPART_ARC
(10,18),-0.429816 # DEPENDENCYPART_ARC
(10,20),0.346149 # DEPENDENCYPART_ARC
(10,23),0.617695 # DEPENDENCYPART_ARC
(10,24),-0.410745 # DEPENDENCYPART_ARC
(10,28),-0.569492 # DEPENDENCYPART_ARC
(10,30),-3.18141 # DEPENDENCYPART_ARC
(10,31),-4.90193 # DEPENDENCYPART_ARC
(10,32),1.81145 # DEPENDENCYPART_ARC
