# _root_ En el cas del disc de Belén_Alonso , la fotografia de llibret és de Julia_Llona i el disseny de Juanjo_Melgar ; en el disc de Díaz , la fotografia i el disseny del llibret són de Carlos_Roche .
#goldHeads=13,3,1,3,4,3,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,35,24,22,24,25,22,29,35,29,32,29,29,33,13,35,36,13,
#predictedHeads=13,3,1,3,4,5,6,1,10,13,10,11,0,13,14,13,18,13,18,19,13,18,24,22,24,25,22,29,35,29,32,35,32,33,13,35,36,13,
(0,1),-7.70752 # DEPENDENCYPART_ARC
(0,10),-6.58425 # DEPENDENCYPART_ARC
(0,13),-1.99151 # DEPENDENCYPART_ARC
(0,35),-3.71538 # DEPENDENCYPART_ARC
(1,2),-0.900765 # DEPENDENCYPART_ARC
(1,3),3.88494 # DEPENDENCYPART_ARC
(1,4),-0.385391 # DEPENDENCYPART_ARC
(1,5),0.646791 # DEPENDENCYPART_ARC
(1,6),-0.929369 # DEPENDENCYPART_ARC
(1,8),2.44837 # DEPENDENCYPART_ARC
(1,16),-1.14464 # DEPENDENCYPART_ARC
(1,21),-0.0867916 # DEPENDENCYPART_ARC
(1,22),-1.30783 # DEPENDENCYPART_ARC
(1,27),0.0649965 # DEPENDENCYPART_ARC
(2,1),-1.21279 # DEPENDENCYPART_ARC
(2,3),2.03703 # DEPENDENCYPART_ARC
(2,4),-0.263255 # DEPENDENCYPART_ARC
(3,1),0.458214 # DEPENDENCYPART_ARC
(3,2),2.88392 # DEPENDENCYPART_ARC
(3,4),2.96331 # DEPENDENCYPART_ARC
(3,5),0.0358982 # DEPENDENCYPART_ARC
(3,6),2.30568 # DEPENDENCYPART_ARC
(3,7),-0.610458 # DEPENDENCYPART_ARC
(3,8),0.145882 # DEPENDENCYPART_ARC
(3,10),-0.48614 # DEPENDENCYPART_ARC
(3,11),1.54434 # DEPENDENCYPART_ARC
(3,13),-0.00554084 # DEPENDENCYPART_ARC
(3,16),-0.508228 # DEPENDENCYPART_ARC
(3,18),-2.34335 # DEPENDENCYPART_ARC
(4,2),-0.0178142 # DEPENDENCYPART_ARC
(4,5),3.59938 # DEPENDENCYPART_ARC
(4,6),0.0174507 # DEPENDENCYPART_ARC
(4,7),0.206773 # DEPENDENCYPART_ARC
(4,8),-0.681919 # DEPENDENCYPART_ARC
