# _root_ El primer , de 21 quilòmetres , sortirà de la plaça Fra_Bernadí de Manlleu a les set_del_matí .
#goldHeads=2,8,4,2,6,4,4,0,8,11,9,11,11,13,8,17,15,8,
#predictedHeads=2,8,4,2,6,4,4,0,8,11,9,11,11,13,8,17,15,8,
(0,4),-7.0436 # DEPENDENCYPART_ARC
(0,5),-7.43141 # DEPENDENCYPART_ARC
(0,6),-6.57997 # DEPENDENCYPART_ARC
(0,8),-2.39226 # DEPENDENCYPART_ARC
(1,2),-0.202124 # DEPENDENCYPART_ARC
(2,1),1.99128 # DEPENDENCYPART_ARC
(2,3),1.16048 # DEPENDENCYPART_ARC
(2,4),1.02544 # DEPENDENCYPART_ARC
(2,5),0.588652 # DEPENDENCYPART_ARC
(2,6),0.305358 # DEPENDENCYPART_ARC
(2,7),0.0326656 # DEPENDENCYPART_ARC
(2,8),0.745835 # DEPENDENCYPART_ARC
(2,9),-0.973632 # DEPENDENCYPART_ARC
(4,1),-1.08423 # DEPENDENCYPART_ARC
(4,2),-0.634522 # DEPENDENCYPART_ARC
(4,3),2.01881 # DEPENDENCYPART_ARC
(4,5),0.758942 # DEPENDENCYPART_ARC
(4,6),3.06003 # DEPENDENCYPART_ARC
(4,7),2.00565 # DEPENDENCYPART_ARC
(4,8),-1.78195 # DEPENDENCYPART_ARC
(4,9),-1.37439 # DEPENDENCYPART_ARC
(4,13),-1.41006 # DEPENDENCYPART_ARC
(4,18),-0.441658 # DEPENDENCYPART_ARC
(5,3),-0.0464704 # DEPENDENCYPART_ARC
(5,4),0.87158 # DEPENDENCYPART_ARC
(5,6),0.685485 # DEPENDENCYPART_ARC
(5,7),-1.18892 # DEPENDENCYPART_ARC
(5,8),-0.544068 # DEPENDENCYPART_ARC
(5,9),-1.18149 # DEPENDENCYPART_ARC
(5,12),-1.48177 # DEPENDENCYPART_ARC
(6,1),1.01072 # DEPENDENCYPART_ARC
(6,3),0.843172 # DEPENDENCYPART_ARC
(6,4),1.55679 # DEPENDENCYPART_ARC
(6,5),3.23824 # DEPENDENCYPART_ARC
(6,7),0.481638 # DEPENDENCYPART_ARC
(6,8),0.264335 # DEPENDENCYPART_ARC
(6,9),-0.486187 # DEPENDENCYPART_ARC
(6,12),-1.02651 # DEPENDENCYPART_ARC
(6,13),-0.286842 # DEPENDENCYPART_ARC
(6,15),-0.906757 # DEPENDENCYPART_ARC
(6,17),-1.44438 # DEPENDENCYPART_ARC
(6,18),0.249159 # DEPENDENCYPART_ARC
(7,3),-1.37053 # DEPENDENCYPART_ARC
(7,6),-1.88248 # DEPENDENCYPART_ARC
(8,1),-2.70551 # DEPENDENCYPART_ARC
(8,2),-0.59448 # DEPENDENCYPART_ARC
(8,3),0.0370587 # DEPENDENCYPART_ARC
(8,4),-0.131967 # DEPENDENCYPART_ARC
(8,5),-0.0169689 # DEPENDENCYPART_ARC
(8,6),0.381318 # DEPENDENCYPART_ARC
(8,7),0.706863 # DEPENDENCYPART_ARC
(8,9),2.3106 # DEPENDENCYPART_ARC
(8,11),2.2345 # DEPENDENCYPART_ARC
(8,12),1.9172 # DEPENDENCYPART_ARC
(8,13),0.800411 # DEPENDENCYPART_ARC
(8,14),0.0190493 # DEPENDENCYPART_ARC
(8,15),1.93137 # DEPENDENCYPART_ARC
(8,17),1.04521 # DEPENDENCYPART_ARC
(8,18),3.7074 # DEPENDENCYPART_ARC
(9,1),-3.71566 # DEPENDENCYPART_ARC
(9,4),-2.03897 # DEPENDENCYPART_ARC
(9,7),-1.4226 # DEPENDENCYPART_ARC
(9,11),3.90473 # DEPENDENCYPART_ARC
(9,12),0.0857104 # DEPENDENCYPART_ARC
(9,13),0.104983 # DEPENDENCYPART_ARC
(9,15),-1.60708 # DEPENDENCYPART_ARC
(9,17),-1.35986 # DEPENDENCYPART_ARC
(9,18),-0.43358 # DEPENDENCYPART_ARC
(10,9),0.0368183 # DEPENDENCYPART_ARC
(10,11),0.928118 # DEPENDENCYPART_ARC
(11,3),-1.25249 # DEPENDENCYPART_ARC
(11,4),-1.01483 # DEPENDENCYPART_ARC
(11,6),-1.96831 # DEPENDENCYPART_ARC
(11,7),-0.651855 # DEPENDENCYPART_ARC
(11,9),0.723613 # DEPENDENCYPART_ARC
(11,10),3.98499 # DEPENDENCYPART_ARC
(11,12),2.65515 # DEPENDENCYPART_ARC
(11,13),2.35971 # DEPENDENCYPART_ARC
(11,14),0.439782 # DEPENDENCYPART_ARC
(11,15),0.624154 # DEPENDENCYPART_ARC
(11,17),-0.161454 # DEPENDENCYPART_ARC
(11,18),0.726408 # DEPENDENCYPART_ARC
(12,4),-1.00178 # DEPENDENCYPART_ARC
(12,6),-1.99244 # DEPENDENCYPART_ARC
(12,9),0.163314 # DEPENDENCYPART_ARC
(12,10),1.27902 # DEPENDENCYPART_ARC
(12,13),1.393 # DEPENDENCYPART_ARC
(12,14),0.329253 # DEPENDENCYPART_ARC
(12,15),-0.0738147 # DEPENDENCYPART_ARC
(12,17),-0.413001 # DEPENDENCYPART_ARC
(12,18),0.509912 # DEPENDENCYPART_ARC
(13,1),-4.0916 # DEPENDENCYPART_ARC
(13,4),-1.85368 # DEPENDENCYPART_ARC
(13,14),3.21067 # DEPENDENCYPART_ARC
(13,15),-0.641001 # DEPENDENCYPART_ARC
(13,17),-1.24803 # DEPENDENCYPART_ARC
(13,18),-1.20751 # DEPENDENCYPART_ARC
(14,6),-1.92516 # DEPENDENCYPART_ARC
(14,9),-0.389862 # DEPENDENCYPART_ARC
(14,10),0.293364 # DEPENDENCYPART_ARC
(14,12),0.0232332 # DEPENDENCYPART_ARC
(14,13),1.45767 # DEPENDENCYPART_ARC
(14,15),0.432764 # DEPENDENCYPART_ARC
(14,17),-0.917153 # DEPENDENCYPART_ARC
(14,18),-0.459679 # DEPENDENCYPART_ARC
(15,4),-1.99003 # DEPENDENCYPART_ARC
(15,13),-0.161881 # DEPENDENCYPART_ARC
(15,16),-0.990314 # DEPENDENCYPART_ARC
(15,17),2.80925 # DEPENDENCYPART_ARC
(15,18),-0.420138 # DEPENDENCYPART_ARC
(16,13),-1.5553 # DEPENDENCYPART_ARC
(16,15),-0.75994 # DEPENDENCYPART_ARC
(16,17),1.4591 # DEPENDENCYPART_ARC
(17,13),-0.477495 # DEPENDENCYPART_ARC
(17,15),0.243367 # DEPENDENCYPART_ARC
(17,16),2.91531 # DEPENDENCYPART_ARC
(17,18),-0.0972575 # DEPENDENCYPART_ARC
