# _root_ Aquesta iniciativa , que analitzarà el directori de l' FMI , neix de l' experiència i dels resultats de les liberalitzacions totals .
#goldHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
#predictedHeads=2,12,5,5,2,7,5,7,10,8,5,0,12,15,13,13,13,17,18,21,19,21,12,
(0,2),-6.62696 # DEPENDENCYPART_ARC
(0,5),-3.46263 # DEPENDENCYPART_ARC
(0,12),-1.12217 # DEPENDENCYPART_ARC
(2,1),3.43831 # DEPENDENCYPART_ARC
(2,3),-0.263498 # DEPENDENCYPART_ARC
(2,5),2.32442 # DEPENDENCYPART_ARC
(2,7),-0.721113 # DEPENDENCYPART_ARC
(2,8),0.469221 # DEPENDENCYPART_ARC
(2,10),-0.584613 # DEPENDENCYPART_ARC
(2,11),-0.305536 # DEPENDENCYPART_ARC
(2,12),0.18055 # DEPENDENCYPART_ARC
(2,13),-1.28719 # DEPENDENCYPART_ARC
(2,16),-1.06904 # DEPENDENCYPART_ARC
(2,23),0.863539 # DEPENDENCYPART_ARC
(3,2),-1.48253 # DEPENDENCYPART_ARC
(4,5),-0.473378 # DEPENDENCYPART_ARC
(4,7),-2.6399 # DEPENDENCYPART_ARC
(4,8),-1.20299 # DEPENDENCYPART_ARC
(5,1),-1.94383 # DEPENDENCYPART_ARC
(5,2),0.00626788 # DEPENDENCYPART_ARC
(5,3),1.65315 # DEPENDENCYPART_ARC
(5,4),4.05399 # DEPENDENCYPART_ARC
(5,7),3.17034 # DEPENDENCYPART_ARC
(5,8),0.673676 # DEPENDENCYPART_ARC
(5,10),1.29472 # DEPENDENCYPART_ARC
(5,11),1.47335 # DEPENDENCYPART_ARC
(5,12),0.242243 # DEPENDENCYPART_ARC
(5,13),-1.07741 # DEPENDENCYPART_ARC
(5,15),0.307463 # DEPENDENCYPART_ARC
(5,16),0.460954 # DEPENDENCYPART_ARC
(5,19),-1.15053 # DEPENDENCYPART_ARC
(5,23),4.71183 # DEPENDENCYPART_ARC
(6,7),1.51151 # DEPENDENCYPART_ARC
(6,8),-0.149982 # DEPENDENCYPART_ARC
(6,9),-0.982234 # DEPENDENCYPART_ARC
(7,2),-2.43128 # DEPENDENCYPART_ARC
(7,3),-0.791222 # DEPENDENCYPART_ARC
(7,4),-0.372171 # DEPENDENCYPART_ARC
(7,5),-0.312972 # DEPENDENCYPART_ARC
(7,6),2.93852 # DEPENDENCYPART_ARC
(7,8),2.90845 # DEPENDENCYPART_ARC
(7,10),0.941443 # DEPENDENCYPART_ARC
(7,11),0.540295 # DEPENDENCYPART_ARC
(7,12),0.598374 # DEPENDENCYPART_ARC
(7,13),-0.513453 # DEPENDENCYPART_ARC
(7,15),-0.721061 # DEPENDENCYPART_ARC
(7,16),-0.962332 # DEPENDENCYPART_ARC
(7,17),-1.72443 # DEPENDENCYPART_ARC
(7,19),-1.43625 # DEPENDENCYPART_ARC
(7,21),-0.677883 # DEPENDENCYPART_ARC
(7,22),-2.27046 # DEPENDENCYPART_ARC
(7,23),1.00587 # DEPENDENCYPART_ARC
(8,6),-1.15732 # DEPENDENCYPART_ARC
(8,10),3.93492 # DEPENDENCYPART_ARC
(8,11),-0.291138 # DEPENDENCYPART_ARC
(8,12),-1.01356 # DEPENDENCYPART_ARC
(8,13),-0.831463 # DEPENDENCYPART_ARC
(8,16),1.10511 # DEPENDENCYPART_ARC
(8,17),0.80237 # DEPENDENCYPART_ARC
(8,19),-0.892321 # DEPENDENCYPART_ARC
(9,8),-0.0540158 # DEPENDENCYPART_ARC
(10,2),-2.58671 # DEPENDENCYPART_ARC
(10,5),-1.55674 # DEPENDENCYPART_ARC
(10,6),-0.854216 # DEPENDENCYPART_ARC
(10,8),0.701484 # DEPENDENCYPART_ARC
(10,9),3.40266 # DEPENDENCYPART_ARC
(10,11),-0.0157087 # DEPENDENCYPART_ARC
(10,12),0.034505 # DEPENDENCYPART_ARC
(10,13),-1.35587 # DEPENDENCYPART_ARC
(10,19),-2.45228 # DEPENDENCYPART_ARC
(12,2),0.952136 # DEPENDENCYPART_ARC
(12,3),-0.155483 # DEPENDENCYPART_ARC
(12,4),1.67287 # DEPENDENCYPART_ARC
(12,5),-1.06567 # DEPENDENCYPART_ARC
(12,6),-2.09426 # DEPENDENCYPART_ARC
(12,7),0.895666 # DEPENDENCYPART_ARC
(12,8),-0.854461 # DEPENDENCYPART_ARC
(12,9),-1.11245 # DEPENDENCYPART_ARC
(12,10),1.24339 # DEPENDENCYPART_ARC
(12,11),0.503065 # DEPENDENCYPART_ARC
(12,13),1.73833 # DEPENDENCYPART_ARC
