# _root_ Segons va explicar , les peces intervingudes tenen imatges d' inspiració mironiana , però " no reprodueixen dibuixos del pintor " .
#goldHeads=3,3,8,3,6,8,6,0,8,9,10,11,9,8,17,17,8,17,18,19,17,8,
#predictedHeads=3,3,0,3,6,3,6,6,8,9,10,11,8,8,17,17,8,17,18,19,17,3,
(0,1),-5.8825 # DEPENDENCYPART_ARC
(0,2),-5.2802 # DEPENDENCYPART_ARC
(0,3),-4.79356 # DEPENDENCYPART_ARC
(0,6),-8.03161 # DEPENDENCYPART_ARC
(0,8),-3.3873 # DEPENDENCYPART_ARC
(0,17),-3.69024 # DEPENDENCYPART_ARC
(1,2),0.435333 # DEPENDENCYPART_ARC
(1,3),-1.17344 # DEPENDENCYPART_ARC
(1,4),-0.558469 # DEPENDENCYPART_ARC
(1,8),-1.75085 # DEPENDENCYPART_ARC
(2,1),1.7601 # DEPENDENCYPART_ARC
(2,3),0.454328 # DEPENDENCYPART_ARC
(2,4),-0.897226 # DEPENDENCYPART_ARC
(2,6),-1.7811 # DEPENDENCYPART_ARC
(2,8),-1.523 # DEPENDENCYPART_ARC
(2,14),-0.285224 # DEPENDENCYPART_ARC
(2,17),-2.23204 # DEPENDENCYPART_ARC
(2,22),-1.02326 # DEPENDENCYPART_ARC
(3,1),4.0228 # DEPENDENCYPART_ARC
(3,2),5.73632 # DEPENDENCYPART_ARC
(3,4),0.904725 # DEPENDENCYPART_ARC
(3,6),1.70958 # DEPENDENCYPART_ARC
(3,7),1.00768 # DEPENDENCYPART_ARC
(3,8),0.986625 # DEPENDENCYPART_ARC
(3,9),0.707574 # DEPENDENCYPART_ARC
(3,10),-1.4927 # DEPENDENCYPART_ARC
(3,12),-0.940296 # DEPENDENCYPART_ARC
(3,13),-0.161015 # DEPENDENCYPART_ARC
(3,14),0.873583 # DEPENDENCYPART_ARC
(3,15),-1.71858 # DEPENDENCYPART_ARC
(3,17),0.00320067 # DEPENDENCYPART_ARC
(3,18),-0.834498 # DEPENDENCYPART_ARC
(3,21),-0.508245 # DEPENDENCYPART_ARC
(3,22),3.70188 # DEPENDENCYPART_ARC
(5,6),-0.734192 # DEPENDENCYPART_ARC
(6,1),-1.31154 # DEPENDENCYPART_ARC
(6,3),-2.06421 # DEPENDENCYPART_ARC
(6,4),0.877551 # DEPENDENCYPART_ARC
(6,5),3.65328 # DEPENDENCYPART_ARC
(6,7),4.89688 # DEPENDENCYPART_ARC
(6,8),1.69808 # DEPENDENCYPART_ARC
(6,9),0.11431 # DEPENDENCYPART_ARC
(6,10),0.508714 # DEPENDENCYPART_ARC
(6,12),-0.889944 # DEPENDENCYPART_ARC
(6,13),-0.558915 # DEPENDENCYPART_ARC
(6,14),-0.692504 # DEPENDENCYPART_ARC
(6,15),-0.706598 # DEPENDENCYPART_ARC
(6,17),-1.24314 # DEPENDENCYPART_ARC
(6,18),-0.771381 # DEPENDENCYPART_ARC
(6,19),-1.56505 # DEPENDENCYPART_ARC
(6,21),-0.89556 # DEPENDENCYPART_ARC
(6,22),-0.96012 # DEPENDENCYPART_ARC
(7,4),-0.512051 # DEPENDENCYPART_ARC
(7,5),-0.260204 # DEPENDENCYPART_ARC
(7,6),-0.673928 # DEPENDENCYPART_ARC
(7,8),0.139702 # DEPENDENCYPART_ARC
