# _root_ En xifres globals , a Catalunya han mort 240 persones durant els cinc primers mesos de l' any , la xifra més alta des_de 1994 segons dades de la Prefectura_de_Trànsit_de_Barcelona .
#goldHeads=8,1,2,1,8,5,8,0,10,8,8,15,12,15,11,15,18,16,21,21,10,23,21,23,24,8,26,27,30,28,8,
#predictedHeads=8,1,2,1,8,5,8,0,10,8,8,15,12,15,11,15,18,16,21,21,10,23,21,21,24,8,26,27,30,28,8,
(0,1),-7.33402 # DEPENDENCYPART_ARC
(0,7),-2.52744 # DEPENDENCYPART_ARC
(0,8),-3.15739 # DEPENDENCYPART_ARC
(0,10),-6.50596 # DEPENDENCYPART_ARC
(1,2),5.09946 # DEPENDENCYPART_ARC
(1,3),0.459802 # DEPENDENCYPART_ARC
(1,4),2.19209 # DEPENDENCYPART_ARC
(1,5),0.0284723 # DEPENDENCYPART_ARC
(1,6),-0.405206 # DEPENDENCYPART_ARC
(1,19),-0.0599928 # DEPENDENCYPART_ARC
(2,3),3.66843 # DEPENDENCYPART_ARC
(2,4),-0.407293 # DEPENDENCYPART_ARC
(2,5),0.288391 # DEPENDENCYPART_ARC
(2,6),-0.179124 # DEPENDENCYPART_ARC
(2,7),0.390691 # DEPENDENCYPART_ARC
(2,8),-0.474763 # DEPENDENCYPART_ARC
(2,9),-1.86228 # DEPENDENCYPART_ARC
(2,10),-0.955349 # DEPENDENCYPART_ARC
(2,11),-1.03408 # DEPENDENCYPART_ARC
(2,15),-1.24187 # DEPENDENCYPART_ARC
(2,16),-2.04279 # DEPENDENCYPART_ARC
(2,21),-0.816902 # DEPENDENCYPART_ARC
(2,31),-1.51518 # DEPENDENCYPART_ARC
(3,1),0.58618 # DEPENDENCYPART_ARC
(3,4),-0.00166719 # DEPENDENCYPART_ARC
(3,5),0.197652 # DEPENDENCYPART_ARC
(3,11),-1.99942 # DEPENDENCYPART_ARC
(4,3),-0.384112 # DEPENDENCYPART_ARC
(5,1),-1.37579 # DEPENDENCYPART_ARC
(5,3),-0.88661 # DEPENDENCYPART_ARC
(5,4),1.07931 # DEPENDENCYPART_ARC
(5,6),3.24471 # DEPENDENCYPART_ARC
(5,7),-0.459103 # DEPENDENCYPART_ARC
(5,9),-2.93705 # DEPENDENCYPART_ARC
(5,10),-1.92395 # DEPENDENCYPART_ARC
(5,19),-0.886403 # DEPENDENCYPART_ARC
(6,1),-1.86461 # DEPENDENCYPART_ARC
(6,4),-1.48419 # DEPENDENCYPART_ARC
(6,5),0.586644 # DEPENDENCYPART_ARC
(6,7),-0.9589 # DEPENDENCYPART_ARC
(7,1),-0.716686 # DEPENDENCYPART_ARC
(7,4),-1.63565 # DEPENDENCYPART_ARC
(7,5),-0.289302 # DEPENDENCYPART_ARC
(7,6),-1.43916 # DEPENDENCYPART_ARC
(7,8),-0.571773 # DEPENDENCYPART_ARC
(7,9),-2.53302 # DEPENDENCYPART_ARC
(7,10),-0.919855 # DEPENDENCYPART_ARC
(7,11),-1.15375 # DEPENDENCYPART_ARC
(7,15),-2.80111 # DEPENDENCYPART_ARC
(7,26),-2.02085 # DEPENDENCYPART_ARC
(7,31),0.397232 # DEPENDENCYPART_ARC
(8,1),2.09473 # DEPENDENCYPART_ARC
(8,2),0.97846 # DEPENDENCYPART_ARC
(8,3),-0.191748 # DEPENDENCYPART_ARC
(8,4),1.32554 # DEPENDENCYPART_ARC
(8,5),2.25068 # DEPENDENCYPART_ARC
(8,6),1.80983 # DEPENDENCYPART_ARC
(8,7),5.32534 # DEPENDENCYPART_ARC
(8,9),0.527472 # DEPENDENCYPART_ARC
(8,10),3.23205 # DEPENDENCYPART_ARC
(8,11),2.55938 # DEPENDENCYPART_ARC
(8,14),-0.19943 # DEPENDENCYPART_ARC
(8,15),0.088521 # DEPENDENCYPART_ARC
