# _root_ La resolució , en_atenció_a aquestes falsedats i mala fe , imposa les costes del procediment als defensors per ' temeritat ' .
#goldHeads=2,11,4,11,6,4,6,9,6,4,0,13,11,13,14,11,16,11,20,18,20,11,
#predictedHeads=2,11,4,11,6,4,2,9,11,4,0,13,11,13,14,11,16,11,20,18,20,11,
(0,2),-6.68152 # DEPENDENCYPART_ARC
(0,9),-7.27954 # DEPENDENCYPART_ARC
(0,11),-2.62846 # DEPENDENCYPART_ARC
(1,2),-0.199553 # DEPENDENCYPART_ARC
(2,1),4.00228 # DEPENDENCYPART_ARC
(2,3),0.55742 # DEPENDENCYPART_ARC
(2,4),1.00605 # DEPENDENCYPART_ARC
(2,6),1.23928 # DEPENDENCYPART_ARC
(2,7),1.23462 # DEPENDENCYPART_ARC
(2,8),0.753087 # DEPENDENCYPART_ARC
(2,9),1.01444 # DEPENDENCYPART_ARC
(2,10),-0.246711 # DEPENDENCYPART_ARC
(2,11),0.125617 # DEPENDENCYPART_ARC
(2,13),-0.539364 # DEPENDENCYPART_ARC
(2,14),-0.590276 # DEPENDENCYPART_ARC
(2,16),-0.209666 # DEPENDENCYPART_ARC
(2,18),0.241119 # DEPENDENCYPART_ARC
(2,19),0.293427 # DEPENDENCYPART_ARC
(2,20),-1.12652 # DEPENDENCYPART_ARC
(2,21),-0.652388 # DEPENDENCYPART_ARC
(2,22),0.0928177 # DEPENDENCYPART_ARC
(3,2),-1.80051 # DEPENDENCYPART_ARC
(4,1),-0.998947 # DEPENDENCYPART_ARC
(4,2),-1.23723 # DEPENDENCYPART_ARC
(4,3),1.83101 # DEPENDENCYPART_ARC
(4,6),3.44243 # DEPENDENCYPART_ARC
(4,7),0.300775 # DEPENDENCYPART_ARC
(4,8),-0.844849 # DEPENDENCYPART_ARC
(4,9),0.225963 # DEPENDENCYPART_ARC
(4,10),1.84647 # DEPENDENCYPART_ARC
(4,11),-2.50927 # DEPENDENCYPART_ARC
(4,14),-1.90903 # DEPENDENCYPART_ARC
(4,16),-1.85975 # DEPENDENCYPART_ARC
(4,19),-0.861524 # DEPENDENCYPART_ARC
(4,21),-0.438448 # DEPENDENCYPART_ARC
(4,22),-0.265933 # DEPENDENCYPART_ARC
(6,1),-0.93472 # DEPENDENCYPART_ARC
(6,2),-2.32357 # DEPENDENCYPART_ARC
(6,3),-1.11363 # DEPENDENCYPART_ARC
(6,4),0.183446 # DEPENDENCYPART_ARC
(6,5),3.28114 # DEPENDENCYPART_ARC
(6,7),0.675132 # DEPENDENCYPART_ARC
(6,8),-0.51795 # DEPENDENCYPART_ARC
(6,9),0.462393 # DEPENDENCYPART_ARC
(6,10),-1.06153 # DEPENDENCYPART_ARC
(6,11),-0.545185 # DEPENDENCYPART_ARC
(6,13),-0.165772 # DEPENDENCYPART_ARC
(6,14),-0.607611 # DEPENDENCYPART_ARC
(6,16),-0.93738 # DEPENDENCYPART_ARC
(6,18),-1.55945 # DEPENDENCYPART_ARC
(6,20),-1.52276 # DEPENDENCYPART_ARC
(6,22),-1.24108 # DEPENDENCYPART_ARC
(8,3),-0.231736 # DEPENDENCYPART_ARC
(8,4),0.185019 # DEPENDENCYPART_ARC
(8,6),-1.29583 # DEPENDENCYPART_ARC
(8,7),0.690211 # DEPENDENCYPART_ARC
(8,9),0.00299635 # DEPENDENCYPART_ARC
(8,10),-1.18814 # DEPENDENCYPART_ARC
(8,11),-1.55575 # DEPENDENCYPART_ARC
(9,2),-0.947999 # DEPENDENCYPART_ARC
(9,3),0.0249146 # DEPENDENCYPART_ARC
(9,4),-0.022681 # DEPENDENCYPART_ARC
(9,5),0.82105 # DEPENDENCYPART_ARC
(9,6),-0.00565719 # DEPENDENCYPART_ARC
(9,7),0.752363 # DEPENDENCYPART_ARC
(9,8),3.35198 # DEPENDENCYPART_ARC
(9,10),0.171138 # DEPENDENCYPART_ARC
(9,11),0.308584 # DEPENDENCYPART_ARC
(9,13),-0.98163 # DEPENDENCYPART_ARC
(9,14),-0.867322 # DEPENDENCYPART_ARC
(9,16),-1.56553 # DEPENDENCYPART_ARC
(9,18),-1.70444 # DEPENDENCYPART_ARC
