# _root_ El conseller , contràriament , va defensar que l' ànim del govern català sempre ha estat " el d' ajudar el Barça " .
#goldHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,19,19,16,19,22,20,19,7,
#predictedHeads=2,7,4,7,4,7,0,16,10,16,10,11,12,16,16,7,20,19,16,19,22,20,20,7,
(0,2),-6.7671 # DEPENDENCYPART_ARC
(0,6),-2.44767 # DEPENDENCYPART_ARC
(0,7),-3.13576 # DEPENDENCYPART_ARC
(0,15),-3.70895 # DEPENDENCYPART_ARC
(0,16),-4.87672 # DEPENDENCYPART_ARC
(0,20),-5.04459 # DEPENDENCYPART_ARC
(1,2),-0.48069 # DEPENDENCYPART_ARC
(2,1),3.47236 # DEPENDENCYPART_ARC
(2,3),0.865646 # DEPENDENCYPART_ARC
(2,4),0.100508 # DEPENDENCYPART_ARC
(2,5),0.716025 # DEPENDENCYPART_ARC
(2,6),-0.00105014 # DEPENDENCYPART_ARC
(2,7),-0.110422 # DEPENDENCYPART_ARC
(2,8),-1.14777 # DEPENDENCYPART_ARC
(2,10),-1.35604 # DEPENDENCYPART_ARC
(2,11),-1.04597 # DEPENDENCYPART_ARC
(2,13),0.0501359 # DEPENDENCYPART_ARC
(2,17),-0.387399 # DEPENDENCYPART_ARC
(2,22),-2.3626 # DEPENDENCYPART_ARC
(2,24),0.543355 # DEPENDENCYPART_ARC
(3,2),-1.70874 # DEPENDENCYPART_ARC
(4,2),-1.46425 # DEPENDENCYPART_ARC
(4,3),2.19251 # DEPENDENCYPART_ARC
(4,5),2.7744 # DEPENDENCYPART_ARC
(4,6),0.044892 # DEPENDENCYPART_ARC
(4,7),-0.877399 # DEPENDENCYPART_ARC
(4,8),-1.14826 # DEPENDENCYPART_ARC
(4,11),-1.37373 # DEPENDENCYPART_ARC
(4,14),-1.79372 # DEPENDENCYPART_ARC
(4,16),-2.15076 # DEPENDENCYPART_ARC
(4,17),-0.0201954 # DEPENDENCYPART_ARC
