# _root_ Aquell dia es va presentar un llibre d' un rigor científic lluny_de tot folklorisme , realitzat per l' historiador i arqueòleg Marc_Sureda_i_Jubany , també gran especialista en temes religiosos .
#goldHeads=2,5,5,5,0,7,5,7,10,8,10,10,14,12,16,7,16,19,17,19,19,19,26,26,26,19,26,27,28,5,
#predictedHeads=2,5,5,5,0,7,5,7,10,8,10,7,14,12,16,7,16,19,17,19,19,7,16,25,26,7,26,27,28,5,
(0,2),-6.54352 # DEPENDENCYPART_ARC
(0,4),-4.19638 # DEPENDENCYPART_ARC
(0,5),-3.88218 # DEPENDENCYPART_ARC
(2,1),3.03946 # DEPENDENCYPART_ARC
(2,4),-0.911978 # DEPENDENCYPART_ARC
(2,5),-0.832316 # DEPENDENCYPART_ARC
(2,8),-2.51867 # DEPENDENCYPART_ARC
(2,16),-1.93475 # DEPENDENCYPART_ARC
(2,22),-3.24886 # DEPENDENCYPART_ARC
(2,30),-2.07503 # DEPENDENCYPART_ARC
(4,2),-0.868375 # DEPENDENCYPART_ARC
(4,3),1.15106 # DEPENDENCYPART_ARC
(4,5),0.872552 # DEPENDENCYPART_ARC
(4,7),-0.891031 # DEPENDENCYPART_ARC
(4,8),-1.41504 # DEPENDENCYPART_ARC
(4,12),-0.567574 # DEPENDENCYPART_ARC
(4,30),1.01191 # DEPENDENCYPART_ARC
(5,1),-0.600601 # DEPENDENCYPART_ARC
(5,2),1.43553 # DEPENDENCYPART_ARC
(5,3),3.41079 # DEPENDENCYPART_ARC
(5,4),5.55538 # DEPENDENCYPART_ARC
(5,7),3.38248 # DEPENDENCYPART_ARC
(5,8),1.06065 # DEPENDENCYPART_ARC
(5,10),1.53832 # DEPENDENCYPART_ARC
(5,11),0.228545 # DEPENDENCYPART_ARC
(5,12),1.56279 # DEPENDENCYPART_ARC
(5,14),0.426499 # DEPENDENCYPART_ARC
(5,15),-0.532027 # DEPENDENCYPART_ARC
(5,16),0.205852 # DEPENDENCYPART_ARC
(5,17),0.46917 # DEPENDENCYPART_ARC
(5,19),0.495585 # DEPENDENCYPART_ARC
(5,20),0.533698 # DEPENDENCYPART_ARC
(5,21),-0.351815 # DEPENDENCYPART_ARC
(5,22),-0.184652 # DEPENDENCYPART_ARC
(5,23),-0.96768 # DEPENDENCYPART_ARC
(5,24),-1.922 # DEPENDENCYPART_ARC
(5,26),-0.0956652 # DEPENDENCYPART_ARC
