# _root_ El port de Tarragona rebrà , durant tot el mes_de_juny , fins_a cinc creuers de luxe i vora mil passatgers .
#goldHeads=2,5,2,3,0,7,5,9,10,7,7,13,14,5,14,15,14,19,20,14,5,
#predictedHeads=2,5,2,3,0,7,5,9,10,7,7,13,14,5,14,15,14,19,20,14,5,
(0,2),-7.58203 # DEPENDENCYPART_ARC
(0,5),-2.19746 # DEPENDENCYPART_ARC
(1,2),0.861037 # DEPENDENCYPART_ARC
(1,3),0.617166 # DEPENDENCYPART_ARC
(2,1),2.93479 # DEPENDENCYPART_ARC
(2,3),3.85706 # DEPENDENCYPART_ARC
(2,4),1.02085 # DEPENDENCYPART_ARC
(2,5),1.33648 # DEPENDENCYPART_ARC
(2,6),-0.227785 # DEPENDENCYPART_ARC
(2,7),-0.494559 # DEPENDENCYPART_ARC
(2,8),-1.56706 # DEPENDENCYPART_ARC
(2,10),-0.579819 # DEPENDENCYPART_ARC
(2,11),-0.649495 # DEPENDENCYPART_ARC
(2,12),-0.381056 # DEPENDENCYPART_ARC
(2,14),-0.975278 # DEPENDENCYPART_ARC
(2,15),-0.979744 # DEPENDENCYPART_ARC
(2,17),-0.948492 # DEPENDENCYPART_ARC
(2,18),-1.37152 # DEPENDENCYPART_ARC
(2,19),-1.18101 # DEPENDENCYPART_ARC
(2,20),-0.386323 # DEPENDENCYPART_ARC
(2,21),1.11355 # DEPENDENCYPART_ARC
(3,1),-1.01431 # DEPENDENCYPART_ARC
(3,4),3.64353 # DEPENDENCYPART_ARC
(3,5),-1.15094 # DEPENDENCYPART_ARC
(3,6),-0.446128 # DEPENDENCYPART_ARC
(3,7),-1.56689 # DEPENDENCYPART_ARC
(3,10),-3.03739 # DEPENDENCYPART_ARC
(4,1),-0.282296 # DEPENDENCYPART_ARC
(4,10),-2.93095 # DEPENDENCYPART_ARC
(4,14),-3.62634 # DEPENDENCYPART_ARC
(4,20),-2.61914 # DEPENDENCYPART_ARC
(5,1),-1.81118 # DEPENDENCYPART_ARC
(5,2),2.08834 # DEPENDENCYPART_ARC
(5,3),0.36679 # DEPENDENCYPART_ARC
(5,4),1.35831 # DEPENDENCYPART_ARC
(5,6),0.514104 # DEPENDENCYPART_ARC
(5,7),2.49791 # DEPENDENCYPART_ARC
(5,10),0.713551 # DEPENDENCYPART_ARC
(5,11),0.00421854 # DEPENDENCYPART_ARC
(5,12),-0.144079 # DEPENDENCYPART_ARC
(5,14),0.839975 # DEPENDENCYPART_ARC
(5,15),-0.70665 # DEPENDENCYPART_ARC
(5,16),-0.316923 # DEPENDENCYPART_ARC
(5,17),0.684116 # DEPENDENCYPART_ARC
(5,18),-1.31408 # DEPENDENCYPART_ARC
(5,19),-0.654978 # DEPENDENCYPART_ARC
(5,20),-0.197018 # DEPENDENCYPART_ARC
(5,21),4.89982 # DEPENDENCYPART_ARC
(7,1),-3.06106 # DEPENDENCYPART_ARC
(7,6),2.03363 # DEPENDENCYPART_ARC
(7,8),-0.100255 # DEPENDENCYPART_ARC
(7,10),2.08817 # DEPENDENCYPART_ARC
(7,11),2.78407 # DEPENDENCYPART_ARC
(7,12),0.122998 # DEPENDENCYPART_ARC
(7,14),0.296511 # DEPENDENCYPART_ARC
(7,15),-0.521853 # DEPENDENCYPART_ARC
(7,16),-1.38777 # DEPENDENCYPART_ARC
(7,17),0.871287 # DEPENDENCYPART_ARC
(7,18),0.163901 # DEPENDENCYPART_ARC
(7,20),-2.05413 # DEPENDENCYPART_ARC
(7,21),1.59369 # DEPENDENCYPART_ARC
