# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(0,2),-7.5113 # DEPENDENCYPART_ARC
(0,7),-4.42277 # DEPENDENCYPART_ARC
(0,8),-3.5439 # DEPENDENCYPART_ARC
(0,12),-5.87074 # DEPENDENCYPART_ARC
(0,18),-5.76199 # DEPENDENCYPART_ARC
(0,20),-6.15836 # DEPENDENCYPART_ARC
(1,2),1.59452 # DEPENDENCYPART_ARC
(1,3),0.354054 # DEPENDENCYPART_ARC
(1,4),0.170893 # DEPENDENCYPART_ARC
(2,1),3.56998 # DEPENDENCYPART_ARC
(2,3),3.21528 # DEPENDENCYPART_ARC
(2,5),1.08846 # DEPENDENCYPART_ARC
(2,7),1.0497 # DEPENDENCYPART_ARC
(2,8),0.650415 # DEPENDENCYPART_ARC
(2,9),-0.717367 # DEPENDENCYPART_ARC
(2,10),-1.64608 # DEPENDENCYPART_ARC
(2,11),-1.31977 # DEPENDENCYPART_ARC
(2,12),-1.77057 # DEPENDENCYPART_ARC
(2,13),-0.661773 # DEPENDENCYPART_ARC
(2,14),-1.15548 # DEPENDENCYPART_ARC
(2,15),-2.86169 # DEPENDENCYPART_ARC
(2,16),-0.389436 # DEPENDENCYPART_ARC
(2,23),1.20005 # DEPENDENCYPART_ARC
(3,1),-0.532773 # DEPENDENCYPART_ARC
(3,4),-1.30217 # DEPENDENCYPART_ARC
(3,5),4.21247 # DEPENDENCYPART_ARC
(3,7),0.00797034 # DEPENDENCYPART_ARC
(3,8),-0.549012 # DEPENDENCYPART_ARC
(3,9),-1.21273 # DEPENDENCYPART_ARC
(3,11),-3.32115 # DEPENDENCYPART_ARC
(3,12),-2.76489 # DEPENDENCYPART_ARC
(4,2),-0.833318 # DEPENDENCYPART_ARC
(4,3),0.0626479 # DEPENDENCYPART_ARC
(4,5),0.416217 # DEPENDENCYPART_ARC
(5,1),0.0123905 # DEPENDENCYPART_ARC
(5,3),-0.424532 # DEPENDENCYPART_ARC
(5,4),3.23403 # DEPENDENCYPART_ARC
(5,7),-0.807538 # DEPENDENCYPART_ARC
(5,8),-1.21943 # DEPENDENCYPART_ARC
(5,11),-3.85604 # DEPENDENCYPART_ARC
(5,12),-3.41055 # DEPENDENCYPART_ARC
(5,14),-3.66419 # DEPENDENCYPART_ARC
(5,23),-0.910774 # DEPENDENCYPART_ARC
(7,2),-1.14915 # DEPENDENCYPART_ARC
(7,5),-0.784567 # DEPENDENCYPART_ARC
(7,6),0.938448 # DEPENDENCYPART_ARC
(7,8),0.349083 # DEPENDENCYPART_ARC
(7,9),-0.063758 # DEPENDENCYPART_ARC
(7,12),-1.75125 # DEPENDENCYPART_ARC
(7,13),-1.16631 # DEPENDENCYPART_ARC
(7,14),-2.05282 # DEPENDENCYPART_ARC
(7,18),-2.84552 # DEPENDENCYPART_ARC
(7,19),-1.93622 # DEPENDENCYPART_ARC
(7,20),-3.12192 # DEPENDENCYPART_ARC
(7,23),0.666516 # DEPENDENCYPART_ARC
(8,1),-1.18945 # DEPENDENCYPART_ARC
(8,2),1.32151 # DEPENDENCYPART_ARC
(8,3),-0.0928692 # DEPENDENCYPART_ARC
(8,4),-0.534124 # DEPENDENCYPART_ARC
(8,5),2.09271 # DEPENDENCYPART_ARC
(8,6),3.44516 # DEPENDENCYPART_ARC
(8,7),5.26269 # DEPENDENCYPART_ARC
(8,9),2.74457 # DEPENDENCYPART_ARC
(8,10),-0.984096 # DEPENDENCYPART_ARC
(8,11),-1.1906 # DEPENDENCYPART_ARC
(8,12),1.65615 # DEPENDENCYPART_ARC
(8,13),0.0594243 # DEPENDENCYPART_ARC
(8,14),-0.567811 # DEPENDENCYPART_ARC
(8,15),-0.645116 # DEPENDENCYPART_ARC
(8,16),0.426519 # DEPENDENCYPART_ARC
(8,17),-0.0224759 # DEPENDENCYPART_ARC
(8,18),0.209576 # DEPENDENCYPART_ARC
(8,19),-0.896449 # DEPENDENCYPART_ARC
(8,20),-0.516742 # DEPENDENCYPART_ARC
(8,22),-3.3009 # DEPENDENCYPART_ARC
(8,23),4.60487 # DEPENDENCYPART_ARC
(9,8),-0.0177269 # DEPENDENCYPART_ARC
(9,10),0.22038 # DEPENDENCYPART_ARC
(9,11),0.482202 # DEPENDENCYPART_ARC
