# _root_ I si a això hi sumem l' esgotament a què està arribant CiU , al costat dels conflictes interns que viu la formació , jo crec que de tot això n' ha de treure un benefici electoral ERC .
#goldHeads=26,6,6,3,6,26,8,6,12,9,12,8,12,15,6,15,16,17,18,21,18,23,21,6,26,0,34,34,30,28,34,34,34,26,36,34,36,34,26,
#predictedHeads=6,6,6,3,6,12,8,6,12,9,12,0,12,15,12,15,16,17,18,21,16,23,21,26,26,23,34,34,30,28,34,34,34,26,36,34,36,34,12,
(0,2),-6.09995 # DEPENDENCYPART_ARC
(0,3),-6.83327 # DEPENDENCYPART_ARC
(0,4),-6.78213 # DEPENDENCYPART_ARC
(0,5),-6.59899 # DEPENDENCYPART_ARC
(0,6),-6.49564 # DEPENDENCYPART_ARC
(0,11),-5.64264 # DEPENDENCYPART_ARC
(0,12),-7.41595 # DEPENDENCYPART_ARC
(0,21),-6.7635 # DEPENDENCYPART_ARC
(0,26),-5.45118 # DEPENDENCYPART_ARC
(0,32),-6.46119 # DEPENDENCYPART_ARC
(2,1),-0.281736 # DEPENDENCYPART_ARC
(2,3),-0.566723 # DEPENDENCYPART_ARC
(2,4),-0.87807 # DEPENDENCYPART_ARC
(2,6),-0.700179 # DEPENDENCYPART_ARC
(3,1),-0.695133 # DEPENDENCYPART_ARC
(3,2),0.324302 # DEPENDENCYPART_ARC
(3,4),3.95222 # DEPENDENCYPART_ARC
(3,5),1.0978 # DEPENDENCYPART_ARC
(3,6),1.88453 # DEPENDENCYPART_ARC
(3,8),-2.90818 # DEPENDENCYPART_ARC
(3,12),-1.4616 # DEPENDENCYPART_ARC
(4,3),0.248375 # DEPENDENCYPART_ARC
(4,6),0.635129 # DEPENDENCYPART_ARC
(4,8),-2.06168 # DEPENDENCYPART_ARC
(4,9),-1.6629 # DEPENDENCYPART_ARC
(4,39),2.14808 # DEPENDENCYPART_ARC
(5,2),-1.26923 # DEPENDENCYPART_ARC
(5,8),-2.33124 # DEPENDENCYPART_ARC
(5,12),-1.85105 # DEPENDENCYPART_ARC
(6,1),1.47303 # DEPENDENCYPART_ARC
(6,2),3.16083 # DEPENDENCYPART_ARC
(6,3),3.78397 # DEPENDENCYPART_ARC
(6,4),1.15827 # DEPENDENCYPART_ARC
(6,5),3.62893 # DEPENDENCYPART_ARC
(6,8),2.69279 # DEPENDENCYPART_ARC
(6,9),1.74782 # DEPENDENCYPART_ARC
(6,11),1.35846 # DEPENDENCYPART_ARC
(6,12),0.638171 # DEPENDENCYPART_ARC
(6,13),0.482282 # DEPENDENCYPART_ARC
(6,14),0.481933 # DEPENDENCYPART_ARC
(6,15),0.0123522 # DEPENDENCYPART_ARC
(6,16),-1.14566 # DEPENDENCYPART_ARC
(6,17),-1.46368 # DEPENDENCYPART_ARC
(6,18),-0.351928 # DEPENDENCYPART_ARC
(6,19),-0.228092 # DEPENDENCYPART_ARC
(6,21),0.151256 # DEPENDENCYPART_ARC
(6,23),-1.25002 # DEPENDENCYPART_ARC
(6,24),0.0605744 # DEPENDENCYPART_ARC
(6,26),0.588309 # DEPENDENCYPART_ARC
(6,30),-1.43177 # DEPENDENCYPART_ARC
(6,32),-0.449732 # DEPENDENCYPART_ARC
(6,34),-1.46266 # DEPENDENCYPART_ARC
(6,36),-3.50674 # DEPENDENCYPART_ARC
(6,38),-2.1529 # DEPENDENCYPART_ARC
(6,39),3.62476 # DEPENDENCYPART_ARC
(7,9),-1.10006 # DEPENDENCYPART_ARC
(8,1),-1.3487 # DEPENDENCYPART_ARC
(8,2),-0.845496 # DEPENDENCYPART_ARC
(8,3),0.576271 # DEPENDENCYPART_ARC
(8,5),-0.100363 # DEPENDENCYPART_ARC
(8,6),-2.12177 # DEPENDENCYPART_ARC
(8,7),3.07078 # DEPENDENCYPART_ARC
(8,9),0.932483 # DEPENDENCYPART_ARC
(8,11),1.74914 # DEPENDENCYPART_ARC
(8,12),0.814498 # DEPENDENCYPART_ARC
(8,13),-0.91139 # DEPENDENCYPART_ARC
(8,15),-0.843973 # DEPENDENCYPART_ARC
(8,17),-0.156854 # DEPENDENCYPART_ARC
(8,19),-1.56026 # DEPENDENCYPART_ARC
(8,21),0.114166 # DEPENDENCYPART_ARC
(8,26),-0.395042 # DEPENDENCYPART_ARC
(8,39),1.76661 # DEPENDENCYPART_ARC
(9,7),-1.99543 # DEPENDENCYPART_ARC
(9,8),-1.3302 # DEPENDENCYPART_ARC
(9,10),4.48271 # DEPENDENCYPART_ARC
(9,11),1.07049 # DEPENDENCYPART_ARC
(9,12),-0.0826918 # DEPENDENCYPART_ARC
(9,13),-2.26419 # DEPENDENCYPART_ARC
(9,15),-1.21588 # DEPENDENCYPART_ARC
(10,9),1.23042 # DEPENDENCYPART_ARC
(10,11),-0.164478 # DEPENDENCYPART_ARC
(10,12),-1.71414 # DEPENDENCYPART_ARC
(10,15),-2.74057 # DEPENDENCYPART_ARC
(11,1),-0.898332 # DEPENDENCYPART_ARC
(11,2),0.42155 # DEPENDENCYPART_ARC
(11,3),0.692227 # DEPENDENCYPART_ARC
(11,4),-1.69839 # DEPENDENCYPART_ARC
(11,5),-0.881708 # DEPENDENCYPART_ARC
(11,6),-0.932443 # DEPENDENCYPART_ARC
(11,8),-0.321698 # DEPENDENCYPART_ARC
(11,9),1.21125 # DEPENDENCYPART_ARC
(11,10),1.1126 # DEPENDENCYPART_ARC
(11,12),2.05209 # DEPENDENCYPART_ARC
(11,13),1.28287 # DEPENDENCYPART_ARC
(11,14),-0.0685945 # DEPENDENCYPART_ARC
(11,15),-0.0260872 # DEPENDENCYPART_ARC
(11,16),-1.53642 # DEPENDENCYPART_ARC
(11,17),-2.04586 # DEPENDENCYPART_ARC
(11,21),-0.980878 # DEPENDENCYPART_ARC
(11,23),-1.62297 # DEPENDENCYPART_ARC
(11,24),-0.401375 # DEPENDENCYPART_ARC
(11,30),-1.3899 # DEPENDENCYPART_ARC
(11,39),4.90898 # DEPENDENCYPART_ARC
(12,1),1.17463 # DEPENDENCYPART_ARC
(12,2),1.9187 # DEPENDENCYPART_ARC
(12,3),2.26446 # DEPENDENCYPART_ARC
(12,4),-0.32089 # DEPENDENCYPART_ARC
(12,5),0.573211 # DEPENDENCYPART_ARC
(12,6),2.10158 # DEPENDENCYPART_ARC
(12,7),-0.169815 # DEPENDENCYPART_ARC
(12,8),0.552601 # DEPENDENCYPART_ARC
(12,9),2.66014 # DEPENDENCYPART_ARC
(12,10),2.10006 # DEPENDENCYPART_ARC
(12,11),5.15693 # DEPENDENCYPART_ARC
(12,13),3.03178 # DEPENDENCYPART_ARC
(12,14),0.170261 # DEPENDENCYPART_ARC
(12,15),1.63377 # DEPENDENCYPART_ARC
(12,16),-0.522443 # DEPENDENCYPART_ARC
(12,17),-0.290206 # DEPENDENCYPART_ARC
(12,18),-0.69763 # DEPENDENCYPART_ARC
(12,19),-0.878019 # DEPENDENCYPART_ARC
(12,21),0.0410468 # DEPENDENCYPART_ARC
(12,23),-1.04609 # DEPENDENCYPART_ARC
(12,24),-0.52891 # DEPENDENCYPART_ARC
(12,26),0.118245 # DEPENDENCYPART_ARC
(12,30),-0.727472 # DEPENDENCYPART_ARC
(12,39),6.04374 # DEPENDENCYPART_ARC
(13,11),-2.38264 # DEPENDENCYPART_ARC
(13,14),-0.209743 # DEPENDENCYPART_ARC
(13,15),-0.827155 # DEPENDENCYPART_ARC
(13,16),-0.0532414 # DEPENDENCYPART_ARC
(13,17),-0.468162 # DEPENDENCYPART_ARC
(13,18),-0.539786 # DEPENDENCYPART_ARC
(13,19),-0.0554679 # DEPENDENCYPART_ARC
(13,21),0.341383 # DEPENDENCYPART_ARC
(13,23),-1.99087 # DEPENDENCYPART_ARC
(13,26),-0.0797673 # DEPENDENCYPART_ARC
(15,14),1.97052 # DEPENDENCYPART_ARC
(15,16),3.0875 # DEPENDENCYPART_ARC
(15,17),-0.164261 # DEPENDENCYPART_ARC
(15,18),-0.211835 # DEPENDENCYPART_ARC
(15,24),0.179209 # DEPENDENCYPART_ARC
(15,27),-1.25033 # DEPENDENCYPART_ARC
(16,14),-1.37774 # DEPENDENCYPART_ARC
(16,17),2.9561 # DEPENDENCYPART_ARC
(16,18),0.57086 # DEPENDENCYPART_ARC
(16,19),0.308999 # DEPENDENCYPART_ARC
(16,21),1.8969 # DEPENDENCYPART_ARC
(16,23),-1.49586 # DEPENDENCYPART_ARC
(16,26),1.02423 # DEPENDENCYPART_ARC
(16,32),0.246647 # DEPENDENCYPART_ARC
(16,34),0.115123 # DEPENDENCYPART_ARC
(17,18),4.25692 # DEPENDENCYPART_ARC
(17,19),-0.44516 # DEPENDENCYPART_ARC
(17,27),-0.431111 # DEPENDENCYPART_ARC
(17,28),-0.708494 # DEPENDENCYPART_ARC
(17,33),-2.30352 # DEPENDENCYPART_ARC
(18,19),4.09335 # DEPENDENCYPART_ARC
(18,21),1.76685 # DEPENDENCYPART_ARC
(18,23),-0.458507 # DEPENDENCYPART_ARC
(18,25),-1.23054 # DEPENDENCYPART_ARC
(18,26),0.276766 # DEPENDENCYPART_ARC
(18,30),-3.27597 # DEPENDENCYPART_ARC
(18,32),-0.329495 # DEPENDENCYPART_ARC
(18,34),-0.257865 # DEPENDENCYPART_ARC
(18,38),-2.21492 # DEPENDENCYPART_ARC
(19,21),0.0886554 # DEPENDENCYPART_ARC
(19,23),-0.744418 # DEPENDENCYPART_ARC
(19,25),-1.90942 # DEPENDENCYPART_ARC
(20,27),-1.59318 # DEPENDENCYPART_ARC
(21,1),-1.20738 # DEPENDENCYPART_ARC
