# _root_ L' aparició del Teneighty , un esquí que disposa de la cua aixecada igual que l' espàtula , és la confirmació del fet que la firma francesa continua buscant noves fórmules dins de l' esquí .
#goldHeads=2,19,2,3,7,7,4,9,7,9,12,10,12,12,17,17,12,7,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
#predictedHeads=2,19,2,3,7,7,2,9,7,9,12,10,12,12,19,17,19,14,0,21,19,21,22,29,26,29,26,29,23,31,29,29,32,35,33,19,
(0,2),-7.49024 # DEPENDENCYPART_ARC
(0,7),-6.8896 # DEPENDENCYPART_ARC
(0,9),-4.15964 # DEPENDENCYPART_ARC
(0,19),-2.86222 # DEPENDENCYPART_ARC
(0,28),-5.61094 # DEPENDENCYPART_ARC
(0,29),-6.95556 # DEPENDENCYPART_ARC
(1,2),1.3569 # DEPENDENCYPART_ARC
(1,3),-0.537165 # DEPENDENCYPART_ARC
(2,1),3.06566 # DEPENDENCYPART_ARC
(2,3),4.25317 # DEPENDENCYPART_ARC
(2,4),1.49056 # DEPENDENCYPART_ARC
(2,5),1.4928 # DEPENDENCYPART_ARC
(2,6),-0.831379 # DEPENDENCYPART_ARC
(2,7),1.35329 # DEPENDENCYPART_ARC
(2,9),2.46742 # DEPENDENCYPART_ARC
(2,10),0.775778 # DEPENDENCYPART_ARC
(2,12),0.336149 # DEPENDENCYPART_ARC
(2,13),0.940927 # DEPENDENCYPART_ARC
(2,14),-0.0671082 # DEPENDENCYPART_ARC
(2,15),-0.847987 # DEPENDENCYPART_ARC
(2,17),-0.639336 # DEPENDENCYPART_ARC
(2,18),-0.0676125 # DEPENDENCYPART_ARC
(2,19),0.194437 # DEPENDENCYPART_ARC
(2,21),-0.689844 # DEPENDENCYPART_ARC
(2,22),-0.870348 # DEPENDENCYPART_ARC
(2,36),1.1851 # DEPENDENCYPART_ARC
(3,1),-0.881883 # DEPENDENCYPART_ARC
(3,2),0.247761 # DEPENDENCYPART_ARC
(3,4),3.60982 # DEPENDENCYPART_ARC
(3,5),-0.194634 # DEPENDENCYPART_ARC
(3,7),-0.872543 # DEPENDENCYPART_ARC
(4,1),-0.0931295 # DEPENDENCYPART_ARC
(4,5),0.31613 # DEPENDENCYPART_ARC
(4,7),0.228939 # DEPENDENCYPART_ARC
(4,9),0.913421 # DEPENDENCYPART_ARC
(4,13),-0.422008 # DEPENDENCYPART_ARC
(4,14),-1.46149 # DEPENDENCYPART_ARC
(4,36),0.0295023 # DEPENDENCYPART_ARC
(6,7),0.232316 # DEPENDENCYPART_ARC
(6,10),-0.989694 # DEPENDENCYPART_ARC
(7,1),-0.563634 # DEPENDENCYPART_ARC
(7,2),-0.99696 # DEPENDENCYPART_ARC
(7,3),-0.0358011 # DEPENDENCYPART_ARC
(7,5),2.1266 # DEPENDENCYPART_ARC
(7,6),4.63176 # DEPENDENCYPART_ARC
(7,8),0.235371 # DEPENDENCYPART_ARC
(7,9),3.59978 # DEPENDENCYPART_ARC
(7,10),1.2654 # DEPENDENCYPART_ARC
(7,12),-0.0517936 # DEPENDENCYPART_ARC
(7,13),-0.199594 # DEPENDENCYPART_ARC
(7,14),0.440402 # DEPENDENCYPART_ARC
(7,15),-0.75974 # DEPENDENCYPART_ARC
(7,17),-0.697633 # DEPENDENCYPART_ARC
(7,18),0.229069 # DEPENDENCYPART_ARC
(7,19),1.19723 # DEPENDENCYPART_ARC
(7,21),-1.29369 # DEPENDENCYPART_ARC
(7,22),-1.30313 # DEPENDENCYPART_ARC
(7,24),-1.41528 # DEPENDENCYPART_ARC
(7,26),-1.79096 # DEPENDENCYPART_ARC
