# _root_ El principal índex espanyol va acabar en 8.154,40 punts , després d' haver caigut durant la sessió per_sota dels 8.100 punts .
#goldHeads=3,3,6,3,6,0,6,9,7,11,6,11,14,12,14,17,15,14,18,21,19,6,
#predictedHeads=3,3,6,3,6,0,6,9,7,11,6,11,14,12,14,17,15,14,18,21,19,14,
(0,3),-7.60434 # DEPENDENCYPART_ARC
(0,5),-2.76399 # DEPENDENCYPART_ARC
(0,6),-3.501 # DEPENDENCYPART_ARC
(0,13),-4.06348 # DEPENDENCYPART_ARC
(0,14),-2.73137 # DEPENDENCYPART_ARC
(1,2),-0.398398 # DEPENDENCYPART_ARC
(2,1),0.317141 # DEPENDENCYPART_ARC
(2,3),0.772944 # DEPENDENCYPART_ARC
(2,4),0.600782 # DEPENDENCYPART_ARC
(2,5),-0.302922 # DEPENDENCYPART_ARC
(2,7),-1.92808 # DEPENDENCYPART_ARC
(2,10),-1.56374 # DEPENDENCYPART_ARC
(2,11),-1.09687 # DEPENDENCYPART_ARC
(2,12),-3.5101 # DEPENDENCYPART_ARC
(2,14),-2.31808 # DEPENDENCYPART_ARC
(3,1),2.18879 # DEPENDENCYPART_ARC
(3,2),4.04942 # DEPENDENCYPART_ARC
(3,4),3.80015 # DEPENDENCYPART_ARC
(3,5),0.208085 # DEPENDENCYPART_ARC
(3,6),0.0749058 # DEPENDENCYPART_ARC
(3,7),-0.911846 # DEPENDENCYPART_ARC
(3,8),-1.37136 # DEPENDENCYPART_ARC
(3,9),-0.880707 # DEPENDENCYPART_ARC
(3,10),-0.994511 # DEPENDENCYPART_ARC
(3,11),-0.713101 # DEPENDENCYPART_ARC
(3,12),-1.90992 # DEPENDENCYPART_ARC
(3,14),-2.83136 # DEPENDENCYPART_ARC
(3,20),-2.34063 # DEPENDENCYPART_ARC
(3,22),-0.585824 # DEPENDENCYPART_ARC
(4,1),-0.950958 # DEPENDENCYPART_ARC
(4,2),-1.15745 # DEPENDENCYPART_ARC
(4,3),-0.602261 # DEPENDENCYPART_ARC
(4,5),-1.0505 # DEPENDENCYPART_ARC
(5,3),-1.0083 # DEPENDENCYPART_ARC
(5,4),-1.55121 # DEPENDENCYPART_ARC
(5,6),0.134808 # DEPENDENCYPART_ARC
(5,7),0.369151 # DEPENDENCYPART_ARC
(5,9),-1.44015 # DEPENDENCYPART_ARC
(5,11),-1.19166 # DEPENDENCYPART_ARC
(5,22),0.449841 # DEPENDENCYPART_ARC
(6,1),-0.943744 # DEPENDENCYPART_ARC
(6,2),0.630709 # DEPENDENCYPART_ARC
(6,3),1.62937 # DEPENDENCYPART_ARC
(6,4),0.376675 # DEPENDENCYPART_ARC
(6,5),5.36246 # DEPENDENCYPART_ARC
(6,7),4.09646 # DEPENDENCYPART_ARC
(6,8),0.223024 # DEPENDENCYPART_ARC
(6,9),1.88959 # DEPENDENCYPART_ARC
(6,10),0.698032 # DEPENDENCYPART_ARC
(6,11),1.42017 # DEPENDENCYPART_ARC
(6,12),0.554384 # DEPENDENCYPART_ARC
(6,13),-0.137145 # DEPENDENCYPART_ARC
(6,14),-0.0749337 # DEPENDENCYPART_ARC
(6,15),1.3526 # DEPENDENCYPART_ARC
