# _root_ Hannes_Alfven : Big_bang bir _ söylencedir , _ _ haksızlık etmeyelim , belki de iyi bir söylence .
#goldHeads=5,0,6,5,6,7,17,9,10,11,17,0,17,13,17,17,2,0,
#predictedHeads=6,0,6,5,6,7,11,9,10,11,12,0,17,13,17,17,18,0,
(0,1),-0.974531 # DEPENDENCYPART_ARC
(0,2),2.74666 # DEPENDENCYPART_ARC
(0,7),0.427941 # DEPENDENCYPART_ARC
(0,12),0.607659 # DEPENDENCYPART_ARC
(0,14),-1.17409 # DEPENDENCYPART_ARC
(0,17),-1.29544 # DEPENDENCYPART_ARC
(0,18),2.68224 # DEPENDENCYPART_ARC
(1,2),0.0696239 # DEPENDENCYPART_ARC
(1,3),-0.604587 # DEPENDENCYPART_ARC
(1,4),-0.732966 # DEPENDENCYPART_ARC
(1,5),-0.973723 # DEPENDENCYPART_ARC
(1,6),-1.74295 # DEPENDENCYPART_ARC
(1,11),-1.63207 # DEPENDENCYPART_ARC
(1,16),-0.750722 # DEPENDENCYPART_ARC
(2,1),0.413337 # DEPENDENCYPART_ARC
(2,3),0.202686 # DEPENDENCYPART_ARC
(2,6),-0.175319 # DEPENDENCYPART_ARC
(2,7),-0.435639 # DEPENDENCYPART_ARC
(2,10),-0.270519 # DEPENDENCYPART_ARC
(2,11),-0.268846 # DEPENDENCYPART_ARC
(2,17),-0.796336 # DEPENDENCYPART_ARC
(3,1),-0.698248 # DEPENDENCYPART_ARC
(3,2),0.385248 # DEPENDENCYPART_ARC
(3,4),-0.518435 # DEPENDENCYPART_ARC
(3,5),-0.677163 # DEPENDENCYPART_ARC
(3,11),-2.09186 # DEPENDENCYPART_ARC
(3,16),-1.16845 # DEPENDENCYPART_ARC
(4,3),-0.157071 # DEPENDENCYPART_ARC
(5,1),-0.657436 # DEPENDENCYPART_ARC
(5,2),0.603384 # DEPENDENCYPART_ARC
(5,3),1.36789 # DEPENDENCYPART_ARC
(5,4),1.83965 # DEPENDENCYPART_ARC
(5,7),0.661632 # DEPENDENCYPART_ARC
(5,8),-0.22661 # DEPENDENCYPART_ARC
(5,9),-0.46137 # DEPENDENCYPART_ARC
(5,10),-0.353094 # DEPENDENCYPART_ARC
(5,16),-0.148589 # DEPENDENCYPART_ARC
(6,1),1.15881 # DEPENDENCYPART_ARC
(6,2),0.0465557 # DEPENDENCYPART_ARC
(6,3),1.55214 # DEPENDENCYPART_ARC
(6,4),0.634576 # DEPENDENCYPART_ARC
(6,5),2.59934 # DEPENDENCYPART_ARC
(6,8),-1.6424 # DEPENDENCYPART_ARC
(6,10),-1.28822 # DEPENDENCYPART_ARC
(6,11),-1.0665 # DEPENDENCYPART_ARC
(6,13),-1.38462 # DEPENDENCYPART_ARC
(6,17),-1.8783 # DEPENDENCYPART_ARC
(7,2),-0.492896 # DEPENDENCYPART_ARC
(7,3),0.387007 # DEPENDENCYPART_ARC
(7,4),-0.450245 # DEPENDENCYPART_ARC
(7,5),-0.551622 # DEPENDENCYPART_ARC
(7,6),1.3451 # DEPENDENCYPART_ARC
(7,8),-0.471666 # DEPENDENCYPART_ARC
(7,11),-0.909645 # DEPENDENCYPART_ARC
